startsecond	text
15.26	The oceans cover some 70 percent of our planet.
18.26	And I think Arthur C. Clarke probably had it right
20.26	when he said that perhaps we ought to call our planet
23.26	Planet Ocean.
25.26	And the oceans are hugely productive,
27.26	as you can see by the satellite image
29.26	of photosynthesis, the production of new life.
31.26	In fact, the oceans produce half of the new life every day on Earth
34.26	as well as about half the oxygen that we breathe.
37.26	In addition to that, it harbors a lot of the biodiversity on Earth,
40.26	and much of it we don't know about.
42.26	But I'll tell you some of that today.
44.26	That also doesn't even get into the whole protein extraction
46.26	that we do from the ocean.
48.26	That's about 10 percent of our global needs
50.26	and 100 percent of some island nations.
53.26	If you were to descend
55.26	into the 95 percent of the biosphere that's livable,
57.26	it would quickly become pitch black,
59.26	interrupted only by pinpoints of light
61.26	from bioluminescent organisms.
63.26	And if you turn the lights on,
65.26	you might periodically see spectacular organisms swim by,
67.26	because those are the denizens of the deep,
69.26	the things that live in the deep ocean.
71.26	And eventually, the deep sea floor would come into view.
74.26	This type of habitat covers more of the Earth's surface
77.26	than all other habitats combined.
79.26	And yet, we know more about the surface of the Moon and about Mars
81.26	than we do about this habitat,
83.26	despite the fact that we have yet to extract
85.26	a gram of food, a breath of oxygen or a drop of water
88.26	from those bodies.
90.26	And so 10 years ago,
92.26	an international program began called the Census of Marine Life,
95.26	which set out to try and improve our understanding
97.26	of life in the global oceans.
99.26	It involved 17 different projects around the world.
102.26	As you can see, these are the footprints of the different projects.
104.26	And I hope you'll appreciate the level of global coverage
107.26	that it managed to achieve.
109.26	It all began when two scientists, Fred Grassle and Jesse Ausubel,
111.26	met in Woods Hole, Massachusetts
114.26	where both were guests at the famed oceanographic institute.
116.26	And Fred was lamenting the state of marine biodiversity
119.26	and the fact that it was in trouble and nothing was being done about it.
122.26	Well, from that discussion grew this program
124.26	that involved 2,700 scientists
126.26	from more than 80 countries around the world
128.26	who engaged in 540 ocean expeditions
131.26	at a combined cost of 650 million dollars
134.26	to study the distribution, diversity and abundance
136.26	of life in the global ocean.
139.26	And so what did we find?
141.26	We found spectacular new species,
143.26	the most beautiful and visually stunning things everywhere we looked --
146.26	from the shoreline to the abyss,
148.26	form microbes all the way up to fish and everything in between.
151.26	And the limiting step here wasn't the unknown diversity of life,
154.26	but rather the taxonomic specialists
156.26	who can identify and catalog these species
158.26	that became the limiting step.
160.26	They, in fact, are an endangered species themselves.
163.26	There are actually four to five new species
165.26	described everyday for the oceans.
167.26	And as I say, it could be a much larger number.
170.26	Now, I come from Newfoundland in Canada --
173.26	It's an island off the east coast of that continent --
175.26	where we experienced one of the worst fishing disasters
178.26	in human history.
180.26	And so this photograph shows a small boy next to a codfish.
182.26	It's around 1900.
184.26	Now, when I was a boy of about his age,
186.26	I would go out fishing with my grandfather
188.26	and we would catch fish about half that size.
190.26	And I thought that was the norm,
192.26	because I had never seen fish like this.
194.26	If you were to go out there today, 20 years after this fishery collapsed,
197.26	if you could catch a fish, which would be a bit of a challenge,
200.26	it would be half that size still.
202.26	So what we're experiencing is something called shifting baselines.
205.26	Our expectations of what the oceans can produce
207.26	is something that we don't really appreciate
209.26	because we haven't seen it in our lifetimes.
212.26	Now most of us, and I would say me included,
215.26	think that human exploitation of the oceans
217.26	really only became very serious
219.26	in the last 50 to, perhaps, 100 years or so.
221.26	The census actually tried to look back in time,
223.26	using every source of information they could get their hands on.
226.26	And so anything from restaurant menus
228.26	to monastery records to ships' logs
230.26	to see what the oceans looked like.
232.26	Because science data really goes back
234.26	to, at best, World War II, for the most part.
236.26	And so what they found, in fact,
238.26	is that exploitation really began heavily with the Romans.
240.26	And so at that time, of course, there was no refrigeration.
243.26	So fishermen could only catch
245.26	what they could either eat or sell that day.
247.26	But the Romans developed salting.
249.26	And with salting,
251.26	it became possible to store fish and to transport it long distances.
254.26	And so began industrial fishing.
257.26	And so these are the sorts of extrapolations that we have
260.26	of what sort of loss we've had
262.26	relative to pre-human impacts on the ocean.
265.26	They range from 65 to 98 percent
267.26	for these major groups of organisms,
269.26	as shown in the dark blue bars.
271.26	Now for those species the we managed to leave alone, that we protect --
274.26	for example, marine mammals in recent years and sea birds --
276.26	there is some recovery.
278.26	So it's not all hopeless.
280.26	But for the most part, we've gone from salting to exhausting.
283.26	Now this other line of evidence is a really interesting one.
285.26	It's from trophy fish caught off the coast of Florida.
288.26	And so this is a photograph from the 1950s.
291.26	I want you to notice the scale on the slide,
293.26	because when you see the same picture from the 1980s,
295.26	we see the fish are much smaller
297.26	and we're also seeing a change
299.26	in terms of the composition of those fish.
301.26	By 2007, the catch was actually laughable
303.26	in terms of the size for a trophy fish.
305.26	But this is no laughing matter.
307.26	The oceans have lost a lot of their productivity
309.26	and we're responsible for it.
312.26	So what's left? Actually quite a lot.
314.26	There's a lot of exciting things, and I'm going to tell you a little bit about them.
317.26	And I want to start with a bit on technology,
319.26	because, of course, this is a TED Conference
321.26	and you want to hear something on technology.
323.26	So one of the tools that we use to sample the deep ocean
325.26	are remotely operated vehicles.
327.26	So these are tethered vehicles we lower down to the sea floor
330.26	where they're our eyes and our hands for working on the sea bottom.
333.26	So a couple of years ago, I was supposed to go on an oceanographic cruise
336.26	and I couldn't go because of a scheduling conflict.
339.26	But through a satellite link I was able to sit at my study at home
342.26	with my dog curled up at my feet, a cup of tea in my hand,
345.26	"and I could tell the pilot, ""I want a sample right there."""
347.26	And that's exactly what the pilot did for me.
349.26	That's the sort of technology that's available today
352.26	that really wasn't available even a decade ago.
354.26	So it allows us to sample these amazing habitats
356.26	that are very far from the surface
358.26	and very far from light.
360.26	And so one of the tools that we can use to sample the oceans
363.26	is acoustics, or sound waves.
365.26	And the advantage of sound waves
367.26	is that they actually pass well through water, unlike light.
369.26	And so we can send out sound waves,
371.26	they bounce off objects like fish and are reflected back.
374.26	And so in this example, a census scientist took out two ships.
377.26	One would send out sound waves that would bounce back.
379.26	They would be received by a second ship,
381.26	and that would give us very precise estimates, in this case,
384.26	of 250 billion herring
386.26	in a period of about a minute.
388.26	And that's an area about the size of Manhattan Island.
391.26	And to be able to do that is a tremendous fisheries tool,
393.26	because knowing how many fish are there is really critical.
396.26	We can also use satellite tags
398.26	to track animals as they move through the oceans.
400.26	And so for animals that come to the surface to breathe,
402.26	such as this elephant seal,
404.26	it's an opportunity to send data back to shore
406.26	and tell us where exactly it is in the ocean.
409.26	And so from that we can produce these tracks.
411.26	For example, the dark blue
413.26	shows you where the elephant seal moved in the north Pacific.
415.26	Now I realize for those of you who are colorblind, this slide is not very helpful,
418.26	but stick with me nonetheless.
420.26	For animals that don't surface,
422.26	we have something called pop-up tags,
424.26	which collect data about light and what time the sun rises and sets.
427.26	And then at some period of time
429.26	it pops up to the surface and, again, relays that data back to shore.
432.26	Because GPS doesn't work under water. That's why we need these tools.
435.26	And so from this we're able to identify these blue highways,
438.26	these hot spots in the ocean,
440.26	that should be real priority areas
442.26	for ocean conservation.
444.26	Now one of the other things that you may think about
446.26	is that, when you go to the supermarket and you buy things, they're scanned.
449.26	And so there's a barcode on that product
451.26	that tells the computer exactly what the product is.
454.26	Geneticists have developed a similar tool called genetic barcoding.
457.26	And what barcoding does
459.26	is use a specific gene called CO1
461.26	that's consistent within a species, but varies among species.
464.26	And so what that means is we can unambiguously identify
466.26	which species are which
468.26	even if they look similar to each other,
470.26	but may be biologically quite different.
472.26	Now one of the nicest examples I like to cite on this
474.26	is the story of two young women, high school students in New York City,
477.26	who worked with the census.
479.26	They went out and collected fish from markets and from restaurants in New York City
482.26	and they barcoded it.
484.26	Well what they found was mislabeled fish.
486.26	So for example,
488.26	they found something which was sold as tuna, which is very valuable,
490.26	was in fact tilapia, which is a much less valuable fish.
493.26	They also found an endangered species
495.26	sold as a common one.
497.26	So barcoding allows us to know what we're working with
499.26	and also what we're eating.
502.26	The Ocean Biogeographic Information System
504.26	is the database for all the census data.
506.26	It's open access; you can all go in and download data as you wish.
509.26	And it contains all the data from the census
512.26	plus other data sets that people were willing to contribute.
514.26	And so what you can do with that
516.26	is to plot the distribution of species and where they occur in the oceans.
519.26	What I've plotted up here is the data that we have on hand.
521.26	This is where our sampling effort has concentrated.
524.26	Now what you can see
526.26	is we've sampled the area in the North Atlantic,
528.26	in the North Sea in particular,
530.26	and also the east coast of North America fairly well.
532.26	That's the warm colors which show a well-sampled region.
535.26	The cold colors, the blue and the black,
537.26	show areas where we have almost no data.
539.26	So even after a 10-year census,
541.26	there are large areas that still remain unexplored.
544.26	Now there are a group of scientists living in Texas, working in the Gulf of Mexico
547.26	who decided really as a labor of love
549.26	to pull together all the knowledge they could
551.26	about biodiversity in the Gulf of Mexico.
553.26	And so they put this together, a list of all the species,
556.26	where they're known to occur,
558.26	and it really seemed like a very esoteric, scientific type of exercise.
