startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Morton Bast
16.244	When I was little, I thought my country
16.244	was the best on the planet.
20.41	And I grew up singing a song
20.41	"called ""Nothing To Envy."""
24.244	And I was very proud.
26.34	In school, we spent a lot of time
26.34	studying the history of Kim Il-Sung,
29.889	but we never learned much
29.889	about the outside world,
34.241	except that America, South Korea,
34.241	Japan are the enemies.
39.066	Although I often wondered
39.066	about the outside world,
42.479	I thought I would spend
42.479	my entire life in North Korea,
46.143	until everything suddenly changed.
49.847	When I was seven years old,
49.847	I saw my first public execution.
54.844	But I thought my life
54.844	in North Korea was normal.
58.039	My family was not poor,
59.977	and myself, I had never
59.977	experienced hunger.
63.674	But one day, in 1995,
63.674	my mom brought home a letter
68.239	from a coworker's sister.
70.263	"It read, ""When you read this,"
73.298	our five family members
73.298	will not exist in this world,
78.154	because we haven't eaten
78.154	for the past three weeks.
82.233	We are lying on the floor together,
84.693	and our bodies are so weak,
84.693	"we are waiting to die."""
93.876	I was so shocked.
96.868	This was the first time I heard
96.868	that people in my country were suffering.
103.431	Soon after, when I was walking
103.431	past a train station,
106.284	I saw something terrible that to this day
106.284	I can't erase from my memory.
111.641	A lifeless woman was lying on the ground,
114.661	while an emaciated child in her arms
117.85	just stared helplessly
117.85	at his mother's face.
122.776	But nobody helped them,
124.682	because they were so focused on taking
124.682	care of themselves and their families.
131.281	A huge famine hit North Korea
131.281	in the mid-1990s.
135.345	Ultimately, more than a million
135.345	North Koreans died during the famine,
140.05	and many only survived by eating
140.05	grass, bugs and tree bark.
146.943	Power outages also became
146.943	more and more frequent,
150.227	so everything around me
150.227	was completely dark at night,
154.666	except for the sea of lights in China,
157.136	just across the river from my home.
159.666	I always wondered
159.666	why they had lights, but we didn't.
165.511	This is a satellite picture
165.511	showing North Korea at night,
169.26	compared to neighbors.
172.918	This is the Amnok River,
174.639	which serves as a part of the border
174.639	between North Korea and China.
179.694	As you can see, the river can be
179.694	very narrow at certain points,
183.833	allowing North Koreans to secretly cross.
188.307	But many die.
189.974	Sometimes, I saw dead bodies
189.974	floating down the river.
197.585	I can't reveal many details
197.585	about how I left North Korea,
202.387	but I only can say that
202.387	during the ugly years of the famine,
206.549	I was sent to China to live
206.549	with distant relatives.
211.75	But I only thought that I would
211.75	be separated from my family
216.267	for a short time.
217.859	I could have never imagined
219.799	that it would take 14 years
219.799	to live together.
224.298	In China, it was hard living
224.298	as a young girl without my family.
228.346	I had no idea what life
228.346	was going to be like
231.689	as a North Korean refugee.
233.736	But I soon learned it's not
233.736	only extremely difficult,
237.353	it's also very dangerous,
239.775	since North Korean refugees are considered
239.775	in China as illegal migrants.
247.422	So I was living in constant fear
247.422	that my identity could be revealed,
252.017	and I would be repatriated
252.017	to a horrible fate,
255.392	back in North Korea.
258.229	One day, my worst nightmare came true,
260.951	when I was caught by the Chinese police,
263.698	and brought to the police station
263.698	for interrogation.
267.789	Someone had accused me
267.789	of being North Korean,
271.471	so they tested my Chinese
271.471	language abilities,
274.876	and asked me tons of questions.
278.17	I was so scared.
280.612	I thought my heart was going to explode.
283.424	If anything seemed unnatural,
283.424	I could be imprisoned and repatriated.
289.257	I thought my life was over.
291.892	But I managed to control
291.892	all the emotions inside me,
294.792	and answer the questions.
297.14	After they finished questioning me,
298.922	one official said to another,
301.371	"""This was a false report."
301.371	"She's not North Korean."""
305.273	And they let me go. It was a miracle.
309.503	Some North Koreans in China
309.503	seek asylum in foreign embassies.
314.473	But many can be caught
314.473	by the Chinese police,
317.965	and repatriated.
319.711	These girls were so lucky.
321.451	Even though they were caught,
323.14	they were eventually released,
323.14	after heavy international pressure.
328.059	These North Koreans were not so lucky.
