startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Thu-Huong Ha
12.53	So let's start with some good news,
15.491	and the good news has to do with what do we know
17.84	based on biomedical research
20.107	that actually has changed the outcomes
23.561	for many very serious diseases?
26.66	Let's start with leukemia,
28.907	acute lymphoblastic leukemia, ALL,
31.435	the most common cancer of children.
33.873	When I was a student,
35.835	the mortality rate was about 95 percent.
39.675	Today, some 25, 30 years later, we're talking about
42.808	a mortality rate that's reduced by 85 percent.
46.435	Six thousand children each year
49.051	who would have previously died of this disease are cured.
53.24	If you want the really big numbers,
55.031	look at these numbers for heart disease.
57.859	Heart disease used to be the biggest killer,
59.651	particularly for men in their 40s.
61.155	Today, we've seen a 63-percent reduction in mortality
64.649	from heart disease --
66.71	remarkably, 1.1 million deaths averted every year.
71.595	AIDS, incredibly, has just been named,
74.316	in the past month, a chronic disease,
76.597	meaning that a 20-year-old who becomes infected with HIV
79.512	is expected not to live weeks, months, or a couple of years,
83.583	as we said only a decade ago,
85.853	but is thought to live decades,
88.245	probably to die in his '60s or '70s from other causes altogether.
92.741	These are just remarkable, remarkable changes
95.766	in the outlook for some of the biggest killers.
98.355	And one in particular
100.434	that you probably wouldn't know about, stroke,
102.479	which has been, along with heart disease,
104.08	one of the biggest killers in this country,
106.258	is a disease in which now we know
108.049	that if you can get people into the emergency room
110.978	within three hours of the onset,
113.152	some 30 percent of them will be able to leave the hospital
115.757	without any disability whatsoever.
118.876	Remarkable stories,
121.133	good-news stories,
123.164	all of which boil down to understanding
126.229	something about the diseases that has allowed us
129.581	to detect early and intervene early.
132.904	Early detection, early intervention,
135.039	that's the story for these successes.
138.109	Unfortunately, the news is not all good.
140.845	Let's talk about one other story
143.194	which has to do with suicide.
144.885	Now this is, of course, not a disease, per se.
147.537	It's a condition, or it's a situation
150.625	that leads to mortality.
152.414	What you may not realize is just how prevalent it is.
155.494	There are 38,000 suicides each year in the United States.
159.703	That means one about every 15 minutes.
162.461	Third most common cause of death amongst people
165.237	between the ages of 15 and 25.
168.013	It's kind of an extraordinary story when you realize
170.261	that this is twice as common as homicide
172.773	and actually more common as a source of death
175.422	than traffic fatalities in this country.
178.757	Now, when we talk about suicide,
181.389	there is also a medical contribution here,
184.501	because 90 percent of suicides
186.933	are related to a mental illness:
188.703	depression, bipolar disorder, schizophrenia,
191.749	anorexia, borderline personality. There's a long list
194.808	of disorders that contribute,
196.917	and as I mentioned before, often early in life.
200.941	But it's not just the mortality from these disorders.
204.145	It's also morbidity.
205.787	If you look at disability,
208.048	as measured by the World Health Organization
210.2	with something they call the Disability Adjusted Life Years,
213.725	it's kind of a metric that nobody would think of
215.821	except an economist,
217.135	except it's one way of trying to capture what is lost
220.577	in terms of disability from medical causes,
223.76	and as you can see, virtually 30 percent
226.653	of all disability from all medical causes
228.917	can be attributed to mental disorders,
231.477	neuropsychiatric syndromes.
233.861	You're probably thinking that doesn't make any sense.
236.013	I mean, cancer seems far more serious.
238.685	Heart disease seems far more serious.
241.717	But you can see actually they are further down this list,
244.757	and that's because we're talking here about disability.
247.037	What drives the disability for these disorders
249.829	like schizophrenia and bipolar and depression?
253.733	Why are they number one here?
256.708	Well, there are probably three reasons.
258.217	One is that they're highly prevalent.
260.189	About one in five people will suffer from one of these disorders
263.484	in the course of their lifetime.
266.061	A second, of course, is that, for some people,
268.381	these become truly disabling,
269.965	and it's about four to five percent, perhaps one in 20.
273.093	But what really drives these numbers, this high morbidity,
277.357	and to some extent the high mortality,
279.786	is the fact that these start very early in life.
283.734	Fifty percent will have onset by age 14,
289.949	a picture that is very different than what one would see
293.414	if you're talking about cancer or heart disease,
295.685	diabetes, hypertension -- most of the major illnesses
299.085	that we think about as being sources of morbidity and mortality.
303.181	These are, indeed, the chronic disorders of young people.
309.491	Now, I started by telling you that there were some good-news stories.
312.358	This is obviously not one of them.
313.806	This is the part of it that is perhaps most difficult,
316.685	and in a sense this is a kind of confession for me.
319.269	My job is to actually make sure that we make progress
324.621	on all of these disorders.
326.973	I work for the federal government.
328.683	Actually, I work for you. You pay my salary.
330.701	And maybe at this point, when you know what I do,
333.085	or maybe what I've failed to do,
335.205	you'll think that I probably ought to be fired,
337.414	and I could certainly understand that.
339.569	But what I want to suggest, and the reason I'm here
341.901	is to tell you that I think we're about to be
345.156	in a very different world as we think about these illnesses.
349.819	What I've been talking to you about so far is mental disorders,
352.925	diseases of the mind.
354.641	That's actually becoming a rather unpopular term these days,
358.037	and people feel that, for whatever reason,
360.237	it's politically better to use the term behavioral disorders
