startsecond	text
15.26	There was a time in my life
18.26	when everything seemed perfect.
21.26	Everywhere I went, I felt at home.
23.26	Everyone I met,
25.26	I felt I knew them for as long as I could remember.
28.26	And I want to share with you how I came to that place
31.26	and what I've learned since I left it.
33.26	This is where it began.
36.26	And it raises an existential question,
38.26	which is, if I'm having this experience of complete connection and full consciousness,
41.26	why am I not visible in the photograph,
44.26	and where is this time and place?
47.26	This is Los Angeles, California, where I live.
50.26	This is a police photo. That's actually my car.
53.26	We're less than a mile from one of the largest hospitals in Los Angeles,
56.26	called Cedars-Sinai.
58.26	And the situation is that a car full of paramedics
60.26	on their way home from the hospital after work
63.26	have run across the wreckage,
65.26	and they've advised the police
67.26	that there were no survivors inside the car,
69.26	that the driver's dead, that I'm dead.
72.26	And the police are waiting for the fire department to arrive
75.26	to cut apart the vehicle
77.26	to extract the body of the driver.
79.26	And when they do, they find that behind the glass,
82.26	they find me.
84.26	And my skull's crushed and my collar bone is crushed;
86.26	all but two of my ribs,
88.26	my pelvis and both arms --
90.26	they're all crushed, but there is still a pulse.
93.26	And they get me to that nearby hospital,
95.26	Cedars-Sinai,
97.26	where that night I receive, because of my internal bleeding,
102.26	which means full replacements of all the blood in me --
104.26	before they're able to staunch the flow.
106.26	I'm put on full life support,
108.26	and I have a massive stroke,
111.26	and my brain drops into a coma.
113.26	Now comas are measured
115.26	on a scale from 15 down to three.
117.26	Fifteen is a mild coma. Three is the deepest.
120.26	And if you look, you'll see that there's only one way you can score three.
123.26	It's essentially there's no sign of life
125.26	from outside at all.
127.26	I spent more than a month in a Glasgow Coma Scale three,
130.26	and it is inside that deepest level of coma,
132.26	on the rim between my life and my death,
135.26	that I'm experiencing the full connection and full consciousness
138.26	of inner space.
140.26	From my family looking in from outside,
143.26	what they're trying to figure out
145.26	is a different kind of existential question,
148.26	which is, how far is it going to be possible to bridge
151.26	from the comatose potential mind that they're looking at
154.26	to an actual mind,
156.26	which I define simply
158.26	as the functioning of the brain
160.26	that is remaining inside my head.
162.26	Now to put this into a broader context,
164.26	I want you to imagine that you are an eternal alien
167.26	watching the Earth from outer space,
169.26	and your favorite show on intergalactic satellite television
172.26	is the Earth channel,
174.26	and your favorite show is the Human Show.
177.26	And the reason I think it would be so interesting to you
179.26	is because consciousness is so interesting.
181.26	It's so unpredictable
183.26	and so fragile.
185.26	And this is how we began.
187.26	We all began in the Awash Valley in Ethiopia.
190.26	The show began with tremendous special effects,
192.26	because there were catastrophic climate shifts --
195.26	which sort of sounds interesting as a parallel to today.
198.26	Because of the Earth tilting on its axis
200.26	and those catastrophic climate shifts,
203.26	we had to figure out how to find better food,
205.26	and we had to learn -- there's Lucy; that's how we all began --
208.26	we had to learn how to crack open animal bones,
211.26	use tools to do that, to feed on the marrow,
213.26	to grow our brains more.
215.26	So we actually grew our consciousness
217.26	in response to this global threat.
219.26	Now you also continue to watch
221.26	as consciousness evolved to the point
223.26	that here in India, in Madhya Pradesh,
226.26	there's one of the two oldest known pieces of rock art found.
230.26	It's a cupule that took 40 to 50,000 blows with a stone tool to create,
234.26	and it's the first known expression of art
236.26	on the planet.
238.26	And the reason it connects us with consciousness today
240.26	is that all of us still today,
242.26	the very first shape we draw as a child
245.26	is a circle.
247.26	And then the next thing we do is we put a dot in the center of the circle.
250.26	We create an eye --
252.26	and the eye that evolves through all of our history.
254.26	There's the Egyptian god Horus,
256.26	which symbolizes prosperity, wisdom and health.
259.26	And that comes down right way to the present
262.26	with the dollar bill in the United States,
264.26	which has on it an eye of providence.
267.26	So watching all of this show from outer space,
269.26	you think we get it, we understand
271.26	that the most precious resource on the blue planet
273.26	is our consciousness.
275.26	Because it's the first thing we draw;
277.26	we surround ourselves with images of it;
279.26	it's probably the most common image on the planet.
281.26	But we don't. We take our consciousness for granted.
284.26	While I was producing in Los Angeles, I never thought about it for a second.
287.26	Until it was stripped from me, I never thought about it.
289.26	And what I've learned since that event
291.26	and during my recovery
293.26	is that consciousness is under threat on this planet
296.26	in ways it's never been under threat before.
298.26	These are just some examples.
300.26	And the reason I'm so honored to be here
302.26	to talk today in India
304.26	is because India has the sad distinction
306.26	of being the head injury capital of the world.
309.26	That statistic is so sad.
311.26	There is no more drastic and sudden gap created
314.26	between potential and actual mind
316.26	than a severe head injury.
318.26	Each one can entail up to a decade of rehabilitation,
321.26	which means that India, unless something changes,
323.26	is accumulating a need
325.26	for millennia of rehabilitation.
329.26	What you find in the United States
331.26	is an injury every 20 seconds -- that's one and a half million every year --
334.26	stroke every 40 seconds,
