startsecond	text
15.76	I'm a bug lover, myself --
17.783	not from childhood, by the way,
19.56	but rather late.
22.157	When I bachelored,
23.56	majoring in zoology
23.56	at Tel Aviv University,
26.277	I kind of fell in love with bugs.
28.438	And then, within zoology,
30.2	I took the course
30.2	or the discipline of entomology,
33.364	the science of insects.
36.004	And then I thought to myself,
36.004	how can I be practical
39.226	or help in the science of entomology?
42.56	And then I moved to the world
42.56	of plant protection --
45.817	plant protection from insects,
48.343	from bad bugs.
50.181	And then within plant protection,
52.56	I came into the discipline
52.56	of biological pest control,
56.845	which we actually define
58.559	as the use of living organisms
61.56	to reduce populations
61.56	of noxious plant pests.
66.084	So it's a whole discipline
66.084	in plant protection
69.21	aimed at the reduction of chemicals.
73.456	And biological pest control, by the way,
75.526	"or these ""good bugs"""
75.526	that we are talking about,
78.318	they've existed in the world
78.318	for thousands and thousands of years,
82.174	for a long, long time.
83.801	But only in the last 120 years,
87.488	people started, or people
87.488	knew more and more
90.902	how to exploit, or how to use,
90.902	this biological control phenomenon,
95.312	or in fact, natural control phenomenon,
98.716	for their own needs.
101.44	Because biological control phenomenon --
101.44	you can see it in your backyard.
105.072	Just take a magnifying glass.
105.072	You see what I have here?
108.052	That's a magnifier, times 10.
112.09	You just open it, twist leaves,
115.112	and you see a whole new world
115.112	of minute insects,
118.56	or little spiders of one millimeter,
118.56	one-and-a-half, two millimeters long,
123.56	and you can distinguish
123.56	between the good ones and the bad ones.
126.584	So this phenomenon of natural control
126.584	exists literally everywhere.
131.148	Here, in front of this building, I'm sure.
133.226	Just have a look at the plants.
135.165	So it's everywhere,
135.165	and we need to know how to exploit it.
139.329	Well, let's go hand by hand
141.33	and browse through just a few examples.
144.56	What is a pest?
146.099	What damage does it actually
146.099	inflict on the plant?
149.433	And what is the natural enemy,
151.718	the biological control agent,
151.718	"or the ""good bug"""
154.725	that we're talking about?
155.95	In general, I'm going to talk
155.95	about insects and spiders,
160.987	or mites, let us call them.
163.234	Insects, those six-legged organisms
166.027	and spiders or mites,
166.027	the eight-legged organisms.
170.129	Let's have a look at that.
171.56	Here is a devastating pest, a spider mite,
174.812	because it does a lot
174.812	of webbing, like a spider.
178.06	You see the mother in between,
179.606	and two daughters, probably,
179.606	on the left and right,
182.04	and a single egg on the right-hand side.
184.132	And then you see
184.132	what kind of damage it can inflict.
186.644	On your right-hand side,
186.644	you can see a cucumber leaf,
189.21	in the middle, a cotton leaf,
190.675	and on the left, a tomato leaf
190.675	with these little stipplings.
193.897	They can literally turn
193.897	from green to white,
196.974	because of the sucking, piercing
196.974	mouth parts of those spiders.
203.018	But here comes nature,
203.018	that provides us with a good spider.
206.712	This is a predatory mite --
206.712	just as small as a spider mite;
210.118	one, two millimeters long,
210.118	not more than that --
212.946	running quickly, hunting,
212.946	chasing the spider mites.
217.384	And here, you can see this lady
217.384	in action on your left-hand side --
221.276	just pierces, sucks the body fluids
221.276	on the left-hand side of the pest mite.
226.926	And after five minutes,
226.926	this is what you see:
229.56	just a typical dead corpse --
231.903	the shriveled, sucked-out,
231.903	dead corpse of the spider mite,
235.56	and next to it, two satiated
235.56	individuals, predatory mites,
240.448	a mother on the left-hand side,
240.448	a young nymph on the right-hand side.
243.969	By the way, a meal for them for 24 hours,
246.915	is about five of the spider mites,
246.915	of the bad mites,
251.189	and-or 15 to 20 eggs of the pest mites.
256.098	By the way, they are always hungry.
258.56	(Laughter)
260.823	And here is another example: aphids.
263.154	It's springtime now in Israel.
265.032	When temperatures rise sharply,
267.561	you can see those bad ones,
267.561	those aphids, all over the plants --
270.858	in your hibiscus, in your lantana,
273.56	in the young, fresh foliage
273.56	of the so-called spring flush.
277.56	By the way, with aphids you have
277.56	only females, like Amazons.
281.56	Females giving rise to females,
281.56	giving rise to other females.
285.009	No males at all.
286.262	Parthenogenesis, as it's so called.
288.722	And they're very happy
288.722	with that, apparently.
290.861	(Laughter)
291.91	Here we can see the damage.
293.56	Those aphids secrete a sticky,
293.56	sugary liquid called honeydew,
300.344	and this just clogs
300.344	the upper parts of the plant.
304.387	Here you see a typical cucumber leaf
304.387	that turned from green to black
