startsecond	text
26	The immersive ugliness
29	of our everyday environments in America
34	is entropy made visible.
38	We can't overestimate the amount of despair
42	that we are generating with places like this.
47	And mostly, I want to persuade you that we have to do better
51	if we're going to continue the project of civilization in America.
57	By the way, this doesn't help.
60	Nobody's having a better day down here because of that.
67	There are a lot of ways you can describe this.
69	"You know, I like to call it ""the national automobile slum."""
72	You can call it suburban sprawl.
75	I think it's appropriate to call it
77	the greatest misallocation of resources in the history of the world.
82	You can call it a technosis externality clusterfuck.
87	And it's a tremendous problem for us.
93	The outstanding -- the salient problem about this for us
97	is that these are places that are not worth caring about.
100	We're going to talk about that some more.
103	A sense of place:
105	your ability to create places that are meaningful and places of quality and character
112	depends entirely on your ability to define space with buildings,
117	and to employ the vocabularies, grammars,
121	syntaxes, rhythms and patterns of architecture
125	in order to inform us who we are.
128	The public realm in America has two roles:
134	it is the dwelling place of our civilization and our civic life,
139	and it is the physical manifestation of the common good.
144	And when you degrade the public realm,
147	you will automatically degrade the quality of your civic life
150	and the character of all the enactments of your public life and communal life that take place there.
159	The public realm comes mostly in the form of the street in America
164	because we don't have the 1,000-year-old cathedral plazas
168	and market squares of older cultures.
172	And your ability to define space and to create places that are worth caring about
180	all comes from a body of culture that we call the culture of civic design.
185	This is a body of knowledge, method, skill and principle
190	that we threw in the garbage after World War II
195	and decided we don't need that anymore; we're not going to use it.
198	And consequently, we can see the result all around us.
203	The public realm has to inform us not only where we are geographically,
208	but it has to inform us where we are in our culture.
212	Where we've come from, what kind of people we are, and it needs to,
217	by doing that, it needs to afford us a glimpse to where we're going
223	in order to allow us to dwell in a hopeful present.
228	And if there is one tremendous --
230	if there is one great catastrophe about the places that we've built,
233	the human environments we've made for ourselves in the last 50 years,
237	it is that it has deprived us of the ability to live in a hopeful present.
246	The environments we are living in, more typically, are like these.
250	You know, this happens to be the asteroid belt of architectural garbage two miles north of my town.
256	And remember, to create a place of character and quality,
260	you have to be able to define space.
262	So how is that being accomplished here?
264	If you stand on the apron of the Wal-Mart over here
267	and try to look at the Target store over here,
269	you can't see it because of the curvature of the Earth. (Laughter)
275	That's nature's way of telling you that you're doing a poor job of defining space.
281	Consequently, these will be places that nobody wants to be in.
284	These will be places that are not worth caring about.
288	We have about, you know, 38,000 places
291	that are not worth caring about in the United States today.
293	When we have enough of them, we're going to have a nation that's not worth defending.
299	And I want you to think about that when you think about
303	those young men and women who are over in places like Iraq,
305	spilling their blood in the sand,
307	"and ask yourself, ""What is their last thought of home?"""
312	I hope it's not the curb cut between the Chuck E. Cheese and the Target store
316	because that's not good enough for Americans to be spilling their blood for. (Applause)
322	We need better places in this country.
325	Public space. This is a good public space.
327	It's a place worth caring about. It's well defined.
330	It is emphatically an outdoor public room.
333	It has something that is terribly important --
336	it has what's called an active and permeable membrane around the edge.
339	That's a fancy way of saying it's got shops, bars, bistros, destinations --
344	things go in and out of it. It's permeable.
