startsecond	text
12.996	Tonight, I'm going to try to make the case
15.073	that inviting a loved one, a friend
15.073	or even a stranger
19.699	to record a meaningful interview with you
22.13	just might turn out to be one of the most 
22.13	important moments in that person's life,
26.536	and in yours.
29.481	When I was 22 years old,
29.481	I was lucky enough to find my calling
32.825	when I fell into making radio stories.
35.285	At almost the exact same time,
37.719	I found out that my dad,
37.719	who I was very, very close to, was gay.
42.688	I was taken completely by surprise.
44.99	We were a very tight-knit family,
47.498	and I was crushed.
49.889	At some point, in one
49.889	of our strained conversations,
52.234	my dad mentioned the Stonewall riots.
54.904	He told me that one night in 1969,
58.178	a group of young black
58.178	and Latino drag queens
60.883	fought back against the police
60.883	at a gay bar in Manhattan
64.529	called the Stonewall Inn,
66.549	and how this sparked
66.549	the modern gay rights movement.
70.078	It was an amazing story,
70.078	and it piqued my interest.
73.417	So I decided to pick up my tape 
73.417	recorder and find out more.
77.628	With the help of a young archivist
77.628	named Michael Shirker,
81.804	we tracked down all
81.804	of the people we could find
84.381	who had been at
84.381	the Stonewall Inn that night.
87.817	Recording these interviews,
89.814	I saw how the microphone
89.814	gave me the license
92.043	to go places I otherwise
92.043	never would have gone
94.779	and talk to people I might not
94.779	otherwise ever have spoken to.
98.912	I had the privilege of getting to know
100.754	some of the most amazing,
100.754	fierce and courageous human beings
104.648	I had ever met.
106.83	It was the first time
106.83	the story of Stonewall
108.934	had been told to a national audience.
110.986	I dedicated the program to my dad,
113.249	it changed my relationship with him,
113.249	and it changed my life.
120.181	Over the next 15 years,
120.181	I made many more radio documentaries,
123.617	working to shine a light on people
123.617	who are rarely heard from in the media.
127.681	Over and over again,
129.26	I'd see how this simple act
129.26	of being interviewed
131.86	could mean so much to people,
134.02	particularly those who had been told
134.02	that their stories didn't matter.
137.711	I could literally see
137.711	people's back straighten
140.08	as they started to speak
140.08	into the microphone.
142.866	In 1998, I made a documentary
142.866	about the last flophouse hotels
147.371	on the Bowery in Manhattan.
149.762	Guys stayed up in these
149.762	cheap hotels for decades.
152.432	They lived in cubicles
152.432	the size of prison cells
154.824	covered with chicken wire
156.124	so you couldn't jump
156.124	from one room into the next.
159.088	Later, I wrote a book on the men
159.088	with the photographer Harvey Wang.
163.067	I remember walking into a flophouse
163.067	with an early version of the book
167.491	and showing one of the guys his page.
170.079	He stood there staring at it in silence,
172.354	then he grabbed the book out of my hand
174.653	and started running down
174.653	the long, narrow hallway
178.136	holding it over his head
179.645	"shouting, ""I exist! I exist."""
184.01	(Applause)
188.863	"In many ways, ""I exist"" became"
188.863	the clarion call for StoryCorps,
192.694	this crazy idea that I had
192.694	a dozen years ago.
196.27	The thought was to take
196.27	documentary work
198.499	and turn it on its head.
200.356	Traditionally, broadcast documentary
202.61	has been about recording interviews
202.61	to create a work of art or entertainment
206.696	or education that is seen or heard
206.696	by a whole lot of people,
210.944	but I wanted to try something
212.325	where the interview itself
212.325	was the purpose of this work,
215.473	and see if we could give many,
215.473	many, many people the chance
218.445	to be listened to in this way.
221.069	So in Grand Central Terminal 11 years ago,
224.119	we built a booth where anyone 
224.119	can come to honor someone else
228.492	by interviewing them about their life.
231.503	You come to this booth and you're met
231.503	by a facilitator who brings you inside.
235.334	You sit across from, say, your grandfather
237.911	for close to an hour
237.911	and you listen and you talk.
240.953	Many people think of it as,
240.953	if this was to be our last conversation,
244.645	what would I want to ask of
244.645	and say to this person
247.64	who means so much to me?
249.916	At the end of the session,
249.916	you walk away with a copy of the interview
253.203	and another copy goes
253.203	to the American Folklife Center
255.861	at the Library of Congress
258.119	so that your great-great-great-grandkids
258.119	can someday get to know your grandfather
262.175	through his voice and story.
265.548	So we open this booth
265.548	in one of the busiest places in the world
268.705	and invite people to have this
268.705	incredibly intimate conversation
272.188	with another human being.
273.419	I had no idea if it would work,
273.419	but from the very beginning, it did.
278.225	People treated the experience
278.225	with incredible respect,
281.104	and amazing conversations happened inside.
284.471	I want to play just one animated excerpt
287.002	from an interview recorded
287.002	at that original Grand Central Booth.
290.763	This is 12-year-old Joshua Littman
290.763	interviewing his mother, Sarah.
295.291	Josh has Asperger's syndrome.
297.497	As you may know, kids with Asperger's
297.497	are incredibly smart
300.562	but have a tough time socially.
302.721	They usually have obsessions.
304.37	In Josh's case, it's with animals,
306.576	so this is Josh talking with his mom Sarah
309.199	at Grand Central nine years ago.
312.499	(Video) Josh Littman:
312.499	From a scale of one to 10,
314.776	do you think your life would be
314.776	different without animals?
317.758	Sarah Littman: I think it would be
317.758	an eight without animals,
320.565	because they add so much pleasure to life.
322.699	JL: How else do you think your life
322.699	would be different without them?
325.898	SL: I could do without things
325.898	like cockroaches and snakes.
328.617	JL: Well, I'm okay with snakes
328.617	as long as they're not venomous
331.518	or constrict you or anything.
332.919	SL: Yeah, I'm not a big snake person --
334.778	JL: But cockroach is just
334.778	the insect we love to hate.
337.288	SL: Yeah, it really is.
338.821	JL: Have you ever thought
338.821	you couldn't cope with having a child?
341.955	SL: I remember when you were a baby,
341.955	you had really bad colic,
345.345	so you would just cry and cry.
346.948	JL: What's colic?
346.948	SL: It's when you get this stomach ache
