startsecond	text
12.737	When I was about three or four years old,
17.027	I remember my mum reading a story to me
20.909	and my two big brothers,
23.624	and I remember putting up my hands
25.643	to feel the page of the book,
27.646	to feel the picture they were discussing.
31.177	"And my mum said, ""Darling,"
33.626	remember that you can't see
36.479	and you can't feel the picture
39.525	"and you can't feel the print on the page."""
42.462	And I thought to myself,
44.236	"""But that's what I want to do."
46.131	"I love stories. I want to read."""
50.292	Little did I know
52.554	that I would be part of a technological revolution
55.073	that would make that dream come true.
58.774	I was born premature by about 10 weeks,
62.191	which resulted in my blindness, some 64 years ago.
66.836	The condition is known as retrolental fibroplasia,
69.706	and it's now very rare in the developed world.
73.591	Little did I know, lying curled up
76.5	in my prim baby humidicrib in 1948
81.293	that I'd been born at the right place
84.121	and the right time,
86.686	that I was in a country where I could participate
90.57	in the technological revolution.
93.503	There are 37 million totally blind people on our planet,
98.944	but those of us who've shared in the technological changes
102.168	mainly come from North America, Europe,
105.172	Japan and other developed parts of the world.
109.597	Computers have changed the lives of us all in this room
112.77	and around the world,
113.673	but I think they've changed the lives
115.34	of we blind people more than any other group.
118.883	And so I want to tell you about the interaction
122.161	between computer-based adaptive technology
125.213	and the many volunteers who helped me over the years
129.875	to become the person I am today.
133.276	It's an interaction between volunteers,
135.91	passionate inventors and technology,
138.831	and it's a story that many other blind people could tell.
141.766	But let me tell you a bit about it today.
146.181	When I was five, I went to school and I learned braille.
150.007	It's an ingenious system of six dots
152.531	that are punched into paper,
154.265	and I can feel them with my fingers.
157.652	In fact, I think they're putting up my grade six report.
160.828	I don't know where Julian Morrow got that from.
163.553	(Laughter)
165.109	I was pretty good in reading,
166.93	but religion and musical appreciation needed more work.
171.89	(Laughter)
173.366	When you leave the opera house,
175.453	you'll find there's braille signage in the lifts.
178.862	Look for it. Have you noticed it?
182.579	I do. I look for it all the time.
185.309	(Laughter)
187.395	When I was at school,
189.734	the books were transcribed by transcribers,
193.026	voluntary people who punched one dot at a time
195.859	so I'd have volumes to read,
197.527	and that had been going on, mainly by women,
199.986	since the late 19th century in this country,
202.659	but it was the only way I could read.
205.143	When I was in high school,
207.537	I got my first Philips reel-to-reel tape recorder,
211.343	and tape recorders became my sort of pre-computer
214.732	medium of learning.
216.912	I could have family and friends read me material,
220.051	and I could then read it back
222.444	as many times as I needed.
225	And it brought me into contact
226.52	with volunteers and helpers.
228.53	For example, when I studied at graduate school
233.022	at Queen's University in Canada,
235.259	the prisoners at the Collins Bay jail agreed to help me.
239.342	I gave them a tape recorder, and they read into it.
242.147	As one of them said to me,
243.433	"""Ron, we ain't going anywhere at the moment."""
246.192	(Laughter)
248.653	But think of it. These men,
250.958	who hadn't had the educational opportunities I'd had,
254.905	helped me gain post-graduate qualifications in law
259.181	by their dedicated help.
262.6	Well, I went back and became an academic
264.961	at Melbourne's Monash University,
267.603	and for those 25 years,
271.113	tape recorders were everything to me.
273.926	In fact, in my office in 1990,
276.377	I had 18 miles of tape.
280.904	Students, family and friends all read me material.
287.809	Mrs. Lois Doery,
289.346	whom I later came to call my surrogate mum,
292.324	read me many thousands of hours onto tape.
295.976	One of the reasons I agreed to give this talk today
298.44	was that I was hoping that Lois would be here
300.929	so I could introduce you to her and publicly thank her.
304.966	But sadly, her health hasn't permitted her to come today.
308.715	But I thank you here, Lois, from this platform.
313.303	(Applause)
325.776	I saw my first Apple computer in 1984,
332.635	and I thought to myself,
334.16	"""This thing's got a glass screen, not much use to me."""
339.128	How very wrong I was.
343.182	In 1987, in the month our eldest son Gerard was born,
347.715	I got my first blind computer,
350.169	and it's actually here.
353.383	See it up there?
355.318	And you see it has no, what do you call it, no screen.
359.601	(Laughter)
363.919	It's a blind computer.
365.913	(Laughter)
367.813	It's a Keynote Gold 84k,
370.418	and the 84k stands for it had 84 kilobytes of memory.
374.594	(Laughter)
377.495	Don't laugh, it cost me 4,000 dollars at the time. (Laughter)
382.433	I think there's more memory in my watch.
387.127	It was invented by Russell Smith, a passionate inventor
390.147	in New Zealand who was trying to help blind people.
392.945	Sadly, he died in a light plane crash in 2005,
396.747	but his memory lives on in my heart.
399.605	It meant, for the first time,
401.857	I could read back what I had typed into it.
405.188	It had a speech synthesizer.
407.145	I'd written my first coauthored labor law book
409.405	on a typewriter in 1979 purely from memory.
414.231	This now allowed me to read back what I'd written
418.542	and to enter the computer world,
420.22	even with its 84k of memory.
423.62	In 1974, the great Ray Kurzweil, the American inventor,
429.008	worked on building a machine that would scan books
431.758	and read them out in synthetic speech.
434.289	Optical character recognition units then
436.836	only operated usually on one font,
439.576	but by using charge-coupled device flatbed scanners
443.92	and speech synthesizers,
445.426	he developed a machine that could read any font.
