startsecond	text
12.285	Throughout my career, I've been fortunate enough
15.36	to work with many of the great
16.719	international architects,
18.445	documenting their work and observing
20.869	how their designs have the capacity
22.828	to influence the cities in which they sit.
25.797	I think of new cities like Dubai
28.64	or ancient cities like Rome
31.117	with Zaha Hadid's incredible MAXXI museum,
34.479	or like right here in New York with the High Line,
37.296	a city which has been so much influenced
39.867	by the development of this.
41.57	But what I find really fascinating
43.645	is what happens when architects and planners leave
46.741	and these places become appropriated by people,
49.86	like here in Chandigarh, India,
52.2	the city which has been completely designed
54.52	by the architect Le Corbusier.
56.659	Now 60 years later, the city has been taken over
59.639	by people in very different ways
61.26	from whatever perhaps intended for,
64.582	like here, where you have the people
66.888	sitting in the windows of the assembly hall.
69.851	But over the course of several years,
71.938	I've been documenting Rem Koolhaas's
74.356	CCTV building in Beijing
76.402	and the olympic stadium in the same city
79.24	by the architects Herzog and de Meuron.
82.384	At these large-scale construction sites in China,
85.829	you see a sort of makeshift camp
87.952	where workers live during the entire building process.
92.142	As the length of the construction takes years,
94.624	workers end up forming a rather rough-and-ready
97.382	informal city, making for quite a juxtaposition
100.648	against the sophisticated structures that they're building.
104.091	Over the past seven years, I've been following
106.3	my fascination with the built environment,
108.971	and for those of you who know me, you would say
111.674	that this obsession has led me to live
113.66	out of a suitcase 365 days a year.
117.082	Being constantly on the move
119.579	means that sometimes I am able
121.394	to catch life's most unpredictable moments,
124.57	like here in New York
126.551	the day after the Sandy storm hit the city.
130.944	Just over three years ago,
133.008	I was for the first time in Caracas, Venezuela,
135.694	and while flying over the city, I was just amazed
138.49	by the extent to which the slums
140.53	reach into every corner of the city,
142.979	a place where nearly 70 percent of the population
145.716	lives in slums,
147.057	draped literally all over the mountains.
150.35	During a conversation with local architects Urban-Think Tank,
153.777	I learned about the Torre David,
156.13	a 45-story office building which sits
158.673	right in the center of Caracas.
160.726	The building was under construction
162.329	until the collapse of the Venezuelan economy
164.855	and the death of the developer in the early '90s.
168.221	About eight years ago, people started moving
