startsecond	text
0	Translator: Timothy Covell
0	Reviewer: Morton Bast
15.695	All right. So, like all good stories,
17.678	this starts a long, long time ago
19.612	when there was basically nothing.
21.761	So here is a complete picture of the universe
24.161	about 14-odd billion years ago.
27.613	All energy is concentrated into a single point of energy.
30.697	For some reason it explodes,
32.281	and you begin to get these things.
34.397	So you're now about 14 billion years into this.
37.263	And these things expand and expand and expand
39.159	into these giant galaxies,
40.858	and you get trillions of them.
42.177	And within these galaxies
44.325	you get these enormous dust clouds.
46.444	And I want you to pay particular attention
48.209	to the three little prongs
49.659	in the center of this picture.
51.56	If you take a close-up of those,
52.975	they look like this.
54.628	And what you're looking at is columns of dust
57.478	where there's so much dust --
59.525	by the way, the scale of this is a trillion vertical miles --
63.858	and what's happening is there's so much dust,
66.776	it comes together and it fuses
68.71	and ignites a thermonuclear reaction.
72.169	And so what you're watching
73.011	is the birth of stars.
74.996	These are stars being born out of here.
76.653	When enough stars come out,
79.121	they create a galaxy.
80.919	This one happens to be a particularly important galaxy,
84.353	because you are here.
86.569	(Laughter)
87.736	And as you take a close-up of this galaxy,
89.387	you find a relatively normal,
91.452	not particularly interesting star.
93.82	By the way, you're now about two-thirds of the way into this story.
97.835	So this star doesn't even appear
100.017	until about two-thirds of the way into this story.
102.968	And then what happens
104.046	is there's enough dust left over
105.452	that it doesn't ignite into a star,
107.418	it becomes a planet.
109.418	And this is about a little over four billion years ago.
114.243	And soon thereafter
115.676	there's enough material left over
117.593	that you get a primordial soup,
122.156	and that creates life.
123.92	And life starts to expand and expand and expand,
127.801	until it goes kaput.
129.552	(Laughter)
133.04	Now the really strange thing
134.47	is life goes kaput, not once, not twice,
137.376	but five times.
139.592	So almost all life on Earth
141.694	is wiped out about five times.
144.158	And as you're thinking about that,
145.71	what happens is you get more and more complexity,
148.142	more and more stuff
149.376	to build new things with.
153.494	And we don't appear
154.764	until about 99.96 percent of the time into this story,
160.412	just to put ourselves and our ancestors in perspective.
164.342	So within that context, there's two theories of the case
167.801	as to why we're all here.
169.49	The first theory of the case
171.079	is that's all she wrote.
174.488	Under that theory,
175.847	we are the be-all and end-all
177.683	of all creation.
179.416	And the reason for trillions of galaxies,
182.3	sextillions of planets,
184.313	is to create something that looks like that
189.023	and something that looks like that.
192.656	And that's the purpose of the universe;
194.197	and then it flat-lines,
195.481	it doesn't get any better.
196.792	(Laughter)
201.272	The only question you might want to ask yourself is,
204.091	could that be just mildly arrogant?
209.326	And if it is --
211.067	and particularly given the fact that we came very close to extinction.
