startsecond	text
13.145	Let's say you despise
15.407	Western democracy.
18.412	Democracy, in all its trappings,
20.648	free elections, town halls,
23.335	endless debates about
23.335	the proper role of government.
26.195	Too messy,
27.552	too unpredictable,
28.732	too constraining for your taste.
31.531	And the way these democracies
31.531	band together and lecture everyone else
35.805	about individual rights and freedoms --
38.12	it gets under your skin.
41.2	So what to do about it?
43.961	You can call out the hypocrisy
43.961	and failures of Western democracies
48.523	and explain how your way is better,
51.776	but that's never really worked for you.
54.536	What if you could get the people
57.236	whose support is the very foundation
57.236	of these democracies
60.4	to start questioning the system?
64.262	Make the idea occur in their own minds
66.734	that democracy and its institutions
66.734	are failing them,
70.87	their elite are corrupt puppet masters
73.154	and the country they knew is in free fall.
77.603	To do that,
78.901	you'll need to infiltrate
78.901	the information spheres
81.923	of these democracies.
83.249	You'll need to turn
83.249	their most powerful asset --
86.974	an open mind --
88.903	into their greatest vulnerability.
91.908	You'll need people to question the truth.
95.922	Now, you'll be familiar of hacking
95.922	and leaks that happened in 2016.
100.688	One was the Democratic
100.688	National Committee's networks,
103.534	and the personal email
103.534	accounts of its staff,
106.389	later released on WikiLeaks.
108.844	After that, various online personas,
111.194	like a supposed Romanian cybercriminal
111.194	who didn't speak Romanian,
116.098	aggressively pushed news
116.098	of these leaks to journalists.
120.811	The media took the bait.
122.631	They were consumed by how much
122.631	the DNC hated Bernie.
126.738	At the time, it was that narrative
126.738	that far outshined the news
131.002	that a group of Russian government
131.002	sponsored hackers
134.366	"who we called ""Advanced"
134.366	"Persistent Threat 28,"""
137.623	"or ""APT28"" for short,"
140.228	was carrying out
140.228	these operations against the US.
144.012	And there was no shortage of evidence.
146.804	This group of Russian government hackers
146.804	hadn't just appeared out of nowhere
150.546	in 2016.
151.734	We had started tracking
151.734	this group back in 2014.
154.915	And the tools that APT28 used
154.915	to compromise its victims' networks
159.82	demonstrated a thoughtful,
159.82	well-resourced effort
163.437	that had taken place for now over a decade
166.287	in Moscow's time zone
167.81	from about 9 am to 6 pm.
170.915	APT28 loved to prey on the emails
170.915	and contacts of journalists in Chechnya,
176.021	the Georgian government,
176.021	eastern European defense attachés --
179.552	all targets with an undeniable interest
179.552	to the Russian government.
183.617	We weren't the only ones onto this.
