startsecond	text
18.33	Bacteria are the oldest living organisms on the earth.
21.33	They've been here for billions of years,
23.33	and what they are are single-celled microscopic organisms.
27.33	So they are one cell and they have this special property
30.33	that they only have one piece of DNA.
32.33	They have very few genes,
34.33	and genetic information to encode all of the traits that they carry out.
38.33	And the way bacteria make a living
40.33	is that they consume nutrients from the environment,
43.33	they grow to twice their size, they cut themselves down in the middle,
46.33	and one cell becomes two, and so on and so on.
49.33	They just grow and divide, and grow and divide -- so a kind of boring life,
53.33	except that what I would argue is that you have
55.33	an amazing interaction with these critters.
58.33	I know you guys think of yourself as humans, and this is sort of how I think of you.
61.33	This man is supposed to represent
63.33	a generic human being,
65.33	and all of the circles in that man are all of the cells that make up your body.
69.33	There is about a trillion human cells that make each one of us
72.33	who we are and able to do all the things that we do,
75.33	but you have 10 trillion bacterial cells
78.33	in you or on you at any moment in your life.
80.33	So, 10 times more bacterial cells
82.33	than human cells on a human being.
85.33	And of course it's the DNA that counts,
87.33	so here's all the A, T, Gs and Cs
89.33	that make up your genetic code, and give you all your charming characteristics.
92.33	You have about 30,000 genes.
94.33	Well it turns out you have 100 times more bacterial genes
97.33	playing a role in you or on you all of your life.
101.33	At the best, you're 10 percent human,
104.33	but more likely about one percent human,
106.33	depending on which of these metrics you like.
108.33	I know you think of yourself as human beings,
110.33	but I think of you as 90 or 99 percent bacterial.
114.33	(Laughter)
115.33	These bacteria are not passive riders,
118.33	these are incredibly important, they keep us alive.
121.33	They cover us in an invisible body armor
124.33	that keeps environmental insults out
126.33	so that we stay healthy.
128.33	They digest our food, they make our vitamins,
130.33	they actually educate your immune system
132.33	to keep bad microbes out.
134.33	So they do all these amazing things
136.33	that help us and are vital for keeping us alive,
140.33	and they never get any press for that.
142.33	But they get a lot of press because they do a lot of
144.33	terrible things as well.
146.33	So, there's all kinds of bacteria on the Earth
149.33	that have no business being in you or on you at any time,
152.33	and if they are, they make you incredibly sick.
156.33	And so, the question for my lab is whether you want to think about all the
159.33	good things that bacteria do, or all the bad things that bacteria do.
163.33	The question we had is how could they do anything at all?
165.33	I mean they're incredibly small,
167.33	you have to have a microscope to see one.
169.33	They live this sort of boring life where they grow and divide,
172.33	and they've always been considered to be these asocial reclusive organisms.
177.33	And so it seemed to us that they are just too small to have an impact
180.33	on the environment
182.33	if they simply act as individuals.
184.33	And so we wanted to think if there couldn't be a different
186.33	way that bacteria live.
188.33	The clue to this came from another marine bacterium,
192.33	and it's a bacterium called Vibrio fischeri.
195.33	What you're looking at on this slide is just a person from my lab
198.33	holding a flask of a liquid culture of a bacterium,
201.33	a harmless beautiful bacterium that comes from the ocean,
204.33	named Vibrio fischeri.
206.33	This bacterium has the special property that it makes light,
209.33	so it makes bioluminescence,
211.33	like fireflies make light.
213.33	We're not doing anything to the cells here.
215.33	We just took the picture by turning the lights off in the room,
217.33	and this is what we see.
219.33	What was actually interesting to us
221.33	was not that the bacteria made light,
223.33	but when the bacteria made light.
225.33	What we noticed is when the bacteria were alone,
228.33	so when they were in dilute suspension, they made no light.
231.33	But when they grew to a certain cell number
233.33	all the bacteria turned on light simultaneously.
237.33	The question that we had is how can bacteria, these primitive organisms,
241.33	tell the difference from times when they're alone,
243.33	and times when they're in a community,
245.33	and then all do something together.
248.33	What we've figured out is that the way that they do that is that they talk to each other,
252.33	and they talk with a chemical language.
254.33	This is now supposed to be my bacterial cell.
257.33	When it's alone it doesn't make any light.
260.33	But what it does do is to make and secrete small molecules
264.33	that you can think of like hormones,
266.33	and these are the red triangles, and when the bacteria is alone
269.33	the molecules just float away and so no light.
272.33	But when the bacteria grow and double
274.33	and they're all participating in making these molecules,
277.33	the molecule -- the extracellular amount of that molecule
281.33	increases in proportion to cell number.
284.33	And when the molecule hits a certain amount
286.33	that tells the bacteria how many neighbors there are,
289.33	they recognize that molecule
291.33	and all of the bacteria turn on light in synchrony.
294.33	That's how bioluminescence works --
296.33	they're talking with these chemical words.
298.33	The reason that Vibrio fischeri is doing that comes from the biology.
302.33	Again, another plug for the animals in the ocean,
305.33	Vibrio fischeri lives in this squid.
308.33	What you are looking at is the Hawaiian Bobtail Squid,
