startsecond	text
12.76	The conventional wisdom
12.76	about our world today
15.6	is that this is a time
15.6	of terrible decline.
19.64	And that's not surprising,
19.64	given the bad news all around us,
23.72	from ISIS to inequality,
25.84	political dysfunction, climate change,
28.28	Brexit, and on and on.
31.76	But here's the thing,
31.76	and this may sound a little weird.
35.64	I actually don't buy
35.64	this gloomy narrative,
38.96	and I don't think you should either.
40.76	Look, it's not that
40.76	I don't see the problems.
43.28	I read the same headlines that you do.
46	What I dispute is the conclusion
46	that so many people draw from them,
49.84	namely that we're all screwed
51.76	because the problems are unsolvable
54.88	and our governments are useless.
57.24	Now, why do I say this?
58.64	It's not like I'm particularly
58.64	optimistic by nature.
62.36	But something about the media's
62.36	constant doom-mongering
66.08	with its fixation on problems
66.08	and not on answers
69.8	has always really bugged me.
71.96	So a few years ago I decided,
74.08	well, I'm a journalist,
76	I should see if I can do any better
78	by going around the world
78	and actually asking folks
81.56	if and how they've tackled
82.84	their big economic
82.84	and political challenges.
86.76	And what I found astonished me.
89.28	It turns out that there are remarkable
89.28	signs of progress out there,
93.72	often in the most unexpected places,
96.8	and they've convinced me
96.8	that our great global challenges
100	may not be so unsolvable after all.
103.04	Not only are there theoretical fixes;
105.76	those fixes have been tried.
107.88	They've worked.
109.64	And they offer hope for the rest of us.
112.4	I'm going to show you what I mean
114.04	by telling you about
114.04	how three of the countries I visited --
116.92	Canada, Indonesia and Mexico --
118.56	overcame three supposedly
118.56	impossible problems.
122.72	Their stories matter because they contain
122.72	tools the rest of us can use,
126.84	and not just for those
126.84	particular problems,
129.8	but for many others, too.
133.12	When most people think
133.12	about my homeland, Canada, today,
137.36	if they think about Canada at all,
139.004	they think cold, they think boring,
139.004	they think polite.
142.639	"They think we say ""sorry"" too much"
142.639	in our funny accents.
146.8	And that's all true.
148.04	(Laughter)
149.6	Sorry.
150.84	(Laughter)
152.36	But Canada's also important
155.24	because of its triumph over a problem
157.08	currently tearing
157.08	many other countries apart:
159.76	immigration.
161.08	Consider, Canada today is among
161.08	the world's most welcoming nations,
165.52	even compared to other
165.52	immigration-friendly countries.
169.2	Its per capita immigration rate
169.2	is four times higher than France's,
