startsecond	text
16.16	I'm going to talk about post-conflict recovery
22.16	and how we might do post-conflict recovery better.
27.16	The record on post-conflict recovery is not very impressive.
36.16	historically, have reverted back to conflict within a decade.
40.16	In fact, they've accounted for half of all civil wars.
45.16	Why has the record been so poor?
48.16	Well, the conventional approach
51.16	to post-conflict situations
53.16	has rested on, on kind of, three principles.
57.16	The first principle is: it's the politics that matters.
62.16	So, the first thing that is prioritized is politics.
65.16	Try and build a political settlement first.
70.16	And then the second step is to say,
73.16	"""The situation is admittedly dangerous, but only for a short time."""
76.16	So get peacekeepers there, but get them home as soon as possible.
81.16	So, short-term peacekeepers.
84.16	And thirdly, what is the exit strategy for the peacekeepers?
88.16	It's an election.
90.16	That will produce a legitimate and accountable government.
95.16	So that's the conventional approach.
98.16	I think that approach denies reality.
102.16	We see that there is no quick fix.
106.16	There's certainly no quick security fix.
109.16	I've tried to look at the risks of reversion to conflict,
112.16	during our post-conflict decade.
114.16	And the risks stay high throughout the decade.
118.16	And they stay high regardless of the political innovations.
125.16	Does an election produce an accountable and legitimate government?
130.16	What an election produces is a winner and a loser.
135.16	And the loser is unreconciled.
140.16	The reality is that we need to reverse the sequence.
144.16	It's not the politics first;
146.16	it's actually the politics last.
149.16	The politics become easier as the decade progresses
152.16	if you're building on a foundation
155.16	of security and economic development --
160.16	the rebuilding of prosperity.
162.16	Why does the politics get easier?
164.16	And why is it so difficult initially?
166.16	Because after years of stagnation and decline,
170.16	the mentality of politics is that it's a zero-sum game.
176.16	If the reality is stagnation,
178.16	I can only go up if you go down.
181.16	And that doesn't produce a productive politics.
186.16	And so the mentality has to shift from
189.16	zero-sum to positive-sum
191.16	before you can get a productive politics.
195.16	You can only get positive, that mental shift,
197.16	if the reality is that prosperity is being built.
201.16	And in order to build prosperity, we need security in place.
206.16	So that is what you get when you face reality.
208.16	But the objective of facing reality
210.16	is to change reality.
212.16	And so now let me suggest
214.16	two complimentary approaches
218.16	to changing the reality of the situations.
221.16	The first is to recognize the interdependence
225.16	of three key actors, who are different actors,
230.16	and at the moment are uncoordinated.
233.16	The first actor is the Security Council.
236.16	The Security Council typically has the responsibility
240.16	for providing the peacekeepers
242.16	who build the security.
245.16	And that needs to be recognized,
247.16	first of all, that peacekeeping works.
250.16	It is a cost-effective approach.
252.16	It does increase security.
255.16	But it needs to be done long-term.
257.16	It needs to be a decade-long approach,
259.16	rather than just a couple of years.
261.16	That's one actor, the Security Council.
264.16	The second actor, different cast of guys,
267.16	is the donors.
269.16	The donors provide post-conflict aid.
272.16	Typically in the past,
275.16	the donors have been interested in the first couple of years,
278.16	and then they got bored.
280.16	They moved on to some other situation.
283.16	Post-conflict economic recovery
285.16	is a slow process.
287.16	There are no quick processes in economics
290.16	except decline.
292.16	You can do that quite fast.
294.16	(Laughter)
295.16	So the donors have to stick with this situation
300.16	for at least a decade.
304.16	And then the third key actor
306.16	is the post-conflict government.
