startsecond	text
15.26	My topic
17.26	is economic growth in China and India.
20.26	And the question I want to explore with you
23.26	is whether or not
25.26	democracy has helped or has hindered
28.26	economic growth.
30.26	You may say this is not fair,
32.26	because I'm selecting two countries
35.26	to make a case against democracy.
38.26	Actually, exactly the opposite
41.26	is what I'm going to do.
43.26	I'm going to use these two countries
45.26	to make an economic argument for democracy,
48.26	rather than against democracy.
51.26	The first question there
53.26	is why China has grown so much faster
55.26	than India.
57.26	Over the last 30 years,
59.26	in terms of the GDP growth rates,
62.26	China has grown at twice the rate of India.
66.26	In the last five years,
68.26	the two countries have begun to converge somewhat
71.26	in economic growth.
73.26	But over the last 30 years,
75.26	China undoubtedly
77.26	has done much better than India.
80.26	One simple answer
82.26	is China has Shanghai and India has Mumbai.
85.26	Look at the skyline of Shanghai.
88.26	This is the Pudong area.
90.26	The picture on India
92.26	is the Dharavi slum of Mumbai
94.26	in India.
96.26	The idea there
98.26	behind these two pictures
100.26	is that the Chinese government
102.26	can act above rule of law.
104.26	It can plan
106.26	for the long-term benefits of the country
108.26	and in the process,
110.26	evict millions of people --
112.26	that's just a small technical issue.
115.26	Whereas in India, you cannot do that,
117.26	because you have to listen to the public.
120.26	You're being constrained by the public's opinion.
122.26	Even Prime Minister Manmohan Singh
125.26	agrees with that view.
127.26	In an interview
129.26	printed in the financial press of India,
131.26	He said that he wants to make Mumbai
134.26	another Shanghai.
136.26	This is an Oxford-trained economist
139.26	steeped in humanistic values,
143.26	and yet he agrees
145.26	with the high-pressure tactics of Shanghai.
149.26	So let me call it the Shanghai model of economic growth,
152.26	that emphasizes the following features
156.26	for promoting economic development:
158.26	infrastructures, airports,
160.26	highways, bridges, things like that.
163.26	And you need a strong government to do that,
166.26	because you cannot respect private property rights.
169.26	You cannot be constrained by the public's opinion.
172.26	You need also state ownership,
174.26	especially of land assets,
177.26	in order to build and roll out infrastructures
180.26	very quickly.
182.26	The implication of that model
184.26	is that democracy
186.26	is a hindrance for economic growth,
188.26	rather than a facilitator of economic growth.
192.26	Here's the key question.
194.26	Just how important are infrastructures
197.26	for economic growth?
199.26	This is a key issue.
201.26	If you believe that infrastructures are very important for economic growth,
205.26	then you would argue a strong government is necessary
208.26	to promote growth.
210.26	If you believe
212.26	that infrastructures are not as important as many people believe,
215.26	then you will put less emphasis
217.26	on strong government.
219.26	So to illustrate that question,
221.26	let me give you two countries.
223.26	And for the sake of brevity,
225.26	I'll call one country Country 1
227.26	and the other country Country 2.
229.26	Country 1
231.26	has a systematic advantage over Country 2
234.26	in infrastructures.
236.26	Country 1 has more telephones,
239.26	and Country 1 has a longer system of railways.
242.26	So if I were to ask you,
245.26	"""Which is China"
247.26	and which is India,
249.26	"and which country has grown faster?"""
251.26	if you believe in the infrastructure view,
254.26	"then you will say, ""Country 1 must be China."
257.26	They must have done better, in terms of economic growth.
259.26	"And Country 2 is possibly India."""
263.26	Actually the country with more telephones
266.26	is the Soviet Union,
268.26	and the data referred to 1989.
271.26	After the country reported very impressive statistics on telephones,
276.26	the country collapsed.
279.26	That's not too good.
281.26	The picture there is Khrushchev.
283.26	I know that in 1989
285.26	he no longer ruled the Soviet Union,
287.26	but that's the best picture that I can find.
290.26	(Laughter)
292.26	Telephones, infrastructures
294.26	do not guarantee you economic growth.
296.26	Country 2, that has fewer telephones,
299.26	is China.
301.26	Since 1989,
303.26	the country has performed at a double-digit rate
305.26	every year for the last 20 years.
308.26	If you know nothing about China and the Soviet Union
311.26	other than the fact about their telephones,
314.26	you would have made a poor prediction
316.26	about their economic growth
318.26	in the next two decades.
320.26	Country 1, that has a longer system of railways,
323.26	is actually India.
325.26	And Country 2 is China.
328.26	This is a very little known fact
331.26	about the two countries.
333.26	Yes, today China has a huge infrastructure advantage
335.26	over India.
337.26	But for many years,
339.26	until the late 1990s,
341.26	China had an infrastructure disadvantage
343.26	vis-a-vis India.
345.26	In developing countries,
347.26	the most common mode of transportation
350.26	is the railways,
