startsecond	text
18.33	(Bass guitar)
34.33	(Bass guitar and accordion)
53.33	♫ You're older than you've ever been ♫
55.33	♫ and now you're even older ♫
57.33	♫ and now you're even older ♫
60.33	♫ and now you're even older. ♫
62.33	♫ You're older than you've even been ♫
64.33	♫ and now you're even older ♫
66.33	♫ and now you're older still. ♫
71.33	♫ Time ♫
75.33	♫ is marching on ♫
80.33	♫ and time ♫
95.33	♫ is still marching on. ♫
101.33	♫ This day will soon be at an end ♫
103.33	♫ and now it's even sooner ♫
105.33	♫ and now it's even sooner ♫
106.33	♫ and now it's even sooner. ♫
108.33	♫ This day will soon be at an end ♫
110.33	♫ and now it's even sooner ♫
112.33	♫ and now it's sooner still. ♫
132.33	♫ You're older than you've ever been ♫
134.33	♫ and now you're even older ♫
135.33	♫ and now you're even older ♫
136.33	♫ and now you're even older. ♫
139.33	♫ You're older than you've ever been ♫
141.33	♫ and now you're even older ♫
143.33	♫ and now you're older still. ♫
150.33	Thank you very much.
151.33	Good morning everybody.
152.33	We are They Might Be Giants.
154.33	(Applause)
158.33	I am wearing the Al Gore in-ear monitors
160.33	he wore on the Larry King show
164.33	and I'm hearing that transmission and not mine.
167.33	But I guess that's in keeping,
169.33	so now we'll just move to the PowerPoint presentation,
171.33	ladies and gentlemen.
173.33	This is a brand new song.
175.33	In the spirit of TED, we're bringing you something
177.33	that has not been released.
181.33	John, do you want to introduce the song?
182.33	This is a song about a creature called a hummingbird moth
185.33	which imitates another creature
187.33	which imitates yet another creature.
191.33	It's completely fucked up
192.33	and can only be explained in song.
198.33	♫ Everyone is crying at the dread hypnotic flying ♫
203.33	♫ of the bee of the bird of the moth. ♫
207.33	♫ You can't walk, you can't ramble ♫
210.33	♫ 'cause you're gonna have to scramble ♫
213.33	♫ from the bee of the bird of the moth. ♫
217.33	♫ Catbird is a cat ♫
220.33	♫ but he's got bugness in his veins. ♫
223.33	♫ Manhouse lives within himself ♫
225.33	♫ with thoughtful human brains. ♫
228.33	♫ Neither one is equal 
228.33	♫
230.33	♫ to the challenge of the freak we'll call ♫
233.33	♫ the bee of the bird of the moth. ♫
240.33	♫ Now the moth ♫
242.33	♫ defeats the mouse and man. ♫
244.33	♫ It's messing with the plan. ♫
247.33	♫ It can't be believed ♫
250.33	♫ 'cause it's just a hummingbird moth ♫
254.33	♫ who's acting like the bird ♫
257.33	♫ that thinks it's a bee. ♫
261.33	♫ Got a brand new shipment ♫
263.33	♫ of electrical equipment ♫
266.33	♫ it's addressed to the bottom of the sea. ♫
271.33	♫ Send a tangerine-colored ♫
273.33	♫ nuclear submarine ♫
276.33	♫ with a sticker that says STP. ♫
281.33	♫ Windshield wiper washer fluid ♫
283.33	♫ spraying in the air ... ♫
286.33	♫ headlights under head lice ♫
288.33	♫ under hats lie everywhere. ♫
291.33	♫ Subatomic waves ♫
293.33	♫ to the underwater caves ♫
295.33	♫ of the bee of the bird of the moth. ♫
318.33	♫ Now the moth defeats the mouse and man. ♫
322.33	♫ It's messing with the plan. ♫
325.33	♫ It can't be believed ♫
328.33	♫ 'cause it's just a hummingbird moth ♫
332.33	♫ who's acting like a bird ♫
335.33	♫ that thinks it's a bee. ♫
338.33	♫ Is it us or is this messed up? ♫
343.33	♫ Everyone's deforming ♫
345.33	♫ in the presence of the swarming ♫
348.33	♫ of the bee of the bird of the moth. ♫
353.33	♫ Protozoa, snakes and horses ♫
355.33	♫ have enlisted in the forces ♫
358.33	♫ of the bee of bird of the moth. ♫
364.33	♫ Catbug is a cat ♫
365.33	♫ but he's got bugness in his veins. ♫
368.33	♫ Manhouse lives within himself ♫
371.33	♫ with thoughtful human brains. ♫
373.33	♫ Neither one is equal ♫
375.33	♫ to the challenge of the freak we'll call ♫
378.33	♫ the bee of the bird of the moth. ♫
402.33	(Applause)
403.33	Thanks a lot.
405.33	Thank you very much.
408.33	So we are past our 1,000th show.
413.33	Probably somewhere around 1,500.
414.33	It's hard to know.
416.33	We've only done two shows in 2007 so far,
419.33	but our first show
420.33	was actually the coldest performance we've ever had.
424.33	It was 19 degrees in St. Louis about a month ago
428.33	and I'm happy to report
430.33	that this performance you are seeing today
432.33	is the earliest we have ever performed.
435.33	So thank you.
440.33	We are cultural test pilots, ladies and gentlemen.
443.33	How early can a rock performance begin?
450.33	Not all the facts are in about performing
452.33	at 8.30 in the morning.
457.33	I can tell you the 19 degree thing
460.33	was fantastic.
469.33	All right.
470.33	So we don't know that much
472.33	about the history of violinists
474.33	but we do know that when we entered
475.33	the state of New Jersey
476.33	there is an uptick in violence.
480.33	"This song is called ""Asbury Park."""
482.33	It's based on a real life experience.
488.33	♫ I ♫
490.33	♫ I got ♫
492.33	♫ I got kicked ♫
494.33	♫ I got kicked in the head ♫
495.33	♫ backstage at the Stone. ♫
497.33	♫ Stone Pone. ♫
500.33	♫ Stone Pony. ♫
501.33	♫ I got kicked in the head ♫
502.33	♫ backstage at the Stone Pony ♫
504.33	♫ where I swore to the guy ♫
505.33	♫ that the guy who took his beer wasn't me. ♫
508.33	♫ Me got ♫
510.33	♫ Me got kicked ♫
512.33	♫ Me got kicked in the head ♫
513.33	♫ backstage at the Stone. ♫
515.33	♫ Stone Pone. ♫
518.33	♫ Stone Pony. ♫
519.33	♫ Me got kicked in the head ♫
520.33	♫ backstage at the Stone Pony ♫
522.33	♫ where I swore to the guy ♫
523.33	♫ that the guy who took his beer ♫
524.33	♫ was a guy dressed like me. ♫
527.33	♫ Not me! ♫
529.33	♫ Not me! ♫
530.33	♫ Not me! ♫
532.33	Thank you.
534.33	Marty Beller on the drums over there.
536.33	(Applause)
541.33	We want to get in as many songs as possible
544.33	during our brief time here
546.33	so this is the one to play.
548.33	"This song is called ""Fingertips."""
552.33	♫ Everything is catching on fire ♫
554.33	♫ Yes, everything is catching on fire ♫
556.33	♫ Yes, everything is catching on fire. ♫
563.33	♫ Fingertips ♫
565.33	♫ Fingertips ♫
566.33	♫ Fingertips ♫
569.33	♫ I hear the wind blow ♫
571.33	♫ I hear the wind blow ♫
574.33	♫ It seems to say ♫
575.33	♫ Hello ♫
577.33	♫ Hello ♫
578.33	♫ I'm the one who loves you so. ♫
580.33	♫ Hey, now everybody, now. ♫
581.33	♫ Hey, now everybody ♫
582.33	♫ Hey, now everybody, now ♫
587.33	♫ Who's that standing ♫
589.33	♫ at the window?♫
593.33	♫ I found a new friend ♫
596.33	♫ underneath my pillow. ♫
