startsecond	text
0	Translator: Timothy Covell
0	Reviewer: Morton Bast
15.997	Human beings start putting each other into boxes
18.426	the second that they see each other --
20.243	Is that person dangerous? Are they attractive?
23.313	Are they a potential mate? Are they a potential networking opportunity?
26.579	We do this little interrogation when we meet people
29.113	to make a mental resume for them.
31.28	What's your name? Where are you from?
32.797	How old are you? What do you do?
36.158	Then we get more personal with it.
38.959	Have you ever had any diseases?
42.107	Have you ever been divorced?
44.094	Does your breath smell bad while you're answering my interrogation right now?
47.54	What are you into? Who are you into?
49.257	What gender do you like to sleep with?
51.123	I get it.
53.553	We are neurologically hardwired
55.305	to seek out people like ourselves.
57.689	We start forming cliques as soon as we're old enough
59.874	to know what acceptance feels like.
61.807	We bond together based on anything that we can --
64.157	music preference, race, gender, the block that we grew up on.
69.609	We seek out environments that reinforce our personal choices.
76.497	"Sometimes, though, just the question ""what do you do?"""
78.958	can feel like somebody's opening a tiny little box
80.918	and asking you to squeeze yourself inside of it.
82.447	Because the categories, I've found, are too limiting.
86.014	The boxes are too narrow.
87.898	And this can get really dangerous.
90.015	So here's a disclaimer about me, though,
91.796	before we get too deep into this.
93.398	I grew up in a very sheltered environment.
96.383	I was raised in downtown Manhattan in the early 1980s,
100.329	two blocks from the epicenter of punk music.
104.224	I was shielded from the pains of bigotry
106.314	and the social restrictions of a religiously-based upbringing.
110.414	Where I come from, if you weren't a drag queen or a radical thinker
113.835	or a performance artist of some kind,
115.963	you were the weirdo.
117.947	(Laughter)
119.23	It was an unorthodox upbringing,
121.315	but as a kid on the streets of New York,
123.826	you learn how to trust your own instincts,
125.797	you learn how to go with your own ideas.
128.73	So when I was six, I decided that I wanted to be a boy.
131.969	I went to school one day and the kids wouldn't let me play basketball with them.
135.436	They said they wouldn't let girls play.
136.869	So I went home, and I shaved my head,
138.279	"and I came back the next day and I said, ""I'm a boy."""
140.901	I mean, who knows, right?
141.915	When you're six, maybe you can do that.
145.728	I didn't want anyone to know that I was a girl, and they didn't.
149.361	I kept up the charade for eight years.
152.003	So this is me when I was 11.
156.17	I was playing a kid named Walter
157.681	"in a movie called ""Julian Po."""
159.87	I was a little street tough that followed Christian Slater around and badgered him.
163.304	See, I was also a child actor,
165.354	which doubled up the layers of the performance of my identity,
168.036	because no one knew that I was actually a girl really playing a boy.
174.124	In fact, no one in my life knew that I was a girl --
177.24	not my teachers at school, not my friends,
179.556	not the directors that I worked with.
181.408	Kids would often come up to me in class
183.673	and grab me by the throat to check for an Adam's apple
