startsecond	text
12.543	On March 10, 2011,
15.286	I was in Cambridge at the MIT Media Lab
18.293	meeting with faculty, students and staff,
21.522	and we were trying to figure out whether
23.311	I should be the next director.
25.671	That night, at midnight,
28.04	a magnitude 9 earthquake
29.81	hit off of the Pacific coast of Japan.
32.676	My wife and family were in Japan,
34.961	and as the news started to come in,
38.271	I was panicking.
39.97	I was looking at the news streams
41.232	and listening to the press conferences
44.06	of the government officials
46.27	and the Tokyo Power Company,
47.86	and hearing about this explosion
50.411	at the nuclear reactors
51.61	and this cloud of fallout
53.291	that was headed towards our house
55.19	which was only about 200 kilometers away.
58.089	And the people on TV weren't telling us
60.92	anything that we wanted to hear.
62.86	I wanted to know what was going on with the reactor,
64.82	what was going on with the radiation,
66.242	whether my family was in danger.
68.57	So I did what instinctively felt like the right thing,
71.759	which was to go onto the Internet
73.43	and try to figure out
74.772	if I could take matters into my own hands.
77.183	On the Net, I found there were a lot of other people
79.024	like me trying to figure out what was going on,
81.09	and together we sort of loosely formed a group
83.306	and we called it Safecast,
85.777	and we decided we were going to try
86.949	to measure the radiation
88.695	and get the data out to everybody else,
90.469	because it was clear that the government
92.141	wasn't going to be doing this for us.
95.043	Three years later,
96.46	we have 16 million data points,
99.554	we have designed our own Geiger counters
102.299	that you can download the designs
103.952	and plug it into the network.
104.826	We have an app that shows you
106.73	most of the radiation in Japan
106.73	and other parts of the world.
109.757	We are arguably one of the most successful
111.962	citizen science projects in the world,
113.817	and we have created
116.169	the largest open dataset of radiation measurements.
119.67	And the interesting thing here
122.412	is how did — (Applause) — Thank you.
127.06	How did a bunch of amateurs
129.151	who really didn't know what we were doing
131.32	somehow come together
133.009	and do what NGOs and the government
136.193	were completely incapable of doing?
138.611	And I would suggest that this has something to do
141.369	with the Internet. It's not a fluke.
143.129	It wasn't luck, and it wasn't because it was us.
145.98	It helped that it was an event
147.398	that pulled everybody together,
149.033	but it was a new way of doing things
150.791	that was enabled by the Internet
152.87	and a lot of the other things that were going on,
154.462	and I want to talk a little bit about
156.475	what those new principles are.
159.144	So remember before the Internet? (Laughter)
163.952	I call this B.I. Okay?
165.74	So, in B.I., life was simple.
169.351	Things were Euclidian, Newtonian,
172.097	somewhat predictable.
173.556	People actually tried to predict the future,
175.966	even the economists.
177.68	And then the Internet happened,
180.894	and the world became extremely complex,
182.965	extremely low-cost, extremely fast,
185.602	and those Newtonian laws
187.72	that we so dearly cherished
189.519	turned out to be just local ordinances,
191.716	and what we found was that in this
193.467	completely unpredictable world
196.08	that most of the people who were surviving
198.112	were working with sort of a different set of principles,
201.445	and I want to talk a little bit about that.
204.076	Before the Internet, if you remember,
205.44	when we tried to create services,
207.345	what you would do is you'd create
208.371	the hardware layer and the
208.371	network layer and the software
210.683	and it would cost millions of dollars
212.711	to do anything that was substantial.
215.018	So when it costs millions of dollars
215.018	to do something substantial,
217.457	what you would do is you'd get an MBA
219.529	who would write a plan
220.987	and get the money
221.93	from V.C.s or big companies,
223.674	and then you'd hire the designers and the engineers,
225.787	and they'd build the thing.
226.81	This is the Before Internet, B.I., innovation model.
231.429	What happened after the Internet was
233.736	the cost of innovation went down so much
235.492	because the cost of collaboration,
235.492	the cost of distribution,
237.979	the cost of communication, and Moore's Law
240.622	made it so that the cost of trying a new thing
243.298	became nearly zero,
244.692	and so you would have Google, Facebook, Yahoo,
246.961	students that didn't have permission —
248.732	permissionless innovation —
250.105	didn't have permission, didn't have PowerPoints,
251.725	they just built the thing,
253.828	then they raised the money,
255.272	and then they sort of figured out a business plan
257.473	and maybe later on they hired some MBAs.
259.83	So the Internet caused innovation,
262.141	at least in software and services,
263.265	to go from an MBA-driven innovation model
266.124	to a designer-engineer-driven innovation model,
270.027	and it pushed innovation to the edges,
272.125	to the dorm rooms, to the startups,
273.671	away from the large institutions,
275.357	the stodgy old institutions that had the power
277.712	and the money and the authority.
