startsecond	text
25	I've been at MIT for 44 years.
27.92	I went to TED I.
29.88	There's only one other person here,
29.88	I think, who did that.
32.76	All the other TEDs --
34	and I went to them all,
34	under Ricky's regime --
36.28	I talked about
36.28	what the Media Lab was doing,
38.84	which today has almost 500 people in it.
41.88	And if you read the press,
43.32	last week it actually said
43.32	I quit the Media Lab.
46	I didn't quit the Media Lab,
46	I stepped down as chairman --
50.2	which was a kind of ridiculous title,
50.2	but someone else has taken it on --
54.92	and one of the things
54.92	you can do as a professor
57.135	is you stay on as a professor.
59	And I will now do for the rest of my life
59	the One Laptop Per Child,
63.28	which I've sort of been doing
63.28	for a year and a half, anyway.
66.32	So I'm going to tell you about this,
68.08	use my 18 minutes
68.08	to tell you why we're doing it,
72.2	how we're doing it
72.2	and then what we're doing.
74.4	And at some point I'll even pass around
77.72	what the $100 laptop might be like.
83.8	I was asked by Chris
83.8	to talk about some of the big issues,
86.68	and so I figured I'd start with the three
86.68	that at least drove me to do this.
91.96	And the first is pretty obvious.
94.8	It's amazing when you meet
94.8	a head of state, and you say,
97.48	"""What is your most precious"
97.48	"natural resource?"""
100.24	"They will not say ""children"" at first,"
102.96	"and then when you say, ""children,"""
102.96	they will pretty quickly agree with you.
107.239	And so that isn't very hard.
109.28	(Laughter)
112	Everybody agrees that whatever
112	the solutions are to the big problems,
117.08	they include education,
117.08	sometimes can be just education
121.84	and can never be without
121.84	some element of education.
125.16	So that's certainly part of it.
127	And the third
127	is a little bit less obvious.
129.4	And that is that we all in this room
129.4	learned how to walk, how to talk,
134.16	not by being taught how to talk,
134.16	or taught how to walk,
138.68	but by interacting with the world,
140.4	by having certain results as a consequence
140.4	of being able to ask for something,
144.56	or being able to stand up and reach it.
146.72	Whereas at about the age six,
146.72	we were told to stop learning that way,
151	and that all learning from then on
151	would happen through teaching,
154.36	whether it's people standing up,
154.36	like I'm doing now,
156.813	or a book, or something.
158.56	But it was really through teaching.
160.52	And one of the things in general
160.52	that computers have provided to learning
165.72	is that it now includes a kind of learning
168.88	which is a little bit more
168.88	like walking and talking,
172	in the sense that a lot of it is driven
172	by the learner himself or herself.
178.64	So with those as the principles --
181.4	some of you may know Seymour Papert.
183.44	This is back in 1982,
183.44	when we were working in Senegal.
187	Because some people think that
187	the $100 laptop just happened a year ago,
192.269	or two years ago,
192.269	or we were struck by lightning --
195.48	this actually has gone back a long time,
195.48	and in fact, back to the '60s.
200.56	Here we're in the '80s.
202.12	Steve Jobs had given us some laptops.
202.12	We were in Senegal.
206.4	It didn't scale
207.68	but it at least was bringing computers
207.68	to developing countries
212.8	and learning pretty quickly
212.8	that these kids,
215.28	even though English wasn't their language,
217.304	the Latin alphabet
217.304	barely was their language,
220.56	but they could just swim like fish.
222.92	They could play these like pianos.
226.36	A little bit more recently,
226.36	I got involved personally.
230.6	And these are two anecdotes --
232.36	one was in Cambodia,
235	in a village that has no electricity,
235	no water, no television, no telephone,
239.44	but has broadband Internet now.
241.6	And these kids,
241.6	"their first English word is ""Google"""
245.12	and they only know Skype.
247.48	They've never heard of telephony.
249.12	They just use Skype.
251.28	And they go home at night --
253.16	they've got a broadband connection
253.16	in a hut that doesn't have electricity.
257	The parents love it,
257	because when they open up the laptops,
259.786	it's the brightest light source
259.786	in the house.
262	And talk about
262	where metaphors and reality mix --
265.4	this is the actual school.
268.56	In parallel with this,
268.56	Seymour Papert got the governor of Maine
273.68	to legislate one laptop per child
273.68	in the year 2002.
279.2	Now at the time, I think it's fair to say
279.2	that 80 percent of the teachers were --
284.32	let me say, apprehensive.
285.92	Really, they were actually against it.
287.76	And they really preferred
287.76	that the money would be used
290.308	for higher salaries,
290.308	more schools, whatever.
292.72	And now, three and a half
292.72	years later, guess what?
297	They're reporting five things:
297	drop of truancy to almost zero,
303.24	attending parent-teacher meetings --
305.189	which nobody did
305.189	and now almost everybody does --
307.72	drop in discipline problems,
307.72	increase in student participation.
311.64	Teachers are now saying
311.64	it's kind of fun to teach.
314.08	Kids are engaged -- they have laptops! --
317.24	and then the fifth,
317.24	which interests me the most,
319.72	is that the servers have to be turned off
319.72	at certain times at night
322.96	because the teachers
322.96	are getting too much email
325.4	from the kids asking them for help.
327.4	So when you see that kind of thing --
329.2	this is not something
329.2	that you have to test.
331.272	The days of pilot projects are over,
331.272	when people say,
334	"""We'd like to do three or four thousand"
334	"in our country to see how it works."""
338.08	Screw you. Go to the back of the line
338.08	and someone else will do it,
341.2	and then when you figure out
341.2	that this works, you can join as well.
345.76	And this is what we're doing.
348.36	(Laughter) (Applause)
350.52	So, One Laptop Per Child
350.52	was formed about a year and a half ago.
355.52	It's a nonprofit association.
357.44	It raised about 20 million dollars
359.4	to do the engineering
359.4	to just get this built,
363.24	and then have it produced afterwards.
365.92	Scale is truly important.
368.2	And it's not important because you can
368.2	buy components at a lower price, OK?
374.52	It's because you can go
374.52	to a manufacturer --
377.42	and I will leave the name out --
379.086	but we wanted a small display,
382.64	doesn't have to have
