startsecond	text
25	What I'm going to do, in the spirit of collaborative creativity,
28	is simply repeat many of the points
31	that the three people before me have already made,
34	but do them --
36	"this is called ""creative collaboration;"""
38	"it's actually called ""borrowing"" --"
41	but do it through a particular perspective,
43	and that is to ask about the role of users and consumers
46	in this emerging world of
48	collaborative creativity
50	that Jimmy and others have talked about.
53	Let me just ask you, to start with,
55	this simple question:
57	who invented the mountain bike?
59	Because traditional economic theory would say,
62	well, the mountain bike was probably invented by some big bike corporation
65	that had a big R&amp;D lab
67	where they were thinking up new projects,
69	and it came out of there. It didn't come from there.
72	Another answer might be, well, it came from a sort of lone genius
75	working in his garage, who,
77	working away on different kinds of bikes, comes up
79	with a bike out of thin air.
81	It didn't come from there. The mountain bike
83	came from users, came from young users,
87	particularly a group in Northern California,
89	who were frustrated with traditional racing bikes,
92	which were those sort of bikes that Eddy Merckx rode,
95	or your big brother, and they're very glamorous.
97	But also frustrated with the bikes that your dad rode,
100	which sort of had big handlebars like that, and they were too heavy.
103	So, they got the frames from these big bikes,
105	put them together with the gears from the racing bikes,
108	got the brakes from motorcycles,
112	and sort of mixed and matched various ingredients.
114	And for the first, I don't know, three to five years of their life,
117	"mountain bikes were known as ""clunkers."""
119	And they were just made in a community of bikers,
122	mainly in Northern California.
124	And then one of these companies that was importing parts
127	for the clunkers decided to set up in business,
129	start selling them to other people,
131	and gradually another company emerged out of that, Marin,
134	and it probably was, I don't know,
138	before the big bike companies
140	realized there was a market.
142	Thirty years later,
144	mountain bike sales
146	and mountain bike equipment
148	account for 65 percent of bike sales in America.
150	That's 58 billion dollars.
153	This is a category entirely created by consumers
156	that would not have been created by the mainstream bike market
159	because they couldn't see the need,
161	the opportunity;
163	they didn't have the incentive to innovate.
166	The one thing I think I disagree with
168	about Yochai's presentation
170	is when he said the Internet causes
172	this distributive capacity for innovation to come alive.
175	It's when the Internet combines
178	with these kinds of passionate pro-am consumers --
181	who are knowledgeable; they've got the incentive to innovate;
184	they've got the tools; they want to --
186	that you get this kind of explosion
188	of creative collaboration.
191	And out of that, you get the need for the kind of things
194	that Jimmy was talking about, which is our new kinds of organization,
197	or a better way to put it:
199	how do we organize ourselves without organizations?
202	That's now possible; you don't need an organization to be organized,
206	to achieve large and complex tasks,
208	like innovating new software programs.
211	So this is a huge challenge
214	to the way we think creativity comes about.
218	The traditional view, still enshrined
220	in much of the way that we think about creativity
223	-- in organizations, in government --
225	is that creativity is about special people:
228	wear baseball caps the wrong way round,
230	come to conferences like this, in special places,
233	elite universities, R&amp;D labs in the forests, water,
238	maybe special rooms in companies painted funny colors,
241	you know, bean bags, maybe the odd table-football table.
245	Special people, special places, think up special ideas,
248	then you have a pipeline that takes the ideas
250	down to the waiting consumers, who are passive.
254	"They can say ""yes"" or ""no"" to the invention."
256	That's the idea of creativity.
258	What's the policy recommendation out of that
260	if you're in government, or you're running a large company?
264	More special people, more special places.
267	Build creative clusters in cities;
269	create more R&amp;D parks, so on and so forth.
272	Expand the pipeline down to the consumers.
275	Well this view, I think, is increasingly wrong.
278	I think it's always been wrong,
280	because I think always creativity has been highly collaborative,
