startsecond	text
0	Translator: Crawford Hunt
0	Reviewer: Joanna Pietrulewicz
13.02	When I was a child,
13.02	I knew I had superpowers.
18.74	That's right.
19.98	(Laughter)
21.1	I thought I was absolutely amazing
21.1	because I could understand
25.14	and relate to the feelings
25.14	of brown people,
27.3	like my grandfather,
27.3	a conservative Muslim guy.
31.18	And also, I could understand
31.18	my Afghan mother, my Pakistani father,
36.1	not so religious
36.1	but laid-back, fairly liberal.
40.3	And of course, I could understand
41.94	and relate to the feelings
41.94	of white people.
44.38	The white Norwegians of my country.
47.3	You know, white, brown, whatever --
49.9	I loved them all.
51.74	I understood them all,
53.02	even if they didn't always
53.02	understand each other;
55.38	they were all my people.
57.42	My father, though,
57.42	was always really worried.
60.38	He kept saying that
60.38	even with the best education,
63.74	I was not going to get a fair shake.
66.94	I would still face discrimination,
66.94	according to him.
70.38	And that the only way
70.38	to be accepted by white people
73.22	would be to become famous.
75.42	Now, mind you, he had this conversation
75.42	with me when I was seven years old.
80.26	So while I'm seven years old, he said,
83.26	"""Look, so it's either got to be sports,"
83.26	"or it's got to be music."""
86.66	He didn't know anything about sports --
86.66	bless him -- so it was music.
91.14	So when I was seven years old,
91.14	he gathered all my toys, all my dolls,
95.5	and he threw them all away.
97.98	In exchange he gave me
97.98	a crappy little Casio keyboard and --
101.86	(Laughter)
103.1	Yeah. And singing lessons.
105.14	And he forced me, basically, to practice
105.14	for hours and hours every single day.
109.94	Very quickly, he also had me performing
109.94	for larger and larger audiences,
114.22	and bizarrely, I became
114.22	almost a kind of poster child
118.02	for Norwegian multiculturalism.
120.58	I felt very proud, of course.
122.34	Because even the newspapers at this point
125.7	were starting to write
125.7	nice things about brown people,
128.3	so I could feel
128.3	that my superpower was growing.
132.78	So when I was 12 years old,
132.78	walking home from school,
135.78	I took a little detour
137.02	because I wanted to buy
137.02	"my favorite sweets called ""salty feet."""
140.579	I know they sound kind of awful,
143.46	but I absolutely love them.
144.98	They're basically these little
144.98	salty licorice bits in the shape of feet.
149.94	And now that I say it out loud,
149.94	I realize how terrible that sounds,
156.1	but be that as it may,
156.1	I absolutely love them.
158.62	So on my way into the store,
160.74	there was this grown white guy
160.74	in the doorway blocking my way.
165.3	So I tried to walk around him,
165.3	and as I did that, he stopped me
171.26	and he was staring at me,
174.02	and he spit in my face, and he said,
175.98	"""Get out of my way"
177.22	you little black bitch,
177.22	you little Paki bitch,
180.5	"go back home where you came from."""
183.42	I was absolutely horrified.
186.54	I was staring at him.
187.86	I was too afraid
187.86	to wipe the spit off my face,
191.66	even as it was mixing with my tears.
193.82	I remember looking around,
193.82	hoping that any minute now,
197.54	a grown-up is going to come
197.54	and make this guy stop.
201.22	But instead, people kept hurrying past me
201.22	and pretended not to see me.
205.98	I was very confused
205.98	because I was thinking, well,
210.46	"""My white people, come on!"
210.46	Where are they? What's going on?
213.78	How come they're not
213.78	"coming and rescuing me?"""
216.58	So, needless to say,
216.58	I didn't buy the sweets.
218.86	I just ran home as fast as I could.
221.86	Things were still OK, though, I thought.
224.62	As time went on,
224.62	the more successful I became,
227.74	I eventually started also
227.74	attracting harassment from brown people.
233.34	Some men in my parent's community
233.34	felt that it was unacceptable
236.66	and dishonorable for a woman
236.66	to be involved in music
241.54	and to be so present in the media.
245.1	So very quickly, I was starting
245.1	to become attacked at my own concerts.
250.54	I remember one of the concerts,
250.54	I was onstage, I lean into the audience
255.58	and the last thing I see
255.58	is a young brown face,
258.86	and the next thing I know is some sort
258.86	of chemical is thrown in my eyes
263.1	and I remember I couldn't really see
263.1	and my eyes were watering
266.34	but I kept singing anyway.
268.659	I was spit in the face in the streets
268.659	of Oslo, this time by brown men.
274.18	They even tried to kidnap me at one point.
277.42	The death threats were endless.
279.5	I remember one older bearded guy
279.5	stopped me in the street one time,
282.78	"and he said, ""The reason"
282.78	I hate you so much
284.94	is because you make our daughters think
287.02	"they can do whatever they want."""
290.38	A younger guy warned me to watch my back.
293.22	He said music is un-Islamic
293.22	and the job of whores,
296.26	and if you keep this up,
296.26	you are going to be raped
299.02	and your stomach will be cut out so that
299.02	another whore like you will not be born.
305.38	Again, I was so confused.
307.1	I couldn't understand what was going on.
309.029	My brown people now starting
309.029	to treat me like this -- how come?
313.38	Instead of bridging the worlds,
313.38	the two worlds,
316.5	I felt like I was falling
