startsecond	text
12.827	I was recently traveling
12.827	in the Highlands of New Guinea,
15.912	and I was talking with a man
15.912	who had three wives.
18.905	"I asked him, ""How many wives"
18.905	"would you like to have?"""
22.34	And there was this long pause,
23.798	and I thought to myself,
25.017	"""Is he going to say five?"
26.592	Is he going to say 10?
28.043	"Is he going to say 25?"""
29.909	And he leaned towards me
31.095	"and he whispered, ""None."""
32.629	(Laughter)
35.514	Eighty-six percent of human societies
35.514	permit a man to have several wives:
39.913	polygyny.
41.088	But in the vast majority
41.088	of these cultures,
43.221	only about five or ten percent of men
43.221	actually do have several wives.
47.543	Having several partners
47.543	can be a toothache.
49.914	In fact, co-wives can
49.914	fight with each other,
53.058	sometimes they can even poison
53.058	each other's children.
56.455	And you've got to have
56.455	a lot of cows, a lot of goats,
59.13	a lot of money, a lot of land,
61.119	in order to build a harem.
63.017	We are a pair-bonding species.
65.416	Ninety-seven percent of mammals
65.416	do not pair up to rear their young;
68.978	human beings do.
70.83	I'm not suggesting that we're not --
73.004	that we're necessarily
73.004	sexually faithful to our partners.
76.175	I've looked at adultery in 42 cultures,
78.947	I understand, actually,
78.947	some of the genetics of it,
81.406	and some of the brain circuitry of it.
83.278	It's very common around the world,
85.245	but we are built to love.
87.716	How is technology changing love?
91.515	I'm going to say almost not at all.
94.744	I study the brain.
96.122	I and my colleagues have put
96.122	over 100 people into a brain scanner --
99.876	people who had just
99.876	fallen happily in love,
102.907	people who had just been rejected in love
104.962	and people who are in love long-term.
106.859	And it is possible
106.859	"to remain ""in love"" long-term."
110.543	And I've long ago maintained
112.473	that we've evolved three distinctly
112.473	different brain systems
115.522	for mating and reproduction:
117.383	sex drive,
118.559	feelings of intense romantic love
120.519	and feelings of deep cosmic
120.519	attachment to a long-term partner.
124.289	And together, these three brain systems --
126.749	with many other parts of the brain --
129.261	orchestrate our sexual,
129.261	our romantic and our family lives.
134.411	But they lie way below the cortex,
136.828	way below the limbic system
136.828	where we feel our emotions,
141.073	generate our emotions.
142.384	They lie in the most primitive parts
142.384	of the brain, linked with energy,
147.223	focus, craving, motivation,
147.223	wanting and drive.
152.503	In this case,
153.68	the drive to win life's greatest prize:
156.235	a mating partner.
157.693	They evolved over 4.4 million years ago
157.693	among our first ancestors,
162.234	and they're not going to change
162.234	if you swipe left or right on Tinder.
166.72	(Laughter)
168.291	(Applause)
170.761	There's no question that technology
170.761	is changing the way we court:
175.4	emailing, texting,
177.348	emojis to express your emotions,
179.347	sexting,
180.635	"""liking"" a photograph, selfies ..."
183.095	We're seeing new rules
183.095	and taboos for how to court.
187.936	But, you know --
189.947	is this actually
189.947	dramatically changing love?
193.73	What about the late 1940s,
196.118	when the automobile became very popular
198.703	and we suddenly had rolling bedrooms?
201.073	(Laughter)
202.815	How about the introduction
202.815	of the birth control pill?
207.491	Unchained from the great threat
207.491	of pregnancy and social ruin,
212.812	women could finally express
212.812	their primitive and primal sexuality.
217.724	Even dating sites are not changing love.
220.765	I'm Chief Scientific Advisor to Match.com,
223.347	I've been it for 11 years.
225.051	I keep telling them
225.051	and they agree with me,
227.079	that these are not dating sites,
228.642	they are introducing sites.
231.017	When you sit down in a bar,
233.304	in a coffee house,
234.912	on a park bench,
236.292	your ancient brain snaps into action
236.292	like a sleeping cat awakened,
241.321	and you smile
242.644	and laugh
243.826	and listen
245.032	and parade the way our ancestors
245.032	did 100,000 years ago.
250.424	We can give you various people --
252.401	all the dating sites can --
253.99	but the only real algorithm
253.99	is your own human brain.
257.927	Technology is not going to change that.
261.041	Technology is also not going to change
261.041	who you choose to love.
265.709	I study the biology of personality,
268.429	and I've come to believe
269.665	that we've evolved four very broad
269.665	styles of thinking and behaving,
273.972	linked with the dopamine, serotonin,
275.826	testosterone and estrogen systems.
278.358	So I created a questionnaire
278.358	directly from brain science
282.535	to measure the degree to which
282.535	you express the traits --
285.701	the constellation of traits --
287.479	linked with each
287.479	of these four brain systems.
