startsecond	text
15.26	If nothing else, at least I've discovered
18.26	what it is we put our speakers through:
20.26	sweaty palms, sleepless nights,
23.26	a wholly unnatural fear of clocks.
26.26	I mean, it's quite brutal.
29.26	And I'm also a little nervous about this.
33.26	There are nine billion humans coming our way.
36.26	Now, the most optimistic dreams
38.26	can get dented by the prospect
41.26	of people plundering the planet.
44.26	But recently, I've become intrigued
47.26	by a different way of thinking of large human crowds,
50.26	because there are circumstances
52.26	where they can do something really cool.
54.26	It's a phenomenon that I think
56.26	any organization or individual can tap into.
59.26	It certainly impacted the way we think about TED's future,
62.26	and perhaps the world's future overall.
65.26	So, let's explore.
67.26	The story starts with just a single person,
69.26	a child, behaving a little strangely.
73.26	This kid is known online as Lil Demon.
76.26	He's doing tricks here, dance tricks,
78.26	that probably no six-year-old in history ever managed before.
81.26	How did he learn them?
83.26	And what drove him to spend the hundreds of hours of practice
86.26	this must have taken?
88.26	Here's a clue.
90.26	(Video) Lil Demon: ♫ Step your game up. Oh. Oh. ♫
93.26	♫ Step your game up. Oh. Oh. ♫
96.26	Chris Anderson: So, that was sent to me by this man,
99.26	a filmmaker, Jonathan Chu,
101.26	who told me that was the moment he realized
103.26	the Internet was causing dance to evolve.
106.26	This is what he said at TED in February.
110.26	In essence,
112.26	dancers were challenging each other online to get better;
114.26	incredible new dance skills were being invented;
117.26	even the six-year-olds were joining in.
119.26	It felt like a revolution.
121.26	And so Jon had a brilliant idea:
124.26	He went out to recruit the best of the best dancers
126.26	off of YouTube
128.26	to create this dance troupe --
131.26	The League of Extraordinary Dancers, the LXD.
134.26	I mean, these kids were web-taught,
136.26	but they were so good that they got to play at the Oscars this year.
140.26	And at TED here in February,
142.26	their passion and brilliance just took our breath away.
146.26	So, this story
148.26	of the evolution of dance
150.26	seems strangely familiar.
152.26	You know, a while after TEDTalks started taking off,
155.26	we noticed that speakers
157.26	were starting to spend a lot more time in preparation.
160.26	It was resulting in incredible new talks like these two.
163.26	... Months of preparation
165.26	crammed into 18 minutes,
167.26	raising the bar cruelly for the next generation of speakers,
170.26	with the effects that we've seen this week.
172.26	It's not as if J.J. and Jill
175.26	"actually ended their talks saying, ""Step your game up,"""
177.26	but they might as well have.
179.26	So, in both of these cases,
182.26	you've got these cycles of improvement,
184.26	apparently driven
186.26	by people watching web video.
188.26	What is going on here?
