startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Morton Bast
16.21	Now, extinction is a different kind of death.
21.272	It's bigger.
23.895	We didn't really realize that until 1914,
26.975	when the last passenger pigeon, a female named Martha,
30.19	died at the Cincinnati zoo.
33.208	This had been the most abundant bird in the world
36.749	that'd been in North America for six million years.
40.356	Suddenly it wasn't here at all.
43.661	Flocks that were a mile wide and 400 miles long
47.738	used to darken the sun.
50.385	Aldo Leopold said this was a biological storm,
53.455	a feathered tempest.
56.26	And indeed it was a keystone species
58.704	that enriched the entire eastern deciduous forest,
62.72	from the Mississippi to the Atlantic,
65.004	from Canada down to the Gulf.
68.319	But it went from five billion birds to zero in just a couple decades.
71.632	What happened?
72.832	Well, commercial hunting happened.
74.985	These birds were hunted for meat that was sold by the ton,
78.944	and it was easy to do because when those big flocks
81.264	came down to the ground, they were so dense
83.536	that hundreds of hunters and netters could show up
85.904	and slaughter them by the tens of thousands.
88.91	It was the cheapest source of protein in America.
91.928	By the end of the century, there was nothing left
93.903	but these beautiful skins in museum specimen drawers.
98.743	There's an upside to the story.
100.618	This made people realize that the same thing
102.532	was about to happen to the American bison,
105.024	and so these birds saved the buffalos.
108.429	But a lot of other animals weren't saved.
110.103	The Carolina parakeet was a parrot that lit up backyards everywhere.
114.894	It was hunted to death for its feathers.
117.24	There was a bird that people liked on the East Coast called the heath hen.
120.342	It was loved. They tried to protect it. It died anyway.
123.351	"A local newspaper spelled out, ""There is no survivor,"
126.725	"there is no future, there is no life to be recreated in this form ever again."""
131.542	There's a sense of deep tragedy that goes with these things,
134.213	and it happened to lots of birds that people loved.
136.638	It happened to lots of mammals.
138.846	Another keystone species is a famous animal
141.469	called the European aurochs.
143.534	There was sort of a movie made about it recently.
145.989	And the aurochs was like the bison.
148.597	This was an animal that basically kept the forest
151.777	mixed with grasslands across the entire Europe and Asian continent,
156.829	from Spain to Korea.
159.173	The documentation of this animal goes back
161.301	to the Lascaux cave paintings.
164.526	The extinctions still go on.
166.718	There's an ibex in Spain called the bucardo.
169.747	It went extinct in 2000.
172.093	There was a marvelous animal, a marsupial wolf
174.85	called the thylacine in Tasmania, south of Australia,
178.581	called the Tasmanian tiger.
180.651	It was hunted until there were just a few left to die in zoos.
184.969	A little bit of film was shot.
198.853	Sorrow, anger, mourning.
204.11	Don't mourn. Organize.
207.266	What if you could find out that, using the DNA in museum specimens,
210.885	fossils maybe up to 200,000 years old
213.882	could be used to bring species back,
216.32	what would you do? Where would you start?
217.944	Well, you'd start by finding out if the biotech is really there.
220.858	I started with my wife, Ryan Phelan,
222.95	who ran a biotech business called DNA Direct,
226.084	and through her, one of her colleagues, George Church,
230.133	one of the leading genetic engineers
232.828	who turned out to be also obsessed with passenger pigeons
235.837	and a lot of confidence
237.448	that methodologies he was working on
239.76	might actually do the deed.
241.849	So he and Ryan organized and hosted a meeting
245.104	at the Wyss Institute in Harvard bringing together
247.368	specialists on passenger pigeons, conservation ornithologists, bioethicists,
251.979	and fortunately passenger pigeon DNA had already been sequenced
256.092	by a molecular biologist named Beth Shapiro.
259.383	All she needed from those specimens at the Smithsonian
262.262	was a little bit of toe pad tissue,
264.917	because down in there is what is called ancient DNA.
268.3	It's DNA which is pretty badly fragmented,
271.272	but with good techniques now, you can basically reassemble the whole genome.
276.164	Then the question is, can you reassemble,
278.485	with that genome, the whole bird?
280.98	George Church thinks you can.
283.484	"So in his book, ""Regenesis,"" which I recommend,"
286.549	he has a chapter on the science of bringing back extinct species,
290.012	and he has a machine called
291.548	the Multiplex Automated Genome Engineering machine.
294.996	It's kind of like an evolution machine.
296.73	You try combinations of genes that you write
299.436	at the cell level and then in organs on a chip,
