startsecond	text
12.999	A year ago, we were invited
12.999	by the Swiss Embassy in Berlin
16.365	to present our art projects.
18.999	We are used to invitations,
18.999	but this invitation really thrilled us.
23.586	The Swiss Embassy in Berlin is special.
26.451	It is the only old building
26.451	in the government district
29.443	that was not destroyed
29.443	during the Second World War,
32.423	and it sits right next
32.423	to the Federal Chancellery.
35.723	No one is closer to Chancellor Merkel
35.723	than the Swiss diplomats.
39.863	(Laughter)
42.656	The government district in Berlin
42.656	also contains the Reichstag --
46.499	Germany's parliament --
46.499	and the Brandenburg Gate,
49.334	and right next to the gate
49.334	there are other embassies,
52.299	in particular the US
52.299	and the British Embassy.
56.657	Although Germany is an advanced democracy,
59.897	citizens are limited
59.897	in their constitutional rights
62.882	in its government district.
64.299	The right of assembly and the right
64.299	to demonstrate are restricted there.
69.607	And this is interesting
69.607	from an artistic point of view.
73.299	The opportunities to exercise
73.299	participation and to express oneself
78.035	are always bound to a certain order
80.299	and always subject
80.299	to a specific regulation.
83.798	With an awareness of the dependencies
83.798	of these regulations,
88.581	we can gain a new perspective.
91.299	The given terms and conditions
91.299	shape our perception, our actions
95.977	and our lives.
98.168	And this is crucial in another context.
101.299	Over the last couple of years,
102.801	we learned that from the roofs
102.801	of the US and the British Embassy,
107.299	the secret services have been listening
107.299	to the entire district,
112.06	including the mobile phone
112.06	of Angela Merkel.
115.299	The antennas of the British GCHQ are
115.299	hidden in a white cylindrical radome,
120.299	while the listening post
120.299	of the American NSA
123.34	is covered by radio transparent screens.
127.342	But how to address these hidden
127.342	and disguised forces?
130.903	With my colleague, Christoph Wachter,
133.299	we accepted the invitation
133.299	of the Swiss Embassy.
136.783	And we used this opportunity
136.783	to exploit the specific situation.
142.508	If people are spying on us,
142.508	it stands to reason
145.674	that they have to listen
145.674	to what we are saying.
148.299	(Laughter)
152.299	On the roof of the Swiss Embassy,
152.299	we installed a series of antennas.
158.729	They weren't as sophisticated as those
158.729	used by the Americans and the British.
163.007	(Laughter)
164.298	They were makeshift can antennas,
166.045	not camouflaged but totally
166.045	obvious and visible.
170.299	The Academy of Arts joined the project,
172.818	and so we built another
172.818	large antenna on their rooftop,
176.532	exactly between the listening posts
176.532	of the NSA and the GCHQ.
180.574	(Laughter)
182.454	Never have we been observed in such detail
182.454	while building an art installation.
187.299	A helicopter circled over our heads
189.575	with a camera registering
189.575	each and every move we made,
192.829	and on the roof of the US Embassy,
192.829	security officers patrolled.
197.499	Although the government district
197.499	is governed by a strict police order,
202.712	there are no specific laws
202.712	relating to digital communication.
207.548	Our installation
207.548	was therefore perfectly legal,
211.055	and the Swiss Ambassador
211.055	informed Chancellor Merkel about it.
215.101	"We named the project ""Can You Hear Me?"""
218.004	(Laughter)
220.805	The antennas created an open
220.805	and free Wi-Fi communication network
225.09	in which anyone who wanted to
225.09	would be able to participate
228.299	using any Wi-Fi-enabled device
228.299	without any hindrance,
231.435	and be able to send messages
233.38	to those listening on the frequencies
233.38	that were being intercepted.
238.51	Text messages, voice chat, file sharing --
241.029	anything could be sent anonymously.
244.852	And people did communicate.
247.299	Over 15,000 messages were sent.
250.299	Here are some examples.
253.299	"""Hello world, hello Berlin,"
253.299	"hello NSA, hello GCHQ."""
259.208	"""NSA Agents, Do the Right Thing!"
259.208	"Blow the whistle!"""
264.884	"""This is the NSA. In God we trust."
264.884	"All others we track!!!!!"""
268.612	(Laughter)
272.233	"""#@nonymous is watching #NSA #GCHQ -"
272.233	we are part of your organizations.
276.299	"# expect us. We will #shutdown"""
279.483	"""This is the NSA's Achilles heel."
279.483	"Open Networks."""
282.967	"""Agents, what twisted story of yourself"
282.967	"will you tell your grandchildren?"""
288.454	"""@NSA My neighbors are noisy."
288.454	"Please send a drone strike."""
292.894	(Laughter)
296.529	"""Make Love, Not cyberwar."""
299.602	We invited the embassies
299.602	and the government departments
302.299	to participate in the open network, too,
305.129	and to our surprise, they did.
307.066	Files appeared on the network,
307.066	including classified documents
310.01	leaked from the parliamentary
310.01	investigation commission,
312.652	which highlights that the free exchange
312.652	and discussion of vital information
316.366	is starting to become difficult,
316.366	even for members of a parliament.
321.746	We also organized guided tours
321.746	to experience and sound out
325.092	the power constellations on-site.
327.166	The tours visited the restricted zones
327.166	around the embassies,
330.527	and we discussed the potential
330.527	and the highlights of communication.
336.299	If we become aware of the constellation,
340.502	the terms and conditions of communication,
343.322	it not only broadens our horizon,
345.677	it allows us to look behind
