startsecond	text
15.7	I'm Ellen and I'm totally
15.7	obsessed with food.
18.82	But I didn't start out obsessed with food.
20.844	I started out obsessed
20.844	with global security policy,
23.32	because I lived in New York during 9/11
23.32	and it was a very relevant thing.
26.8	I got from global security policy to food
28.777	because I realized when I'm hungry,
28.777	I'm really pissed off,
31.52	and I'm assuming
31.52	the rest of the world is too.
33.72	Especially if you and your kids are hungry
33.72	and your neighbor's kids are hungry
37.44	and your whole neighborhood is hungry.
39.32	And actually, it looks like
39.32	the areas of the world that are hungry
42.5	are also the areas of the world
42.5	that are pretty insecure.
45.22	So I took a job at the United Nations
45.22	World Food Programme
47.98	as a way to try to address
47.98	these security issues
50.26	through food security issues.
51.7	There, I came across what I think
51.7	is the most brilliant of their programs.
55.217	It's called School Feeding
55.217	and it's a really simple idea
57.866	to get in the middle
57.866	of the cycle of poverty and hunger
60.47	that continues for a lot of people
60.47	around the world, and stop it.
63.587	A free school meal gets kids into school,
65.58	which is education,
65.58	the first step out of poverty,
67.98	but it also gives them the micronutrients
67.98	and the macronutrients they need
71.5	to develop mentally and physically.
73.22	While I was working at the UN,
73.22	I met this girl. Her name is Lauren Bush.
76.66	And she had this really awesome idea
76.66	"to sell the bag, called the ""Feed Bag"" --"
80.351	which is really beautifully ironic
80.351	because you can strap on the Feed Bag.
83.82	But each bag we'd sell would provide
85.58	a year's worth
85.58	of school meals for one kid.
88.14	It's so simple, and we thought, OK,
90.06	it costs between 20 and 50 bucks
90.06	to provide school feeding for a year.
93.46	We could sell these bags
93.46	and raise a ton of money and awareness
96.54	for the World Food Programme.
97.98	But at the UN,
97.98	sometimes things move slowly
100.06	and they basically said no.
101.42	And we thought, this is such a good idea,
101.42	it's going to raise so much money.
105.06	So we said screw it,
105.06	we'll start our own company,
107.42	which we did, three years ago.
108.873	That was my first dream,
108.873	to start this company called FEED,
111.7	and here's a screenshot of our website.
113.62	We did a bag for Haiti
113.62	just a month after the earthquake
116.3	to provide school meals for kids in Haiti.
118.38	So FEED's doing great.
119.62	We've so far provided 55 million meals
119.62	to kids around the world
122.62	by selling now 550,000 bags,
122.62	a ton of bags, a lot of bags.
126.06	All this time you're really --
127.82	hunger is a hard thing to think about,
129.7	because what we think about is eating.
131.58	I think about eating a lot
131.58	and I really love it.
133.86	And the thing that's strange
133.86	about international hunger
136.5	and talking about international issues
138.38	is that most people want to know:
140.02	"""What are you doing for America's kids?"""
142.5	There's definitely hunger in America:
	and almost 16.7 million children.
147.1	I mean that's pretty dramatic
147.1	for our own country.
149.5	Hunger definitely means
149.5	something different in America
152.06	than it does internationally,
153.5	but it's incredibly important
153.5	to address hunger in our own country.
156.7	But the bigger problem
156.7	that we all know about is obesity,
159.42	and it's dramatic.
160.7	The other thing that's dramatic
162.22	is that both hunger and obesity
162.22	have really risen in the last 30 years.
165.7	Unfortunately, obesity's
165.7	not only an American problem.
168.3	It's actually been spreading
168.3	all around the world
170.66	and mainly through our kind
170.66	of food systems that we're exporting.
173.74	The numbers are pretty crazy.
175.18	There's a billion people
175.18	obese or overweight
177.3	and a billion people hungry.
178.7	So those seem like
178.7	two bifurcated problems,
180.98	but I kind of started
180.98	to think about, you know,
183.22	what is obesity and hunger?
184.58	What are both those things about?
186.22	Well, they're both about food.
187.7	And when you think about food,
189.7	the underpinning of food in both cases
189.7	is potentially problematic agriculture.
194.54	And agriculture is where food comes from.
197.46	Agriculture in America's very interesting.
199.5	It's very consolidated
201.26	and the foods that are produced
201.26	lead to the foods that we eat.
204.22	The foods that are produced are,
204.22	more or less, corn, soy and wheat.
207.42	And that's three-quarters
207.42	of the food that we're eating:
210.1	processed foods and fast foods.
