startsecond	text
12.86	As a kid I always loved information
15.739	that I could get from data
17.587	and the stories that could be told with numbers.
20.629	I remember, growing up, I'd be frustrated at
22.913	how my own parents would lie to me using numbers.
28.459	"""Talithia, if I've told you once "
28.459	"I've told you a thousand times."""
33.443	No dad, you've only told me 17 times
37.335	and twice it wasn't my fault. (Laughter)
40.497	I think that is one of the reasons I got a Ph.D. in statistics.
43.661	I always wanted to know,
44.569	what are people trying to hide with numbers?
47.755	As a statistician,
48.938	I want people to show me the data
52.791	so I can decide for myself.
55.126	Donald and I were pregnant with our third child
58.175	and we were at about 41 and a half weeks,
60.909	what some of you may refer to as being overdue.
64.286	Statisticians, we call that
66.121	being within the 95 percent confidence interval.
68.807	(Laughter)
70.673	And at this point in the process
72.951	we had to come in every couple of days
75.144	to do a stress test on the baby,
76.952	and this is just routine,
78.134	it tests whether or not the baby 
78.134	is feeling any type of undue stress.
82.72	And you are rarely, if ever, seen by your actual doctor,
86.113	just whoever happens to be 
86.113	working at the hospital that day.
89.28	So we go in for a stress test and after 20 minutes
92.026	the doctor comes out and he says,
95.524	"""Your baby is under stress, we need to induce you."""
101.079	Now, as a statistician, what's my response?
105.698	Show me the data!
109.37	So then he proceeds to tell us
112.072	the baby's heart rate trace went from 18 minutes,
114.497	the baby's heart rate was in the normal zone
116.468	and for two minutes it was in what appeared to be
119.421	my heart rate zone and I said,
123.131	"""Is it possible that maybe this was my heart rate?"
125.497	I was moving around a little bit,
127.492	it's hard to lay still on your back,
132.308	"Maybe it was shifting around."""
134.481	"He said, ""Well, we don't want to take any chances."""
139.457	I said okay.
140.717	"I said, ""What if I was at 36 weeks"
142.436	with this same data?
144.245	"Would your decision be to induce?"""
148.124	"""Well, no, I would wait until you were at least"
153.702	there is no reason to leave that baby inside,
155.709	"let's get you a room."""
157.66	"I said, ""Well, why don't we just do it again?"
164.241	We can collect more data.
165.962	I can try to be really still for 20 minutes.
168.373	We can average the two and see
171.056	what that means. (Laughter)
173.738	And he goes,
177.385	"""Ma'am, I just don't want you to have a miscarriage."""
184.434	That makes three of us.
187.566	And then he says,
188.72	"""Your chances of having a miscarriage double"
192.838	"when you go past your due date. Let's get you a room."""
196.605	Wow. So now as a statistician, what's my response?
202.892	Show me the data!
204.24	Dude, you're talking chances,
205.445	I do chances all day long, tell me all about chances.
207.701	Let's talk chances. (Laughter)
209.523	Let's talk chances.
211.488	"So I say, ""Okay, great."
212.689	Do I go from a 30-percent 
212.689	chance to a 60-percent chance?
216.59	Where are we here with this miscarriage thing?
219.141	"And he goes, ""Not quite, but it doubles,"
222.437	"and we really just want what's best for the baby."""
227.419	Undaunted, I try a different angle.
229.582	"I said, ""Okay, out of 1,000 full-term pregnant women,"
235.089	how many of them are going to miscarry
237.616	just before their due date?
239.411	And then he looks at me and looks at Donald,
242.259	and he goes, about one in 1,000.
246.962	"I said, ""Okay, so of those 1,000 women, how many"
249.792	"are going to miscarry just after their due date?"""
254.65	"""About two."" (Laughter)"
258.222	"I said, ""Okay, so you are telling me that my chances"
260.266	go from a 0.1-percent chance
264.213	"to a 0.2-percent chance."""
268.459	Okay, so at this point the data is not convincing us
270.757	that we need to be induced,
272.385	and so then we proceed to have a conversation
274.334	about how inductions lead to a higher rate
276.982	of Cesarean sections, and if at all 
276.982	possible we'd like to avoid that.
280.973	And then I said,
282.225	"""And I really don't think my due date is accurate."""
285.105	(Laughter)
287.705	And so this really stunned him
290.445	and he looked sort of puzzled
292.095	"and I said, ""You may not know this,"
294.227	but pregnancy due dates are calculated
295.808	assuming that you have a standard 28-day cycle,
298.346	and my cycle ranges —
299.748	sometimes it's 27, sometimes it's up to 38 —
303.295	and I have been collecting the data to prove it.
306.449	(Laughter)
310.233	And so we ended up leaving the hospital 
310.233	that day without being induced.
316.07	We actually had to sign a waiver 
316.07	to walk out of the hospital.
322.263	And I'm not advocating that you not listen to your doctors,
325.951	because even with our first child,
327.869	we were induced at 38 weeks; cervical fluid was low.
331.511	I'm not anti-medical intervention.
333.969	But why were confident to leave that day?
336.833	Well, we had data that told a different story.
340.483	We had been collecting data for six years.
345.491	I had this temperature data,
347.789	and it told a different story.
349.064	In fact, we could probably pretty 
349.064	accurately estimate conception.
356.477	Yeah, that's a story you want to tell
358.379	at your kid's wedding reception. (Laughter)
361.631	I remember like it was yesterday.
365.324	My temperature was a sizzling 97.8 degrees
367.965	as I stared into your father's eyes. (Laughter)
372.119	Oh, yeah. Twenty-two more years, we're telling that story.
378.931	But we were confident to leave 
378.931	because we had been collecting data.
381.984	Now, what does that data look like?
383.59	Here's a standard chart
386.427	of a woman's waking body temperature
389.729	during the course of a cycle.
391.246	So from the beginning of the menstrual cycle
392.699	till the beginning of the next.
394.051	You'll see that the temperature is not random.
396.872	Clearly there is a low pattern
398.936	at the beginning of her cycle
400.935	and then you see this jump and then a higher
403.434	set of temperatures at the end of her cycle.
405.712	So what's happening here?
407.133	What is that data telling you?
409.739	Well, ladies, at the beginning of our cycle,
412.438	the hormone estrogen is dominant and that estrogen
415.78	causes a suppression of your body temperature.
419.589	And at ovulation, your body releases an egg
423.126	and progesterone takes over, pro-gestation.
428.141	And so your body heats up in anticipation
430.493	of housing this new little fertilized egg.
434.279	So why this temperature jump?
437.011	Well, think about when a bird sits on her eggs.
440.687	Why is she sitting on them?
442.153	She wants to keep them warm,
444.09	protect them and keep them warm.
445.594	Ladies, this is exactly what our bodies do every month,
447.865	they heat up in anticipation
449.956	of keeping a new little life warm.
453.092	And if nothing happens, if you are not pregnant,
456.022	then estrogen takes back over and 
456.022	that cycle starts all over again.
460.564	But if you do get pregnant, sometimes you
462.511	actually see another shift in your temperatures
465.055	and it stays elevated for those whole nine months.
468.342	That's why you see those pregnant 
468.342	women just sweating and hot,
471.667	because their temperatures are high.
475.045	Here's a chart that we had about three or four years ago.
479.414	We were really very excited about this chart.
481.434	You'll see the low temperature level
483.97	and then a shift and for about five days,
