startsecond	text
18.33	I have a story, a story that I would like to share with you.
22.33	And it's an African story.
24.33	It is a story of hope, resilience and glamour.
30.33	There was Hollywood.
32.33	Then came Bollywood.
35.33	Today we have Nollywood, the third-largest film industry in the world.
42.33	In 2006 alone, almost 2,000 films were made in Nigeria.
49.33	Now, try to imagine 40, 50 films wrapped, distributed, every week
57.33	in the streets of Lagos, Nigeria and West Africa.
62.33	Some estimates put the value of this industry at 250 million dollars.
68.33	It has created thousands, if not tens of thousands of jobs.
74.33	And it's expanding.
77.33	But keep in mind that this was a grassroots movement.
85.33	This is something that happened without foreign investment,
91.33	without government aid, and actually, it happened against all odds,
97.33	in one of the most difficult moments in Nigerian economy.
103.33	The industry is 15 years old.
107.33	And so maybe you're thinking now,
111.33	why, how, an Italian filmmaker based in Boston
115.33	is so interested in this story?
118.33	And so I think I have to tell you just a few words,
121.33	a few things about my personal life,
124.33	because I think there is a connection.
130.33	My grandfather lived most of his life and is buried in Zambia.
135.33	My father also lived most of his adult life in East Africa.
141.33	And I was born in Zambia.
145.33	Even though I left when I was only three years old,
147.33	I really felt that Africa was this big part of my life.
152.33	And it really was a place where I learned to walk.
157.33	I think I uttered the first words,
161.33	and my family bought their first home.
163.33	So when we came back to Italy,
167.33	and one of the things that I remember the most
170.33	is my family having this hard time to share stories.
174.33	It seemed that for our neighbors and friends,
177.33	Africa was either this exotic place, this imaginary land
183.33	that probably exists only in their imagination,
186.33	or the place of horror, famine.
191.33	And so we were always caught in this stereotype.
195.33	And I remember really this desire to talk about Africa
198.33	as a place where we lived and people live and go about their lives,
202.33	and have dreams like we all have.
205.33	So when I read in a newspaper in the business page
211.33	the story of Nollywood,
213.33	I really felt this is an incredible opportunity to tell a story
218.33	that goes against all these preconceived notions.
222.33	Here I can tell a story of Africans making movies like I do,
227.33	and actually I felt this was an inspiration for me.
233.33	I have the good fortune of being a filmmaker-in-residence
237.33	at the Center of Digital Imaging Arts at Boston University.
240.33	And we really look how digital technology is changing,
244.33	and how young, independent filmmakers
247.33	can make movies at a fraction of the cost.
250.33	So when I proposed the story,
252.33	I really had all the support to make this film.
256.33	And not only had the support,
257.33	I found two wonderful partners in crime in this adventure.
262.33	Aimee Corrigan, a very talented and young photographer,
265.33	and Robert Caputo, a friend and a mentor,
268.33	who is a veteran of National Geographic,
272.33	"and told me, ""You know, Franco, in 25 years of covering Africa,"
276.33	I don't know if I have come across a story
279.33	"that is so full of hope and so fun."""
283.33	So we went to Lagos in October 2005.
290.33	And we went to Lagos to meet Bond Emeruwa,
293.33	a wonderful, talented film director who is with us tonight.
298.33	The plan was to give you a portrait of Nollywood,
302.33	of this incredible film industry,
305.33	following Bond in his quest to make an action movie
309.33	that deals with the issue of corruption,
312.33	"called ""Checkpoint."""
314.33	Police corruption.
316.33	And he had nine days to make it.
318.33	We thought this was a good story.
320.33	In the meantime, we had to cover Nollywood,
323.33	and we talked to a lot of filmmakers.
325.33	But I don't want to create too many expectations.
327.33	I would like to show you six minutes.
331.33	And these are six minutes they really prepared for the TED audience.
335.33	There are several themes from the documentary,
338.33	but they are re-edited and made for you, OK?
340.33	So I guess it's a world premier.
343.33	(Video)
346.33	Man: Action.
354.33	Milverton Nwokedi: You cut a nice movie with just 10,000 dollars in Nigeria here.
361.33	And you shoot in seven days.
368.33	Peace Piberesima: We're doing films for the masses.
370.33	We're not doing films for the elite
372.33	and the people in their glass houses.
374.33	"They can afford to watch their ""Robocop"" and whatever."
379.33	Mahmood Ali Balogun: I think filmmaking in Nigeria, for those who work in it,
381.33	is a kind of subsistence filmmaking -- what they do to make a living.
385.33	It's not the fancy filmmaking where you say,
388.33	oh, you want to put all the razzmatazz of Hollywood,
391.33	and where you have big budgets.
393.33	Here is that you make these films,
395.33	it sells, you jump onto the location again to make another film,
399.33	because if you don't make the next film, you're not going to feed.
409.33	Bond Emeruwa: So while we're entertaining, we should be able to educate.
413.33	I believe in the power of audiovisuals.
417.33	I mean, 90 percent of the population will watch Nollywood.
420.33	I think it's the most viable vehicle right now
422.33	to pass information across a dedicated cable.
425.33	So if you're making a movie, no matter what your topic is,
428.33	put in a message in there.
430.33	Woman: You still have to report the incident.
435.33	He needs proper medical attention.
438.33	PP: I keep trying to explain to people,
440.33	it's not about the quality at the moment -- the quality is coming.
443.33	I mean, there are those films that people are making for quality,
447.33	but the first thing you have to remember about this society
450.33	is that Africa still has people that live on one dollar a day,
454.33	and these are the people that really watch these films.
461.33	Sonny McDon W: Nollywood is a fantastic industry
466.33	that has just been born in this part of the world.
474.33	Because nobody believed that Nollywood can come out of Africa.
481.33	Lancelot Imasen: But our films,
483.33	they are stories that our people can relate to themselves.
486.33	They are stories about our people, for our people.
489.33	And consistently, they are glued to their screen
493.33	whenever they see the story.
498.33	Narrator: Suspense, fun and intrigue.
501.33	It's the blockbuster comedy.
503.33	You'll crack your ribs.
512.33	Bernard Pinayon Agbaosi: We have been so deep into the foreign movies.
515.33	It's all about the foreign movies.
517.33	But we can do something too.
519.33	We can do something, something that when the world sees it,
522.33	they say, wow, this is Nigeria.
528.33	Man: Just arrest yourself, sergeant.
530.33	Don't embarrass yourself.
535.33	Come on. Don't run away. Come back. Come back.
542.33	SMW: You can now walk the street and see a role model.
544.33	It’s not just what you see in picture.
546.33	You see the person live.
548.33	You see how he talks. You see how he lives.
551.33	He influences you really good, you know.
553.33	It’s not just what you see in the picture.
