startsecond	text
12.38	We all have milestones in life
12.38	that we remember so vividly.
16.82	The first one for me
16.82	was when I was entering kindergarten.
20.46	My big brother was in school,
20.46	and by golly, it was my time.
24.82	And I went trottin' down that hallway.
27.1	I was so excited, I almost wet myself.
30.34	And I go to the door,
31.94	and there was the teacher
31.94	with a warm welcome,
34.58	and she took me into the classroom,
36.74	showed me my little cubbyhole --
38.34	we all remember those
38.34	little cubbyholes, don't we --
40.98	and we put our stuff in there.
43.06	"And then she said, ""Go over to the circle"
45.06	and play with the kids
45.06	"until class starts."""
47.98	So I went over there
47.98	and plopped down like I owned the place,
51.46	and I'm playing,
52.9	and all of a sudden, the boy next to me,
54.829	he was wearing a white shirt
54.829	with blue shorts.
57.9	I remember it like it was yesterday.
60.66	Suddenly he stopped playing and he said,
63.34	"""Why are you so short?"""
65.74	And I just kept playing.
65.74	I didn't think he was talking to me.
68.66	(Laughter)
69.7	And in a louder voice, he said,
71.54	"""Hey, why are you so short?"""
74.42	So I looked up and I said,
75.86	"""What are you talking about?"
75.86	Let's just play. We're happy.
79.58	"I've been waiting for this."""
81.74	And so we played,
81.74	and about a minute later,
83.94	the girl next to him,
83.94	in a white shirt and a pink skirt,
87.62	stood up, put her hands on her hips,
89.38	"and said, ""Yeah,"
89.38	"why do you look so different?"""
93.38	"And I went, ""What are you talking about?"
96.3	I don't look different. I'm not short.
96.3	"Again, let's just play."""
100.34	About this time, I looked
100.34	all around the circle I was in,
103.86	and all the kids had stopped playing
103.86	and they were all looking at me.
107.94	And I'm thinking --
109.54	in today's language,
109.54	"it would be ""OMG"" or ""WTF."""
113.34	(Laughter)
117.7	What just happened?
120.06	So all the confidence
120.06	that I went in with that morning
123.7	was withering away as the morning went on
127.06	and the questions kept coming.
129.46	And at the end of the morning,
129.46	before I went home,
132.02	the teacher had us in a circle,
133.98	and I actually found myself
133.98	outside of the circle.
136.7	I couldn't look at anybody.
138.06	I could not understand what just happened.
141.859	And over the next few years,
143.78	I hated to go out in public.
145.9	I felt every stare, every giggle,
148.82	every pointed finger,
150.5	not the finger,
151.94	but every pointed finger,
153.9	and I hated it.
155.18	I would hide behind my parents' legs
155.18	like nobody could see me.
159.02	And as a child,
160.42	you can't understand
160.42	another child's curiosity,
163.78	nor an adult's ignorance.
166.5	It became very apparent to me
166.5	that the real world was not built
170.86	for someone of my size,
170.86	both literally or figuratively.
176.02	And so I have no anonymity,
176.02	as you can probably tell,
181.62	and while you can see my size,
183.38	we all go through many challenges
183.38	through our lifetime.
186.9	And some you can see, like mine.
189.9	Most you can't.
191.5	You can't tell if someone's dealing
191.5	with a mental illness,
196.5	or they're struggling
196.5	with their gender identity,
199.1	they're caring for an aging parent,
201.66	they're having financial difficulty.
203.42	You can't see that kind of stuff.
206.38	So while you can see
208.22	one of my challenges is my size,
211.06	seeing does not mean you understand
213.42	what it's truly to be me on a daily basis,
213.42	or what I go through.
