startsecond	text
15.482	Running: it's basically just
15.482	right, left, right, left, yeah?
18.855	I mean, we've been doing it
18.855	for two million years,
21.308	so it's kind of arrogant to assume
21.308	that I've got something to say
24.878	that hasn't been said and performed
24.878	better a long time ago.
28.494	But the cool thing about running,
28.494	as I've discovered,
31.076	is that something bizarre happens
31.076	in this activity all the time.
34.685	Case in point: A couple months ago,
34.685	if you saw the New York City Marathon,
38.284	I guarantee you, you saw something
38.284	that no one has ever seen before.
42.487	An Ethiopian woman named Derartu Tulu
42.487	turns up at the starting line.
47.022	She's 37 years old.
48.398	She hasn't won a marathon
48.398	of any kind in eight years,
51.108	and a few months previously,
52.56	she had almost died in childbirth.
54.56	Derartu Tulu was ready to hang it up
54.56	and retire from the sport,
58.075	but she decided she'd go for broke
59.971	and try for one last big payday
59.971	in the marquee event,
63.783	the New York City Marathon.
65.422	Except -- bad news for Derartu Tulu --
65.422	some other people had the same idea,
69.16	including the Olympic gold medalist,
71.038	and Paula Radcliffe, who is a monster,
74.16	the fastest woman marathoner
74.16	in history by far.
77.756	Only 10 minutes
77.756	off the men's world record,
80.057	Paula Radcliffe is essentially unbeatable.
83.603	That's her competition.
85.16	The gun goes off, and -- I mean,
85.16	she's not even an underdog;
88.132	she's, like, under the underdogs.
89.971	But the under-underdog hangs tough,
92.04	and 22 miles into a 26-mile race,
94.875	there is Derartu Tulu,
94.875	up there with the lead pack.
98.564	Now, this is when something
98.564	really bizarre happens.
101.279	Paula Radcliffe, the one person
101.279	who is sure to snatch the big paycheck
105.065	from Derartu Tulu's under-underdog hands,
108.16	suddenly grabs her leg
108.16	and starts to fall back.
110.581	So we all know what to do
110.581	in this situation, right?
113.016	You give her a quick crack
113.016	in the teeth with your elbow
115.726	and blaze for the finish line.
117.549	Derartu Tulu ruins the script.
119.763	Instead of taking off,
121.236	she falls back and she grabs
121.236	Paula Radcliffe,
123.509	"and says, ""Come on."
123.509	"Come with us. You can do it."""
125.871	So Paula Radcliffe,
125.871	unfortunately, does it.
128.306	She catches up with the lead pack
129.943	and is pushing toward the finish line.
131.83	But then she falls back again.
133.373	The second time, Derartu Tulu
133.373	grabs her and tries to pull her.
136.389	And Paula Radcliffe, at that point,
136.389	"says, ""I'm done. Go."""
139.771	So that's a fantastic story,
139.771	and we all know how it ends.
