startsecond	text
0	Translator: Timothy Covell
0	Reviewer: Morton Bast
12.495	In two weeks time, that's the ninth anniversary
15.27	"of the day I first stepped out onto that hallowed ""Jeopardy"" set."
19.37	I mean, nine years is a long time.
21.22	"And given ""Jeopardy's"" average demographics,"
23.138	I think what that means
24.43	is most of the people who saw me on that show are now dead.
27.621	(Laughter)
29.804	But not all, a few are still alive.
31.243	Occasionally I still get recognized at the mall or whatever.
33.756	And when I do, it's as a bit of a know-it-all.
36.458	I think that ship has sailed, it's too late for me.
38.912	For better or for worse, that's what I'm going to be known as,
41.103	as the guy who knew a lot of weird stuff.
44.337	And I can't complain about this.
46.625	I feel like that was always sort of my destiny,
49.038	although I had for many years been pretty deeply in the trivia closet.
52.505	If nothing else, you realize very quickly as a teenager,
55.271	it is not a hit with girls to know Captain Kirk's middle name.
58.459	(Laughter)
59.624	And as a result, I was sort of the deeply closeted kind of know-it-all for many years.
63.855	But if you go further back, if you look at it, it's all there.
67.079	I was the kind of kid who was always bugging Mom and Dad
70.208	with whatever great fact I had just read about --
73.14	Haley's comet or giant squids
74.841	or the size of the world's biggest pumpkin pie or whatever it was.
78.77	I now have a 10-year-old of my own who's exactly the same.
81.987	And I know how deeply annoying it is, so karma does work.
86.088	(Laughter)
87.588	And I loved game shows, fascinated with game shows.
90.421	I remember crying on my first day of kindergarten back in 1979
93.827	because it had just hit me, as badly as I wanted to go to school,
96.352	"that I was also going to miss ""Hollywood Squares"" and ""Family Feud."""
99.685	I was going to miss my game shows.
103.912	And later, in the mid-'80s,
105.602	"when ""Jeopardy"" came back on the air,"
107.213	I remember running home from school every day to watch the show.
111.286	It was my favorite show, even before it paid for my house.
116.788	And we lived overseas, we lived in South Korea where my dad was working,
119.202	where there was only one English language TV channel.
121.619	There was Armed Forces TV,
122.869	and if you didn't speak Korean, that's what you were watching.
125.035	"So me and all my friends would run home every day and watch ""Jeopardy."""
128.351	I was always that kind of obsessed trivia kid.
131.352	I remember being able to play Trivial Pursuit against my parents back in the '80s
136.535	and holding my own, back when that was a fad.
139.369	There's a weird sense of mastery you get
141.417	when you know some bit of boomer trivia that Mom and Dad don't know.
144.662	You know some Beatles factoid that Dad didn't know.
148.218	And you think, ah hah, knowledge really is power --
151.202	the right fact deployed at exactly the right place.
158.386	I never had a guidance counselor
160.202	who thought this was a legitimate career path,
162.586	that thought you could major in trivia
165.035	or be a professional ex-game show contestant.
168.452	And so I sold out way too young.
170.852	I didn't try to figure out what one does with that.
