startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Morton Bast
16.093	I'm a neuroscientist, and I study decision-making.
19.97	I do experiments to test how different chemicals
22.277	in the brain influence the choices we make.
25.877	I'm here to tell you the secret to successful decision-making:
32.625	a cheese sandwich.
34.863	That's right. According to scientists, a cheese sandwich
38.523	is the solution to all your tough decisions.
42.145	How do I know? I'm the scientist who did the study.
47.202	A few years ago, my colleagues and I were interested
49.502	in how a brain chemical called serotonin
51.795	would influence people's decisions in social situations.
55.065	Specifically, we wanted to know how serotonin would affect
58.16	the way people react when they're treated unfairly.
61.975	So we did an experiment.
63.513	We manipulated people's serotonin levels by giving them
66.659	this really disgusting-tasting artificial lemon-flavored drink
71.282	that works by taking away the raw ingredient for serotonin
74.914	in the brain.
76.092	This is the amino acid tryptophan.
79.069	So what we found was, when tryptophan was low,
81.43	people were more likely to take revenge
83.882	when they're treated unfairly.
87.43	That's the study we did, and here are some of the headlines
91.253	that came out afterwards.
93.982	"(""A cheese sandwich is all you need for strong decision-making"")"
96.477	"(""What a friend we have in cheeses"")"
98.572	"(""Eating Cheese and Meat May Boost Self-Control"") At this point, you might be wondering, did I miss something?"
101.772	"(""Official! Chocolate stops you being grumpy"") Cheese? Chocolate? Where did that come from?"
107.167	And I thought the same thing myself when these came out,
109.3	because our study had nothing to do with cheese or chocolate.
113.545	We gave people this horrible-tasting drink
115.874	that affected their tryptophan levels.
119.076	But it turns out that tryptophan also happens to be found
122.757	in cheese and chocolate.
125.558	And of course when science says cheese and chocolate
127.868	help you make better decisions, well, that's sure to grab people's attention.
131.949	So there you have it:
133.916	the evolution of a headline.
137.423	When this happened, a part of me thought, well,
139.765	what's the big deal?
141.769	So the media oversimplified a few things, but in the end,
145.648	it's just a news story.
147.724	And I think a lot of scientists have this attitude.
151.077	But the problem is that this kind of thing happens all the time,
154.974	and it affects not just the stories you read in the news
158.101	but also the products you see on the shelves.
160.88	When the headlines rolled, what happened was,
163.547	the marketers came calling.
166.373	Would I be willing to provide a scientific endorsement
169.592	of a mood-boosting bottled water?
172.853	Or would I go on television to demonstrate,
174.997	in front of a live audience,
176.022	that comfort foods really do make you feel better?
179.621	I think these folks meant well, but had I taken them up on their offers,
183.582	I would have been going beyond the science,
185.956	and good scientists are careful not to do this.
189.213	But nevertheless, neuroscience is turning up more and more in marketing.
193.581	Here's one example: Neuro drinks,
196.141	a line of products, including Nuero Bliss here,
199.382	which according to its label helps reduce stress,
202.283	enhances mood, provides focused concentration,
205.709	and promotes a positive outlook.
208.397	I have to say, this sounds awesome. (Laughter)
213.022	I could totally have used this 10 minutes ago.
216.898	So when this came up in my local shop, naturally I was
220.328	curious about some of the research backing these claims.
223.877	So I went to the company's website looking to find
226.803	some controlled trials of their products.
230.229	But I didn't find any.
231.906	Trial or no trial, these claims are front and center
235.644	on their label right next to a picture of a brain.
239.606	And it turns out that pictures of brains have special properties.
245.309	A couple of researchers asked a few hundred people
247.771	to read a scientific article.
250.462	For half the people, the article included a brain image,
253.789	and for the other half, it was the same article
255.652	but it didn't have a brain image.
258.356	At the end — you see where this is going —
259.988	people were asked whether they agreed
262.098	with the conclusions of the article.
265.42	So this is how much people agree with the conclusions
267.693	with no image.
269.606	And this is how much they agree with the same article
273.253	that did include a brain image.
276.02	So the take-home message here is,
277.969	do you want to sell it? Put a brain on it.
282.876	Now let me pause here and take a moment to say that
284.989	neuroscience has advanced a lot in the last few decades,
288.687	and we're constantly discovering amazing things
291.14	about the brain.
292.413	Like, just a couple of weeks ago, neuroscientists at MIT
295.557	figured out how to break habits in rats
298.357	just by controlling neural activity in a specific part of their brain.
302.35	Really cool stuff.
