startsecond	text
26	It's very, very difficult
31	to speak at the end of a conference like this,
34	because everyone has spoken. Everything has been said.
37	So I thought that what may be useful is to remind us
41	of some of the things that have gone on here,
44	and then maybe offer some ideas which we can take away,
47	and take forward and work on.
52	That's what I'd like to try and do.
53	"We came here saying we want to talk about ""Africa: the Next Chapter."""
58	"But we are talking about ""Africa: the Next Chapter"""
60	because we are looking at the old and the present chapter -- that we're looking at,
66	and saying it's not such a good thing.
69	The picture I showed you before, and this picture, of drought, death and disease
72	is what we usually see.
76	"What we want to look at is ""Africa: the Next Chapter,"""
80	and that's this: a healthy, smiling, beautiful African.
84	And I think it's worth remembering what we've heard
87	through the conference right from the first day,
89	where I heard that all the important statistics have been given --
92	about where we are now,
95	about how the continent is doing much better.
99	And the importance of that is that we have a platform to build on.
102	So I'm not going to spend too much time --
105	just to show you, refresh your memories
108	"that we are here for ""Africa: the Next Chapter"" because for the first time"
110	there really is a platform to build on.
114	We really do have it going right
117	that the continent is growing at rates that people had thought would not happen.
121	After decades of 2 percent, we are now at 5 percent,
124	and it's going to -- projected -- 6 and 7 percent even.
128	And inflation has come down.
132	External debt -- something that I can tell you a long story about
134	because I personally worked on one of the biggest debts on the continent --
138	has come down dramatically.
141	You know, as you can see,
143	from almost 50 billion down to about 12 or 13 billion.
146	Now this is a huge achievement.
149	You know, we've built up reserves. Why is that important?
153	It's because it shows off our economies, shows off our currencies
156	and gives a platform on which people can plan and build, including businesses.
161	We've also seen some evidence that all this is making a difference
165	because private investment flows have increased.
168	I want to remind you again --
170	I know you saw these statistics before --
173	from almost 6 billion we are now at about 18 billion.
176	In 2005, remittances -- I just took one country, Nigeria
179	skyrocketing -- skyrocketing is too dramatic,
184	but increasing dramatically.
187	And in many other countries this is happening.
189	Why is this important? Because it shows confidence.
191	People are now confident to bring --
194	if your people in the diaspora bring their money back,
197	it shows other people that, look,
199	there is emerging confidence in your country.
202	And instead of an outflow, you are now getting a net inflow.
205	Now, why is all this important, to have to go really fast?
207	It's important that we build this platform,
210	that we have the president, Kikwete, and others of our leaders who are saying,
213	"""Look, we must do something different."""
215	Because we are confronted with a challenge.
224	What does this mean?
227	This means that we have to focus on how our youth
230	are going to be engaged in productive endeavor in their lives.
233	You have to focus on how to create jobs,
236	make sure they don't fall into disease, and that they get an education.
238	But most of all that they are productively engaged in life,
241	and that they are creating the kind of productive environment
244	in our countries that will make things happen.
248	And to support this, I just recently --
251	one of the things I've done since leaving government
253	is to start an opinion research organization in Nigeria.
255	Most of our countries don't even have any opinion research.
259	People don't have voice.
261	There is no way you can know what people want.
263	One of the things we asked them recently was what's their top issue.
265	Like in every other country where this has been done,
268	jobs is the top issue.
272	I want to leave this up here and come back to it.
277	But before I get to this slide, I just wanted to run you through this.
281	And to say that for me, the next stage of building this platform
284	that now enables us to move forward --
287	and we mustn't make light of it.
289	It was only 5, 6, 7 years ago
294	we couldn't even talk about the next chapter, because we were in the old chapter.
298	We were going nowhere.
301	The economies were not growing.
303	We were having negative per capita growth.
307	The microeconomic framework and foundation for moving forward
309	was not even there.
313	So let's not forget that it's taken a lot to build this,
316	including all those things that we tried to do in Nigeria that Dele referred to.
318	Creating our own program to solve problems, like fighting corruption,
325	building institutions, stabilizing the micro economy.
330	So now we have this platform we can build on.
334	And it brings us to the debate that has been going on here:
338	aid versus private sector, aid versus trade, etc.
343	And someone stood up to say that one of the frustrating things
348	is that it's been a simplistic debate.
350	And that's not what the debate should be about.
355	That's engaging in the wrong debate.
359	The issue here is how do we get a partnership that involves government donors,
361	the private sector and ordinary African people
365	taking charge of their own lives?
368	How do we combine all this?
373	To move our continent forward, to do the things that need doing
375	that I talked about -- getting young people employed.
378	Getting the creative juices flowing on this continent,
381	much of what you have seen here.
384	So I'm afraid we've been engaging a little bit in the wrong debate.
387	We need to bring it back to say,
389	what is the combination of all these factors
392	that is going to yield what we want? (Applause)
396	And I want to tell you something.
401	For me, the issue about aid --
404	I don't think that Africans need to now go all the way over to the other side
408	and feel bad about aid.
411	Africa has been giving the other countries aid.
414	Mo Ibrahim said at a debate we were at that
419	he dreams one day when Africa will be giving aid.
421	"And I said, ""Mo, you're right. We have -- no, but we've already been doing it!"
424	"The U.K. and the U.S. could not have been built today without Africa's aid."""
430	(Applause)
438	It is all the resources that were taken from Africa,
441	including human, that built these countries today!
445	So when they try to give back, we shouldn't be on the defensive.
451	The issue is not that.
454	The issue is how are we using what has been given back.
458	How are we using it?
461	Is it being directed effectively?
466	I want to tell you a little story.
469	Why I don't mind if we get aid, but we use it well.
478	From 1967 to '70, Nigeria fought a war -- the Nigeria-Biafra war.
481	And in the middle of that war, I was 14 years old.
485	We spent much of our time with my mother cooking.
487	For the army -- my father joined the army as a brigadier -- the Biafran army.
490	We were on the Biafran side.
492	And we were down to eating one meal a day, running from place to place,
495	but wherever we could help we did.
499	At a certain point in time, in 1969, things were really bad.
503	We were down to almost nothing in terms of a meal a day.
507	People, children were dying of kwashiorkor.
509	I'm sure some of you who are not so young
511	will remember those pictures.
514	Well, I was in the middle of it.
516	In the midst of all this, my mother fell ill with a stomach ailment for two or three days.
520	We thought she was going to die.
522	My father was not there.
524	He was in the army.
525	So I was the oldest person in the house.
529	My sister fell very ill with malaria.
534	She was three years old and I was 15.
539	And she had such a high fever. We tried everything.
541	It didn't look like it was going to work.
