startsecond	text
18.33	A few words about how I got started,
20.33	and it has a lot to do with happiness, actually.
24.33	When I was a very young child, I was extremely introverted
27.33	and very much to myself.
30.33	And, kind of as a way of surviving,
33.33	I would go into my own very personal space,
36.33	and I would make things.
38.33	I would make things for people
40.33	as a way of, you know, giving, showing them my love.
44.33	I would go into these private places,
47.33	and I would put my ideas and my passions into objects --
51.33	and sort of learning how to speak with my hands.
54.33	So, the whole activity of working with my hands and creating objects
58.33	is very much connected with not only the idea realm,
63.33	but also with very much the feeling realm.
67.33	And the ideas are very disparate.
71.33	I'm going to show you many different kinds of pieces,
74.33	and there's no real connection between one or the other,
77.33	except that they sort of come out of my brain,
79.33	and they're all different sort of thoughts that are triggered
83.33	by looking at life, and seeing nature and seeing objects,
87.33	and just having kind of playful random thoughts about things.
91.33	When I was a child, I started to explore motion.
99.33	I fell in love with the way things moved,
101.33	so I started to explore motion by making little flipbooks.
106.33	And this is one that I did, probably like when I was around seventh grade,
110.33	and I remember when I was doing this,
113.33	I was thinking about that little rock there,
116.33	and the pathway of the vehicles as they would fly through the air,
121.33	and how the characters --
123.33	(Laughter) --
124.33	would come shooting out of the car,
126.33	so, on my mind, I was thinking about the trajectory of the vehicles.
133.33	And of course, when you're a little kid, there's always destruction.
136.33	So, it has to end with this --
138.33	(Laughter) --
139.33	gratuitous violence.
141.33	(Laughter)
143.33	So that was how I first started to explore the way things moved,
149.33	and expressed it.
151.33	Now, when I went to college,
153.33	I found myself making fairly complicated, fragile machines.
160.33	And this really came about
163.33	from having many different kinds of interests.
166.33	When I was in high school, I loved to program computers,
169.33	so I sort of liked the logical flow of events.
174.33	I was also very interested in perhaps going into surgery
179.33	and becoming a surgeon,
181.33	because it meant working with my hands
183.33	in a very focused, intense way.
186.33	So, I started taking art courses,
188.33	and I found a way to make sculpture
191.33	that brought together my love for being very precise with my hands,
195.33	with coming up with different kinds of logical flows of energy through a system.
205.33	And also, working with wire -- everything that I did
211.33	was both a visual and a mechanical engineering decision
217.33	at the same time.
219.33	So, I was able to sort of exercise all of that.
221.33	Now, this kind of machine is as close as I can get to painting.
227.33	And it's full of many little trivial end points,
232.33	like there's a little foot here that just drags around in circles
237.33	and it doesn't really mean anything.
239.33	It's really just for the sort of joy of its own triviality.
245.33	The connection I have with engineering
248.33	is the same as any other engineer, in that I love to solve problems.
253.33	I love to figure things out,
255.33	but the end result of what I'm doing is really completely ambiguous.
261.33	(Laughter)
263.33	That's pretty ambiguous.
265.33	(Laughter)
267.33	The next piece that is going to come up
272.33	is an example of a kind of machine that is fairly complex.
282.33	I gave myself the problem.
284.33	Since I'm always liking to solve problems,
286.33	I gave myself the problem of turning a crank in one direction,
290.33	and solving all of the mechanical problems
293.33	for getting this little man to walk back and forth.
297.33	So, when I started this, I didn't have an overall plan for the machine,
302.33	but I did have a sense of the gesture,
305.33	and a sense of the shape and how it would occupy space.
309.33	And then it was a matter of starting from one point
312.33	and sort of building to that final point.
316.33	That little gear there switches back and forth to change direction.
321.33	And that's a little found object.
325.33	So a lot of the pieces that I've made,
328.33	they involve found objects.
332.33	And it really -- it's almost like doing visual puns all the time.
340.33	When I see objects, I imagine them in motion.
343.33	I imagine what can be said with them.
345.33	"This next one here, ""Machine with Wishbone,"""
349.33	it came about from playing with this wishbone after dinner.
356.33	You know, they say, never play with your food --
358.33	but I always play with things.
360.33	So, I had this wishbone, and I thought,
362.33	it's kind of like a cowboy who's been on his horse for too long.
365.33	(Laughter)
366.33	And I started to make him walk across the table,
369.33	"and I thought, ""Oh, I can make a little machine that will do that."""
374.33	So, I made this device, linked it up, and the wishbone walks.
380.33	And because the wishbone is bone -- it's animal --
383.33	it's sort of a point where I think we can enter into it.
389.33	And that's the whole piece.
391.33	(Laughter)
392.33	That's about that big.
395.33	(Applause)
400.33	This kind of work is also very much like puppetry,
405.33	where the found object is, in a sense, the puppet,
409.33	and I'm the puppeteer at first, because I'm playing with an object.
414.33	But then I make the machine, which is sort of the stand-in for me,
418.33	and it is able to achieve the action that I want.
423.33	The next piece I'll show you is a much more conceptual thought,
430.33	"and it's a little piece called ""Cory's Yellow Chair."""
434.33	I had this image in my mind, when I saw my son's little chair,
439.33	and I saw it explode up and out.
444.33	And --
448.33	so the way I saw this in my mind at first,
451.33	was that the pieces would explode up and out with infinite speed,
455.33	and the pieces would move far out,
457.33	and then they would begin to be pulled back
459.33	with a kind of a gravitational feel,
461.33	to the point where they would approach infinite speed back to the center.
465.33	And they would coalesce for just a moment,
468.33	so you could perceive that there was a chair there.
471.33	For me, it's kind of a feeling about the fleetingness of the present moment,
477.33	and I wanted to express that.
479.33	Now, the machine is -- in this case, it's a real approximation of that,
484.33	because obviously you can't move physical matter
487.33	infinitely with infinite speed and have it stop instantaneously.
491.33	This whole thing is about four feet wide,
495.33	and the chair itself is only about a few inches.
498.33	(Applause)
503.33	Now, this is a funny sort of conceptual thing,
506.33	"and yesterday we were talking about Danny Hillis' ""10,000 Year Clock."""
511.33	So, we have a motor here on the left,
513.33	and it goes through a gear train.
516.33	There are 12 pairs of 50:1 reductions,
521.33	so that means that the final speed of that gear on the end
526.33	is so slow that it would take two trillion years to turn once.
530.33	So I've invented it in concrete, because it doesn't really matter.
533.33	(Laughter)
534.33	Because it could run all the time.
536.33	(Laughter)
537.33	Now, a completely different thought.
541.33	I'm always imagining myself in different situations.
545.33	I'm imagining myself as a machine.
547.33	What would I love?
549.33	I would love to be bathed in oil.
551.33	(Laughter)
552.33	So, this machine does nothing but just bathe itself in oil.
557.33	(Laughter)
559.33	(Applause)
563.33	And it's really, just sort of --
566.33	for me, it was just really about the lusciousness of oil.
569.33	(Laughter)
570.33	And then, I got a call from a friend
573.33	who wanted to have a show of erotic art,
576.33	and I didn't have any pieces.
578.33	But when she suggested to be in the show, this piece came to mind.
582.33	So, it's sort of related, but you can see it's much more overtly erotic.
588.33	"And this one I call ""Machine with Grease."""
591.33	It's just continually ejaculating, and it's --
593.33	(Laughter) --
594.33	this is a happy machine, I'll tell you.
597.33	(Laughter)
598.33	It's definitely happy.
602.33	From an engineering point of view,
605.33	this is just a little four-bar linkage.
607.33	And then again, this is a found object, a little fan that I found.
612.33	And I thought, what about the gesture of opening the fan,
615.33	and how simply could I state something.
618.33	And, in a case like this, I'm trying to make something which is clear
626.33	but also not suggestive of any particular kind of animal or plant.
633.33	For me, the process is very important,
638.33	because I'm inventing machines,
640.33	but I'm also inventing tools to make machines,
643.33	and the whole thing is all sort of wrapped up from the beginning.
646.33	So this is a little wire-bending tool.
649.33	After many years of bending gears with a pair of pliers,
652.33	I made that tool, and then I made this other tool
655.33	for sort of centering gears very quickly --
659.33	sort of developing my own little world of technology.
662.33	My life completely changed when I found a spot welder.
668.33	(Laughter)
669.33	And that was that tool.
671.33	It completely changed what I could do.
673.33	Now here, I'm going to do a very poor job of silver soldering.
678.33	This is not the way they teach you to silver solder when you're in school.
683.33	I just like, throw it in.
685.33	I mean, real jewelers put little bits of solder in.
688.33	So, that's a finished gear.
692.33	When I moved to Boston,
694.33	I joined a group called the World Sculpture Racing Society.
699.33	(Laughter)
700.33	And the idea, their premise was that we wanted to show
707.33	pieces of sculpture on the street,
709.33	and there'd be no subjective decision about what was the best.
713.33	It would be -- whatever came across the finish line first would be the winner.
715.33	(Laughter)
716.33	So I made -- this is my first racing sculpture,
720.33	"and I thought, ""Oh, I'm going to make a cart,"
722.33	and I'm going to have it --
724.33	I'm going to have my hand writing 'faster,'
726.33	so as I run down the street, the cart's going to talk to me
730.33	"and it's going to go, 'Faster, faster!' """
733.33	So, that's what it does.
735.33	(Laughter)
736.33	But then in the end, what I decided
741.33	was every time you finish writing the word,
744.33	I would stop and I would give the card to somebody on the side of the road.
748.33	So I would never win the race because I'm always stopping.
751.33	But I had a lot of fun.
753.33	(Applause)
759.33	Now, I only have two and a half minutes -- I'm going to play this.
763.33	This is a piece that, for me, is in some ways
769.33	the most complete kind of piece.
771.33	Because when I was a kid, I also played a lot of guitar.
773.33	And when I had this thought,
777.33	I was imagining that I would make --
779.33	I would have a whole machine theater evening,
782.33	where I would -- you would have an audience,
784.33	the curtain would open, and you'd be entertained by machines on stage.
788.33	So, I imagined a very simple gestural dance
791.33	that would be between a machine and just a very simple chair, and ...
807.33	When I'm making these pieces, I'm always trying to find a point
811.33	where I'm saying something very clearly and it's very simple,
822.33	but also at the same time it's very ambiguous.
