startsecond	text
12.732	My name is Katrina Spade,
12.732	and I grew up in a medical family
16.3	where it was fairly normal to talk
16.3	about death and dying at the dinner table.
20.9	But I didn't go into medicine
20.9	like so many of my family members.
24.5	Instead, I went to architecture school
24.5	to learn how to design.
29.74	And while I was there,
29.74	I began to be curious
32.14	about what would happen
32.14	to my physical body after I died.
36.26	What would my nearest
36.26	and dearest do with me?
39.78	So if the existence
39.78	and the fact of your own mortality
43.54	doesn't get you down,
45.26	the state of our current
45.26	funerary practices will.
49.74	Today, almost 50 percent of Americans
49.74	choose conventional burial.
55.42	Conventional burial begins with embalming,
57.66	where funeral staff drain bodily fluid
60.46	and replace it with a mixture
60.46	designed to preserve the corpse
64.34	and give it a lifelike glow.
67.26	Then, as you know,
67.26	bodies are buried in a casket
70.82	in a concrete-lined grave
73.02	in a cemetery.
76.3	All told, in US cemeteries,
78.62	we bury enough metal
78.62	to build a Golden Gate Bridge,
83.94	enough wood to build
83.94	1,800 single family homes,
87.86	and enough formaldehyde-laden
87.86	embalming fluid
90.66	to fill eight Olympic-size swimming pools.
94.98	In addition, cemeteries
94.98	all over the world are reaching capacity.
99.54	Turns out, it doesn't really
99.54	make good business sense
102.38	to sell someone
102.38	a piece of land for eternity.
105.94	(Laughter)
107.98	Whose idea was that?
109.62	In some places, you can't buy a plot
109.62	no matter how much money you have.
114.5	As a result, cremation rates
114.5	have risen fast.
118.1	In 1950, if you suggested your grandmother
118.1	be incinerated after she died,
123.18	you'd probably be kicked
123.18	from the family deathbed.
126.34	But today, almost half
126.34	of Americans choose cremation,
130.02	citing simpler,
132.5	cheaper
133.94	and more ecological as reasons.
137.54	I used to think that cremation
137.54	was a sustainable form of disposition,
142.34	but just think about it for a second.
144.78	Cremation destroys the potential we have
147.7	to give back to the earth
147.7	after we've died.
151.26	It uses an energy-intensive process
151.26	to turn bodies into ash,
155.46	polluting the air
155.46	and contributing to climate change.
159.62	All told, cremations in the US
161.94	emit a staggering 600 million
161.94	pounds of carbon dioxide
166.26	into the atmosphere annually.
169.9	The truly awful truth
172.26	is that the very last thing
172.26	that most of us will do on this earth
176.86	is poison it.
182.94	It's like we've created, accepted
182.94	and death-denied our way into a status quo
188.66	that puts as much distance
188.66	between ourselves and nature
192.3	as is humanly possible.
194.42	Our modern funerary practices
194.42	are designed to stave off
197.3	the natural processes
197.3	that happen to a body after death.
200.62	In other words, they're meant
200.62	to prevent us from decomposing.
205.14	But the truth
206.98	is that nature is really,
206.98	really good at death.
211.26	We've all seen it.
212.66	When organic material dies in nature,
215.42	microbes and bacteria
215.42	break it down into nutrient-rich soil,
219.18	completing the life cycle.
221.62	In nature, death creates life.
227.82	Back in architecture school,
227.82	I was thinking about all this,
232.22	and I set out on a plan
232.22	to redesign death care.
235.82	Could I create a system
237.9	that was beneficial to the earth
239.78	and that used nature as a guide
239.78	rather than something to be feared?
