startsecond	text
15.26	When I was nine years old,
17.26	I went off to summer camp
17.26	for the first time.
19.427	And my mother packed me a suitcase
19.427	full of books,
23.26	which to me seemed like
23.26	a perfectly natural thing to do.
25.951	Because in my family,
25.951	reading was the primary group activity.
30.26	And this might sound antisocial to you,
32.26	but for us it was really just
32.26	a different way of being social.
35.26	You have the animal warmth of your family
35.26	sitting right next to you,
39.26	but you are also free to go
39.26	roaming around the adventureland
42.142	inside your own mind.
43.26	And I had this idea
45.26	that camp was going to be
45.26	just like this, but better.
47.808	(Laughter)
50.26	I had a vision of 10 girls
50.26	sitting in a cabin
53.26	cozily reading books
53.26	in their matching nightgowns.
55.665	(Laughter)
57.26	Camp was more like a keg party
57.26	without any alcohol.
60.26	And on the very first day,
63.26	our counselor gathered us all together
65.26	and she taught us a cheer
65.26	that she said we would be doing
67.96	every day for the rest of the summer
67.96	to instill camp spirit.
71.26	And it went like this:
73.26	"""R-O-W-D-I-E,"
75.26	that's the way we spell rowdie.
77.26	"Rowdie, rowdie, let's get rowdie."""
80.677	(Laughter)
82.26	Yeah.
84.26	So I couldn't figure out
84.26	for the life of me
86.332	why we were supposed to be so rowdy,
88.26	or why we had to spell
88.26	this word incorrectly.
91.26	(Laughter)
97.26	But I recited a cheer. I recited
97.26	a cheer along with everybody else.
100.475	I did my best.
102.26	And I just waited for the time
102.26	that I could go off and read my books.
107.82	But the first time that I took
107.82	my book out of my suitcase,
110.644	the coolest girl in the bunk came up to me
112.684	"and she asked me, ""Why"
112.684	"are you being so mellow?"" --"
115.16	mellow, of course,
115.16	being the exact opposite
117.232	of R-O-W-D-I-E.
119.159	And then the second time I tried it,
121.06	the counselor came up to me
121.06	with a concerned expression on her face
124.26	and she repeated the point
124.26	about camp spirit
126.38	and said we should all work very hard
126.38	to be outgoing.
129.614	And so I put my books away,
132.26	back in their suitcase,
135.26	and I put them under my bed,
139.26	and there they stayed
139.26	for the rest of the summer.
141.66	And I felt kind of guilty about this.
143.46	I felt as if the books needed me somehow,
145.46	and they were calling out to me
145.46	and I was forsaking them.
148.26	But I did forsake them
148.26	and I didn't open that suitcase again
151.16	until I was back home with my family
151.16	at the end of the summer.
154.26	Now, I tell you this story
154.26	about summer camp.
157.26	I could have told you
160.26	all the times that I got the message
162.26	that somehow my quiet
162.26	and introverted style of being
166.26	was not necessarily the right way to go,
168.26	that I should be trying to pass
168.26	as more of an extrovert.
171.26	And I always sensed deep down
171.26	that this was wrong
174.26	and that introverts were
174.26	pretty excellent just as they were.
177.142	But for years I denied this intuition,
179.26	and so I became a Wall Street
179.26	lawyer, of all things,
182.26	instead of the writer
182.26	that I had always longed to be --
185.26	partly because I needed to prove to myself
185.26	that I could be bold and assertive too.
189.26	And I was always going off to crowded bars
191.361	when I really would have preferred
191.361	to just have a nice dinner with friends.
194.957	And I made these
194.957	self-negating choices so reflexively,
199.26	that I wasn't even aware
199.26	that I was making them.
202.757	Now this is what many introverts do,
204.56	and it's our loss for sure,
206.26	but it is also our colleagues' loss
208.26	and our communities' loss.
210.26	And at the risk of sounding grandiose,
210.26	it is the world's loss.
213.26	Because when it comes
213.26	to creativity and to leadership,
216.26	we need introverts doing
216.26	what they do best.
219.26	A third to a half of the population
219.26	are introverts --
221.808	a third to a half.
