startsecond	text
16.16	I thought I would think about changing your perspective on the world a bit,
20.16	and showing you some of the designs that we have in nature.
23.16	And so, I have my first slide to talk about
27.16	the dawning of the universe and what I call
30.16	the cosmic scene investigation, that is, looking at
32.16	the relics of creation and inferring what happened at the beginning,
36.16	and then following it up and trying to understand it.
39.16	And so one of the questions that I asked you is,
41.16	when you look around, what do you see?
43.16	Well, you see this space that's created by designers
47.16	and by the work of people, but what you actually see
51.16	is a lot of material that was already here,
53.16	being reshaped in a certain form.
55.16	And so the question is: how did that material get here?
58.16	How did it get into the form that it had before it got reshaped, and so forth?
61.16	It's a question of what's the continuity?
64.16	So one of the things I look at is,
66.16	how did the universe begin and shape?
68.16	What was the whole process in the creation and the evolution of the universe
72.16	to getting to the point that we have these kinds of materials?
74.16	So that's sort of the part, and let me move on then and show you
78.16	the Hubble Ultra Deep Field.
80.16	If you look at this picture,
82.16	what you will see is a lot of dark with some light objects in it.
86.16	And everything but -- four of these light objects are stars,
88.16	and you can see them there -- little pluses.
90.16	This is a star, this is a star, everything else is a galaxy, OK?
95.16	So there's a couple of thousand galaxies
97.16	you can see easily with your eye in here.
100.16	And when I look out at particularly this galaxy,
102.16	which looks a lot like ours, I wonder if there's
104.16	an art design college conference going on,
107.16	and intelligent beings there are thinking about, you know,
110.16	what designs they might do, and there might be a few cosmologists
113.16	trying to understand where the universe itself came from,
115.16	and there might even be some in that galaxy looking at ours
117.16	trying to figure out what's going on over here.
119.16	But there's a lot of other galaxies, and some are nearby,
122.16	and they're kind of the color of the Sun,
123.16	and some are further away and they're a little bluer, and so forth.
126.16	But one of the questions is -- this should be, to you --
130.16	how come there are so many galaxies?
132.16	Because this represents a very clean fraction of the sky.
134.16	This is only 1,000 galaxies.
136.16	We think there's on the order -- visible to the Hubble Space Telescope,
139.16	if you had the time to scan it around --
141.16	about 100 billion galaxies. Right?
143.16	It's a very large number of galaxies.
145.16	And that's roughly how many stars there are in our own galaxy.
148.16	But when you look at some of these regions like this, you'll see
150.16	more galaxies than stars, which is kind of a conundrum.
153.16	So the question should come to your mind is, what kind of design, you know,
159.16	what kind of creative process and what kind of design
161.16	produced the world like that?
163.16	And then I'm going to show you it's actually a lot more complicated.
165.16	We're going to try and follow it up.
167.16	We have a tool that actually helps us out in this study,
170.16	and that's the fact that the universe is so incredibly big
173.16	that it's a time machine, in a certain sense.
176.16	We draw this set of nested spheres cut away so you see it.
179.16	Put the Earth at the center of the nested spheres,
181.16	just because that's where we're making observations.
183.16	And the moon is only two seconds away, so if you take a picture of the moon
186.16	using ordinary light, it's the moon two seconds ago, and who cares.
189.16	Two seconds is like the present.
191.16	The Sun is eight minutes ago. That's not such a big deal, right,
194.16	unless there's solar flares coming then you want to get out the way.
196.16	You'd like to have a little advance warning.
