startsecond	text
16.26	Hi, my name is Roz Savage
18.26	and I row across oceans.
21.26	Four years ago, I rowed solo across the Atlantic,
24.26	and since then, I've done two out of three stages
27.26	across the Pacific,
29.26	from San Francisco to Hawaii
31.26	and from Hawaii to Kiribati.
33.26	And tomorrow, I'll be leaving this boat
35.26	to fly back to Kiribati
37.26	to continue with the third and final stage
39.26	of my row across the Pacific.
42.26	Cumulatively, I will have rowed
44.26	over 8,000 miles,
46.26	taken over three million oar strokes
48.26	and spent more than 312 days alone
51.26	on the ocean on a 23 foot rowboat.
55.26	This has given me a very
57.26	special relationship with the ocean.
59.26	We have a bit of a love/hate thing going on.
61.26	I feel a bit about it like I did about
63.26	a very strict math teacher that I once had at school.
66.26	I didn't always like her, but I did respect her,
69.26	and she taught me a heck of a lot.
71.26	So today I'd like to share with you
73.26	some of my ocean adventures
76.26	and tell you a little bit about what they've taught me,
78.26	and how I think we can maybe take some of those lessons
81.26	and apply them to this environmental challenge
83.26	that we face right now.
86.26	Now, some of you might be thinking,
88.26	"""Hold on a minute. She doesn't look very much like an ocean rower."
91.26	Isn't she meant to be about this tall
93.26	and about this wide
95.26	"and maybe look a bit more like these guys?"""
98.26	You'll notice, they've all got something that I don't.
103.26	Well, I don't know what you're thinking, but I'm talking about the beards. (Laughter)
107.26	And no matter how long I've spent on the ocean,
109.26	I haven't yet managed to muster a decent beard,
111.26	and I hope that it remains that way.
114.26	For a long time, I didn't believe that I could have a big adventure.
117.26	The story that I told myself was
119.26	that adventurers looked like this.
121.26	I didn't look the part.
123.26	I thought there were them and there were us,
126.26	and I was not one of them.
128.26	So for 11 years, I conformed.
131.26	I did what people from my kind of background were supposed to do.
134.26	I was working in an office in London
137.26	as a management consultant.
139.26	And I think I knew from day one that it wasn't the right job for me.
142.26	But that kind of conditioning
144.26	just kept me there for so many years,
146.26	until I reached my mid-30s and I thought,
148.26	"""You know, I'm not getting any younger."
151.26	I feel like I've got a purpose in this life, and I don't know what it is,
154.26	but I'm pretty certain that management consultancy is not it.
159.26	So, fast forward a few years.
161.26	I'd gone through some changes.
164.26	To try and answer that question of,
166.26	"""What am I supposed to be doing with my life?"""
168.26	I sat down one day
170.26	and wrote two versions of my own obituary,
173.26	the one that I wanted, a life of adventure,
176.26	and the one that I was actually heading for
178.26	which was a nice, normal, pleasant life,
181.26	but it wasn't where I wanted to be by the end of my life.
184.26	I wanted to live a life that I could be proud of.
187.26	And I remember looking at these two versions of my obituary
190.26	"and thinking, ""Oh boy,"
192.26	I'm on totally the wrong track here.
194.26	If I carry on living as I am now,
196.26	I'm just not going to end up where I want to be
198.26	in five years, or 10 years,
200.26	"or at the end of my life."""
202.26	I made a few changes,
204.26	let go of some loose trappings of my old life,
206.26	and through a bit of a leap of logic,
208.26	decided to row across the Atlantic Ocean.
210.26	(Laughter)
212.26	The Atlantic Rowing Race runs from the Canaries to Antigua,
214.26	it's about 3,000 miles,
217.26	and it turned out to be
219.26	the hardest thing I had ever done.
222.26	Sure, I had wanted to get outside of my comfort zone,
225.26	but what I'd sort of failed to notice was that
227.26	getting out of your comfort zone is, by definition,
229.26	extremely uncomfortable.
233.26	And my timing was not great either:
237.26	was the year of Hurricane Katrina.
239.26	There were more tropical storms in the North Atlantic
242.26	than ever before, since records began.
245.26	And pretty early on,
247.26	those storms started making their presence known.
251.26	All four of my oars broke
253.26	before I reached halfway across.
255.26	Oars are not supposed to look like this.
258.26	But what can you do? You're in the middle of the ocean.
260.26	Oars are your only means of propulsion.
262.26	So I just had to look around the boat
264.26	and figure out what I was going to use
266.26	to fix up these oars so that I could carry on.
268.26	So I found a boat hook and my trusty duct tape
271.26	and splintered the boat hook
273.26	to the oars to reinforce it.
276.26	Then, when that gave out,
278.26	I sawed the wheel axles off my spare rowing seat
281.26	and used those.
283.26	And then when those gave out, I cannibalized one of the broken oars.
286.26	I'd never been very good at fixing stuff
288.26	when I was living my old life,
290.26	but it's amazing how resourceful you can become
293.26	when you're in the middle of the ocean
295.26	and there's only one way to get to the other side.
297.26	And the oars kind of became a symbol
299.26	of just in how many ways
302.26	I went beyond what I thought were my limits.
304.26	I suffered from tendinitis on my shoulders
307.26	and saltwater sores on my bottom.
309.26	I really struggled psychologically,
312.26	totally overwhelmed by the scale of the challenge,
315.26	realizing that, if I carried on moving at two miles an hour,
318.26	3,000 miles was going to
320.26	take me a very, very long time.
322.26	There were so many times
324.26	when I thought I'd hit that limit,
326.26	but had no choice but to just carry on
329.26	and try and figure out how I was going to get to the other side
331.26	without driving myself crazy.
333.26	And eventually after
337.26	I arrived in Antigua.
339.26	I don't think I've ever felt so happy
341.26	in my entire life.
343.26	It was a bit like finishing a marathon
345.26	and getting out of solitary confinement
347.26	and winning an Oscar all rolled into one.
350.26	I was euphoric.
352.26	And to see all the people coming out to greet me
354.26	and standing along the cliff tops and clapping and cheering,
357.26	I just felt like a movie star.
359.26	It was absolutely wonderful.
361.26	And I really learned then that, the bigger the challenge,
363.26	the bigger the sense of achievement
365.26	when you get to the end of it.
368.26	So this might be a good moment to take a quick time-out
371.26	to answer a few FAQs about ocean rowing
374.26	that might be going through your mind.
376.26	Number one that I get asked: What do you eat?
379.26	A few freeze-dried meals, but mostly I try and eat
382.26	much more unprocessed foods.
385.26	So I grow my own beansprouts.
387.26	I eat fruits and nut bars,
389.26	a lot of nuts.
391.26	And generally arrive about 30 pounds lighter
393.26	at the other end.
395.26	Question number two: How do you sleep?
397.26	With my eyes shut. Ha-ha.
400.26	I suppose what you mean is:
402.26	What happens to the boat while I'm sleeping?
404.26	Well, I plan my route so that I'm drifting
406.26	with the winds and the currents while I'm sleeping.
408.26	On a good night, I think my best ever was 11 miles
410.26	in the right direction.
412.26	Worst ever, 13 miles in the wrong direction.
415.26	That's a bad day at the office.
417.26	What do I wear?
419.26	Mostly, a baseball cap,
421.26	rowing gloves and a smile -- or a frown,
424.26	depending on whether I went backwards overnight --
427.26	and lots of sun lotion.
429.26	Do I have a chase boat?
431.26	No I don't. I'm totally self-supporting out there.
434.26	I don't see anybody for the whole time
436.26	that I'm at sea, generally.
440.26	And finally: Am I crazy?
443.26	Well, I leave that one up to you to judge.
446.26	So, how do you top rowing across the Atlantic?
449.26	Well, naturally, you decide to row across the Pacific.
453.26	Well, I thought the Atlantic was big,
455.26	but the Pacific is really, really big.
460.26	I think we tend to do it a little bit of a disservice in our usual maps.
463.26	I don't know for sure that the Brits
465.26	invented this particular view of the world, but I suspect we might have done so:
468.26	we are right in the middle,
470.26	and we've cut the Pacific in half
472.26	and flung it to the far corners of the world.
475.26	Whereas if you look in Google Earth,
478.26	this is how the Pacific looks.
480.26	It pretty much covers half the planet.
483.26	You can just see a little bit of North America up here
485.26	and a sliver of Australia down there.
488.26	It is really big --
492.26	and to row in a straight line across it
494.26	would be about 8,000 miles.
496.26	Unfortunately, ocean rowboats
498.26	very rarely go in a straight line.
500.26	By the time I get to Australia,
502.26	if I get to Australia,
504.26	I will have rowed probably nine or 10,000 miles in all.
509.26	So, because nobody in their straight mind would row
511.26	straight past Hawaii without dropping in,
513.26	I decided to cut this very big undertaking
515.26	into three segments.
518.26	The first attempt didn't go so well.
520.26	In 2007, I did a rather involuntary capsize drill
523.26	three times in 24 hours.
525.26	A bit like being in a washing machine.
527.26	Boat got a bit dinged up,
529.26	so did I.
531.26	I blogged about it. Unfortunately, somebody
533.26	with a bit of a hero complex decided that
535.26	this damsel was in distress and needed saving.
538.26	The first I knew about this was when the Coast Guard plane turned up overhead.
541.26	I tried to tell them to go away.
543.26	We had a bit of a battle of wills.
545.26	I lost and got airlifted.
547.26	Awful, really awful.
549.26	It was one of the worst feelings of my life,
551.26	as I was lifted up on that winch line into the helicopter
554.26	and looked down at my trusty little boat
556.26	rolling around in the 20 foot waves
559.26	and wondering if I would ever see her again.
561.26	So I had to launch a very expensive
563.26	salvage operation
565.26	and then wait another nine months
567.26	before I could get back out onto the ocean again.
569.26	But what do you do?
571.26	Fall down nine times, get up 10.
573.26	So, the following year, I set out
575.26	and, fortunately, this time made it safely across to Hawaii.
578.26	But it was not without misadventure.
580.26	My watermaker broke,
582.26	only the most important piece of kit that I have on the boat.
585.26	Powered by my solar panels,
587.26	it sucks in saltwater
589.26	and turns it into freshwater.
591.26	But it doesn't react very well to being immersed in ocean,
594.26	which is what happened to it.
596.26	Fortunately, help was at hand.
598.26	There was another unusual boat out there
600.26	at the same time, doing as I was doing,
603.26	bringing awareness to the North Pacific Garbage Patch,
606.26	that area in the North Pacific about twice the size of Texas,
609.26	with an estimated 3.5 million
611.26	tons of trash in it,
