startsecond	text
15.26	I want to ask you all to consider for a second
18.26	the very simple fact
20.26	that, by far,
22.26	most of what we know about the universe
24.26	comes to us from light.
26.26	We can stand on the Earth and look up at the night sky
29.26	and see stars with our bare eyes.
32.26	The Sun burns our peripheral vision.
34.26	We see light reflected off the Moon.
37.26	And in the time since Galileo pointed that rudimentary telescope
41.26	at the celestial bodies,
44.26	the known universe has come to us through light,
47.26	across vast eras in cosmic history.
50.26	And with all of our modern telescopes,
53.26	we've been able to collect
55.26	this stunning silent movie of the universe --
58.26	these series of snapshots
61.26	that go all the way back to the Big Bang.
64.26	And yet, the universe is not a silent movie
67.26	because the universe isn't silent.
69.26	I'd like to convince you
71.26	that the universe has a soundtrack
73.26	and that soundtrack is played on space itself,
77.26	because space can wobble like a drum.
80.26	It can ring out a kind of recording
83.26	throughout the universe
85.26	of some of the most dramatic events as they unfold.
88.26	Now we'd like to be able to add
91.26	to a kind of glorious visual composition
94.26	that we have of the universe --
96.26	a sonic composition.
98.26	And while we've never heard the sounds from space,
102.26	we really should, in the next few years,
105.26	start to turn up the volume on what's going on out there.
107.26	So in this ambition
109.26	to capture songs from the universe,
112.26	we turn our focus
114.26	to black holes and the promise they have,
116.26	because black holes can bang on space-time
119.26	like mallets on a drum
121.26	and have a very characteristic song,
123.26	which I'd like to play for you -- some of our predictions
126.26	for what that song will be like.
128.26	Now black holes are dark against a dark sky.
131.26	We can't see them directly.
133.26	They're not brought to us with light, at least not directly.
136.26	We can see them indirectly,
138.26	because black holes wreak havoc on their environment.
141.26	They destroy stars around them.
143.26	They churn up debris in their surroundings.
146.26	But they won't come to us directly through light.
148.26	We might one day see a shadow
150.26	a black hole can cast on a very bright background,
153.26	but we haven't yet.
155.26	And yet black holes may be heard
157.26	even if they're not seen,
159.26	and that's because they bang on space-time like a drum.
163.26	Now we owe the idea that space can ring like a drum
166.26	to Albert Einstein -- to whom we owe so much.
169.26	Einstein realized that if space were empty,
171.26	if the universe were empty,
173.26	it would be like this picture,
176.26	except for maybe without the helpful grid drawn on it.
179.26	But if we were freely falling through the space,
182.26	even without this helpful grid,
184.26	we might be able to paint it ourselves,
186.26	because we would notice that we traveled along straight lines,
189.26	undeflected straight paths
191.26	through the universe.
193.26	Einstein also realized --
195.26	and this is the real meat of the matter --
197.26	that if you put energy or mass in the universe,
200.26	it would curve space,
202.26	and a freely falling object
204.26	would pass by, let's say, the Sun
206.26	and it would be deflected
208.26	along the natural curves in the space.
210.26	It was Einstein's great general theory of relativity.
214.26	Now even light will be bent by those paths.
217.26	And you can be bent so much
219.26	that you're caught in orbit around the Sun,
221.26	as the Earth is, or the Moon around the Earth.
223.26	These are the natural curves in space.
226.26	What Einstein did not realize
228.26	was that, if you took our Sun
230.26	and you crushed it down to six kilometers --
233.26	so you took a million times the mass of the Earth
236.26	and you crushed it to six kilometers across,
239.26	you would make a black hole,
241.26	an object so dense
243.26	that if light veered too close, it would never escape --
246.26	a dark shadow against the universe.
249.26	It wasn't Einstein who realized this,
251.26	it was Karl Schwarzschild
253.26	who was a German Jew in World War I --
255.26	joined the German army already an accomplished scientist,
258.26	working on the Russian front.
261.26	I like to imagine Schwarzschild in the war in the trenches
264.26	calculating ballistic trajectories for cannon fire,
268.26	and then, in between,
270.26	calculating Einstein's equations --
272.26	as you do in the trenches.
274.26	And he was reading Einstein's recently published
276.26	general theory of relativity,
278.26	and he was thrilled by this theory.
280.26	And he quickly surmised
282.26	an exact mathematical solution
284.26	that described something very extraordinary:
286.26	curves so strong
288.26	that space would rain down into them,
291.26	space itself would curve like a waterfall
