startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Morton Bast
15.805	I grew up watching Star Trek. I love Star Trek.
19.337	Star Trek made me want to see alien creatures,
23.799	creatures from a far-distant world.
26.102	But basically, I figured out that I could find
28.889	those alien creatures right on Earth.
31.866	And what I do is I study insects.
34.519	I'm obsessed with insects, particularly insect flight.
37.775	I think the evolution of insect flight is perhaps
40.916	one of the most important events in the history of life.
43.658	Without insects, there'd be no flowering plants.
45.895	Without flowering plants, there would be no
47.811	clever, fruit-eating primates giving TED Talks.
50.948	(Laughter)
53.248	Now,
55.235	David and Hidehiko and Ketaki
58.274	gave a very compelling story about
61.719	the similarities between fruit flies and humans,
64.524	and there are many similarities,
66.013	and so you might think that if humans are similar to fruit flies,
69.015	the favorite behavior of a fruit fly might be this, for example --
72.812	(Laughter)
75.094	but in my talk, I don't want to emphasize on the similarities
78.285	between humans and fruit flies, but rather the differences,
81.352	and focus on the behaviors that I think fruit flies excel at doing.
86.639	And so I want to show you a high-speed video sequence
89.495	of a fly shot at 7,000 frames per second in infrared lighting,
93.43	and to the right, off-screen, is an electronic looming predator
97.64	that is going to go at the fly.
99.075	The fly is going to sense this predator.
100.913	It is going to extend its legs out.
103.368	It's going to sashay away
104.981	to live to fly another day.
107.546	Now I have carefully cropped this sequence
109.908	to be exactly the duration of a human eye blink,
113.068	so in the time that it would take you to blink your eye,
115.902	the fly has seen this looming predator,
119.167	estimated its position, initiated a motor pattern to fly it away,
125.335	beating its wings at 220 times a second as it does so.
129.799	I think this is a fascinating behavior
131.772	that shows how fast the fly's brain can process information.
135.693	Now, flight -- what does it take to fly?
138.535	Well, in order to fly, just as in a human aircraft,
141.399	you need wings that can generate sufficient aerodynamic forces,
144.134	you need an engine sufficient to generate the power required for flight,
147.68	and you need a controller,
149.389	and in the first human aircraft, the controller was basically
152.015	the brain of Orville and Wilbur sitting in the cockpit.
156.327	Now, how does this compare to a fly?
159.08	Well, I spent a lot of my early career trying to figure out
162.331	how insect wings generate enough force to keep the flies in the air.
166.667	And you might have heard how engineers proved
168.277	that bumblebees couldn't fly.
170.911	Well, the problem was in thinking that the insect wings
173.531	function in the way that aircraft wings work. But they don't.
176.65	And we tackle this problem by building giant,
179.504	dynamically scaled model robot insects
182.936	that would flap in giant pools of mineral oil
186.272	where we could study the aerodynamic forces.
188.546	And it turns out that the insects flap their wings
190.704	in a very clever way, at a very high angle of attack
193.296	that creates a structure at the leading edge of the wing,
196.417	a little tornado-like structure called a leading edge vortex,
199.616	and it's that vortex that actually enables the wings
202.57	to make enough force for the animal to stay in the air.
205.929	But the thing that's actually most -- so, what's fascinating
208.357	is not so much that the wing has some interesting morphology.
211.332	What's clever is the way the fly flaps it,
214.977	which of course ultimately is controlled by the nervous system,
218.113	and this is what enables flies to perform
220.76	these remarkable aerial maneuvers.
223.567	Now, what about the engine?
225.664	The engine of the fly is absolutely fascinating.
228.156	They have two types of flight muscle:
230.054	so-called power muscle, which is stretch-activated,
233.039	which means that it activates itself and does not need to be controlled
236.765	on a contraction-by-contraction basis by the nervous system.
240.104	It's specialized to generate the enormous power required for flight,
244.713	and it fills the middle portion of the fly,
246.792	so when a fly hits your windshield,
248.339	it's basically the power muscle that you're looking at.
250.745	But attached to the base of the wing
252.891	is a set of little, tiny control muscles
255.529	that are not very powerful at all, but they're very fast,
258.83	and they're able to reconfigure the hinge of the wing
262.036	on a stroke-by-stroke basis,
263.798	and this is what enables the fly to change its wing
266.94	and generate the changes in aerodynamic forces
269.911	which change its flight trajectory.
272.484	And of course, the role of the nervous system is to control all this.
276.047	So let's look at the controller.
277.559	Now flies excel in the sorts of sensors
280.206	that they carry to this problem.
