startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Morton Bast
15.984	This is poo,
18.232	and what I want to do today is share my passion
20.715	for poo with you,
23.858	which might be quite difficult,
26.671	but I think what you might find more fascinating
29.764	is the way these small animals deal with poo.
32.965	So this animal here has got a brain
35.317	about the size of a grain of rice, and yet it can do things
39.277	that you and I couldn't possibly entertain the idea of doing.
43.027	And basically it's all evolved to handle its food source,
47.149	which is dung.
49.283	So the question is, where do we start this story?
51.862	And it seems appropriate to start at the end,
54.887	because this is a waste product that comes out
57.672	of other animals, but it still contains nutrients
61.245	and there are sufficient nutrients in there
63.202	for dung beetles basically to make a living,
66.165	and so dung beetles eat dung, and their larvae
69.1	are also dung-feeders.
71.255	They are grown completely in a ball of dung.
74.485	Within South Africa, we've got about 800 species of dung beetles,
78.28	in Africa we've got 2,000 species of dung beetles,
81.55	and in the world we have about 6,000 species of dung beetles.
86.148	So, according to dung beetles, dung is pretty good.
91.286	Unless you're prepared to get dung under your fingernails
93.958	and root through the dung itself, you'll never see
99.018	because they go directly into the dung,
101.424	straight down below it, and then they shuttle back and forth
104.036	between the dung at the soil surface
106.091	and a nest they make underground.
109.031	So the question is, how do they deal with this material?
114.276	And most dung beetles actually wrap it into a package of some sort.
118.256	Ten percent of the species actually make a ball,
121.936	and this ball they roll away from the dung source,
126.098	usually bury it at a remote place away from the dung source,
129.534	and they have a very particular behavior
132.839	by which they are able to roll their balls.
137.814	So this is a very proud owner of a beautiful dung ball.
141.407	You can see it's a male
142.642	because he's got a little hair on the back of his legs there,
144.883	and he's clearly very pleased about what he's sitting on there.
149.952	And then he's about to become a victim
151.864	of a vicious smash-and-grab. (Laughter)
157.113	And this is a clear indication
159.811	that this is a valuable resource.
162.422	And so valuable resources have to be looked after
166.547	and guarded in a particular way, and we think
169.866	the reason they roll the balls away is because of this,
173.168	because of the competition that is involved
175.578	in getting hold of that dung.
177.453	So this dung pat was actually -- well, it was a dung pat
183.096	and we think it's the intense competition
186.145	that makes the beetles so well-adapted
190.025	to rolling balls of dung.
192.714	So what you've got to imagine here is this animal here
194.747	moving across the African veld.
198.35	Its head is down. It's walking backwards.
201.698	It's the most bizarre way to actually transport your food in any particular direction,
207.069	and at the same time it's got to deal with the heat.
209.935	This is Africa. It's hot.
211.923	So what I want to share with you now
213.63	are some of the experiments that myself and my colleagues
216.805	have used to investigate how dung beetles
221.646	deal with these problems.
223.698	So watch this beetle,
226.235	and there's two things that I would like you to be aware of.
230.379	The first is how it deals with this obstacle
232.941	that we've put in its way. See, look, it does a little dance,
235.829	and then it carries on in exactly the same direction
238.763	that it took in the first place.
242.453	A little dance, and then heads off in a particular direction.
246.219	So clearly this animal knows where it's going
249.596	and it knows where it wants to go,
250.935	and that's a very, very important thing,
252.82	because if you think about it, you're at the dung pile,
255.235	you've got this great big pie that you want to get away from everybody else,
259.758	and the quickest way to do it is in a straight line.
262.651	So we gave them some more tasks to deal with,
267.03	and what we did here is we turned the world
271.19	under their feet. And watch its response.
280.547	So this animal has actually had the whole world
283.343	turned under its feet. It's turned by 90 degrees.
286.19	But it doesn't flinch. It knows exactly where it wants to go,
288.662	and it heads off in that particular direction.
291.63	So our next question then was,
293.822	how are they doing this?
295.782	What are they doing? And there was a cue that was available to us.
299.231	It was that every now and then they'd climb on top of the ball
302.358	and they'd take a look at the world around them.
304.99	And what do you think they could be looking at
306.71	as they climb on top of the ball?
308.386	What are the obvious cues that this animal could use
311.941	to direct its movement? And the most obvious one
316.119	is to look at the sky, and so we thought,
320.338	now what could they be looking at in the sky?
322.602	And the obvious thing to look at is the sun.
326.711	So a classic experiment here,
329.665	in that what we did was we moved the sun.
