startsecond	text
12.464	I'm going to talk about consciousness.
15.081	Why consciousness?
16.561	Well, it's a curiously neglected subject,
19.387	both in our scientific
19.387	and our philosophical culture.
22.951	Now why is that curious?
24.223	Well, it is the most important
24.223	aspect of our lives
27.733	for a very simple, logical reason,
29.691	namely, it's a necessary
29.691	condition on anything
32.088	being important in our lives
32.088	that we're conscious.
34.565	You care about science, philosophy,
34.565	music, art, whatever --
37.724	it's no good if you're
37.724	a zombie or in a coma, right?
41.202	So consciousness is number one.
43.546	The second reason is that when people do
46.014	get interested in it,
46.014	as I think they should,
48.33	they tend to say
48.33	the most appalling things.
51.181	And then, even when they're
51.181	not saying appalling things
53.825	and they're really trying
53.825	to do serious research,
56.183	well, it's been slow.
56.183	Progress has been slow.
59.324	When I first got interested
59.324	in this, I thought, well,
62.464	it's a straightforward problem in biology.
64.67	Let's get these brain stabbers
64.67	to get busy and figure out
67.167	how it works in the brain.
68.051	So I went over to UCSF and I talked to all
70.075	the heavy-duty neurobiologists there,
71.868	and they showed some impatience,
73.444	as scientists often do when you
73.444	ask them embarrassing questions.
76.827	But the thing that struck me is,
76.827	one guy said in exasperation,
80.585	a very famous neurobiologist,
80.585	"he said, ""Look,"
82.752	in my discipline it's okay to be
82.752	interested in consciousness,
86.175	"but get tenure first. Get tenure first."""
89.742	Now I've been working
89.742	on this for a long time.
92.46	I think now you might actually get tenure
94.438	by working on consciousness.
95.796	If so, that's a real step forward.
98.342	Okay, now why then is this
98.342	curious reluctance
101.247	and curious hostility to consciousness?
103.145	Well, I think it's a combination
103.145	of two features
105.875	of our intellectual culture
107.78	that like to think they're
107.78	opposing each other
110.306	but in fact they share
110.306	a common set of assumptions.
113.929	One feature is the tradition
113.929	of religious dualism:
117.891	Consciousness is not a part
117.891	of the physical world.
121.216	It's a part of the spiritual world.
123.143	It belongs to the soul,
124.679	and the soul is not a part
124.679	of the physical world.
127.975	That's the tradition of God,
127.975	the soul and immortality.
131.006	There's another tradition
131.006	that thinks it's opposed to this
133.111	but accepts the worst assumption.
135.215	That tradition thinks that we are heavy-duty
135.215	scientific materialists:
139.293	Consciousness is not a part
139.293	of the physical world.
142.758	Either it doesn't exist at all,
142.758	or it's something else,
145.404	a computer program
145.404	or some damn fool thing,
148.054	but in any case it's not part of science.
151.249	And I used to get in an argument
151.249	that really gave me a stomachache.
153.457	Here's how it went.
155.076	Science is objective,
155.076	consciousness is subjective,
159.108	therefore there cannot be
159.108	a science of consciousness.
162.435	Okay, so these twin
162.435	traditions are paralyzing us.
168.939	It's very hard to get
168.939	out of these twin traditions.
171.807	And I have only one real
171.807	message in this lecture,
174.825	and that is, consciousness
174.825	is a biological phenomenon
178.209	like photosynthesis, digestion, mitosis --
181.098	you know all the biological phenomena
181.098	-- and once you accept that,
185.433	most, though not all, of the hard problems
188.072	about consciousness simply evaporate.
190.347	And I'm going to go through some of them.
192.4	Okay, now I promised you to tell you some
194.733	of the outrageous things
194.733	said about consciousness.
197.472	One: Consciousness does not exist.
201.072	It's an illusion, like sunsets.
203.302	Science has shown sunsets
203.302	and rainbows are illusions.
208.367	So consciousness is an illusion.
210.29	Two: Well, maybe it exists,
210.29	but it's really something else.
213.545	It's a computer program
213.545	running in the brain.
217.326	Three: No, the only thing
217.326	that exists is really behavior.
221.14	It's embarrassing how influential
221.14	behaviorism was,
224.748	but I'll get back to that.
226.103	And four: Maybe consciousness exists,
228.837	but it can't make
228.837	any difference to the world.
231.052	How could spirituality move anything?
233.772	Now, whenever somebody
233.772	tells me that, I think,
235.987	you want to see spirituality
235.987	move something?
238.277	Watch. I decide consciously
238.277	to raise my arm,
241.129	and the damn thing goes up. (Laughter)
243.738	Furthermore, notice this:
247.509	"We do not say, ""Well, it's a bit"
247.509	like the weather in Geneva.
251.504	Some days it goes up and some days
251.504	"it doesn't go up."""
254.152	No. It goes up whenever
254.152	I damn well want it to.
256.807	Okay. I'm going to tell
256.807	you how that's possible.
259.117	Now, I haven't yet given you a definition.
262.616	You can't do this if you
262.616	don't give a definition.
264.974	People always say consciousness
264.974	is very hard to define.
267.96	I think it's rather easy to define
269.843	if you're not trying to give
269.843	a scientific definition.
272.052	We're not ready
272.052	for a scientific definition,
274.332	but here's a common-sense definition.
276.118	Consciousness consists
276.118	of all those states of feeling
278.92	or sentience or awareness.
280.988	It begins in the morning when you
280.988	wake up from a dreamless sleep,
284.546	and it goes on all day
284.546	until you fall asleep
287.015	or die or otherwise become unconscious.
290.213	Dreams are a form of consciousness
290.213	on this definition.
293.333	Now, that's the common-sense definition.
293.333	That's our target.
296.235	If you're not talking about that,
296.235	you're not talking about consciousness.
299.736	"But they think, ""Well, if that's it,"
299.736	that's an awful problem.
303.22	How can such a thing exist
303.22	"as part of the real world?"""
307.178	And this, if you've ever
307.178	had a philosophy course,
309.536	this is known as the famous
309.536	mind-body problem.
312.287	I think that has a simple solution too.
312.287	I'm going to give it to you.
315.55	And here it is: All of our conscious
315.55	states, without exception,
319.552	are caused by lower-level
319.552	neurobiological processes in the brain,
325.077	and they are realized in the brain
327.258	as higher-level or system features.
329.592	It's about as mysterious
329.592	as the liquidity of water.
332.748	Right? The liquidity is not
332.748	an extra juice squirted out
336.223	by the H2O molecules.
337.913	It's a condition that the system is in.
340.791	And just as the jar full of water
340.791	can go from liquid to solid
345.953	depending on the behavior
345.953	of the molecules,
348.025	so your brain can go
348.025	from a state of being conscious
350.902	to a state of being unconscious,
352.542	depending on the behavior
352.542	of the molecules.
355.528	The famous mind-body
355.528	problem is that simple.
359.913	All right? But now we get
359.913	into some harder questions.
363.09	Let's specify the exact
363.09	features of consciousness,
366.534	so that we can then answer
366.534	those four objections
369.006	that I made to it.
370.293	Well, the first feature is,
370.293	it's real and irreducible.
374.56	You can't get rid of it.
376.614	You see, the distinction
376.614	between reality and illusion
380.785	is the distinction between how things
383.454	consciously seem to us
383.454	and how they really are.
387.328	It consciously seems like there's --
389.204	"I like the French ""arc-en-ciel"" —"
390.872	it seems like there's an arch in the sky,
393.07	or it seems like the sun
393.07	is setting over the mountains.
396.85	It consciously seems to us,
396.85	but that's not really happening.
399.947	But for that distinction between
401.874	how things consciously seem
401.874	and how they really are,
404.375	you can't make that distinction
404.375	for the very existence of consciousness,
408.43	because where the very existence
408.43	of consciousness is concerned,
412.281	if it consciously seems to you
412.281	that you are conscious,
415.261	you are conscious.
417.146	I mean, if a bunch of experts
417.146	come to me and say,
420.5	"""We are heavy-duty neurobiologists"
420.5	and we've done a study
423.191	of you, Searle, and we're
423.191	convinced you are not conscious,
