startsecond	text
12.462	As humans, it's in our nature
14.161	to want to improve our health 
14.161	and minimize our suffering.
17.455	Whatever life throws at us,
19.122	whether it's cancer, diabetes, heart disease,
21.587	or even broken bones, we want to try and get better.
24.779	Now I'm head of a biomaterials lab,
27.262	and I'm really fascinated by the way that humans
30.002	have used materials in really creative ways
32.47	in the body over time.
35.214	Take, for example, this beautiful blue nacre shell.
38.86	This was actually used by the Mayans
40.742	as an artificial tooth replacement.
44.281	We're not quite sure why they did it.
45.914	It's hard. It's durable.
48.49	But it also had other very nice properties.
52.608	In fact, when they put it into the jawbone,
54.888	it could integrate into the jaw,
57.795	and we know now with very sophisticated
59.893	imaging technologies
61.566	that part of that integration comes from the fact
63.915	that this material is designed
65.602	in a very specific way, has a beautiful chemistry,
68.421	has a beautiful architecture.
70.649	And I think in many ways we can sort of think
72.401	of the use of the blue nacre shell and the Mayans
75.408	as the first real application
76.928	of the bluetooth technology.
79.223	(Laughter)
80.685	But if we move on and think throughout history
85.078	how people have used different 
85.078	materials in the body,
88.062	very often it's been physicians
89.776	that have been quite creative.
91.168	They've taken things off the shelf.
93.136	One of my favorite examples
95.036	is that of Sir Harold Ridley,
98.278	who was a famous ophthalmologist,
100.416	or at least became a famous ophthalmologist.
102.984	And during World War II, what he would see
104.911	would be pilots coming back from their missions,
107.763	and he noticed that within their eyes
109.515	they had shards of small bits of material
112.455	lodged within the eye,
113.975	but the very interesting thing about it
115.674	was that material, actually, wasn't causing
117.967	any inflammatory response.
119.98	So he looked into this, and he figured out
122.319	that actually that material was little shards of plastic
124.923	that were coming from the canopy of the Spitfires.
127.662	And this led him to propose that material
130.063	as a new material for intraocular lenses.
132.825	It's called PMMA, and it's now used
134.93	in millions of people every year
136.732	and helps in preventing cataracts.
139.501	And that example, I think, is a really nice one,
141.81	because it helps remind us that in the early days,
144.245	people often chose materials
146.198	because they were bioinert.
148.083	Their very purpose was to 
148.083	perform a mechanical function.
151.595	You'd put them in the body
153.045	and you wouldn't get an adverse response.
155.209	And what I want to show you is that
156.877	in regenerative medicine,
158.258	we've really shifted away from that idea
160.082	of taking a bioinert material.
161.995	We're actually actively looking for materials
164.284	that will be bioactive, that will interact with the body,
167.252	and that furthermore we can put in the body,
169.579	they'll have their function,
171.028	and then they'll dissolve away over time.
175.578	If we look at this schematic,
177.511	this is showing you what we think of
179.112	as the typical tissue-engineering approach.
181.249	We have cells there, typically from the patient.
184.093	We can put those onto a material,
185.975	and we can make that material 
185.975	very complex if we want to,
188.708	and we can then grow that up in the lab
190.878	or we can put it straight back into the patient.
193.393	And this is an approach that's 
193.393	used all over the world,
195.844	including in our lab.
199.367	But one of the things that's really important
201.824	when we're thinking about stem cells
203.702	is that obviously stem cells 
203.702	can be many different things,
206.281	and they want to be many different things,
208.045	and so we want to make sure that the environment
209.921	we put them into has enough information
212.271	so that they can become the right sort
214.267	of specialist tissue.
216.953	And if we think about the different types of tissues
220.016	that people are looking at regenerating
222.035	all over the world, in all the 
222.035	different labs in the world,
224.346	there's pretty much every tissue you can think of.
227.282	And actually, the structure of those tissues
228.904	is quite different, and it's going to really depend
231.518	on whether your patient has any underlying disease,
233.936	other conditions, in terms of how
236.986	you're going to regenerate your tissue,
238.547	and you're going to need to think about the materials
240.532	you're going to use really carefully,
242.586	their biochemistry, their mechanics,
244.311	and many other properties as well.
248.049	Our tissues all have very 
248.049	different abilities to regenerate,
251.349	and here we see poor Prometheus,
253.091	who made a rather tricky career choice
256.184	and was punished by the Greek gods.
259.118	He was tied to a rock, and an eagle would come
261.439	every day to eat his liver.
263.042	But of course his liver would regenerate every day,
265.309	and so day after day he was punished
267.581	for eternity by the gods.
273.378	And liver will regenerate in this very nice way,
277.258	but actually if we think of other tissues,
279.034	like cartilage, for example,
280.803	even the simplest nick and you're going to find it
282.859	really difficult to regenerate your cartilage.
285.302	So it's going to be very different from tissue to tissue.
288.416	Now, bone is somewhere in between,
291.216	and this is one of the tissues 
291.216	that we work on a lot in our lab.
294.116	And bone is actually quite good at repairing.
296.1	It has to be. We've probably all had fractures
298.113	at some point or other.
299.925	And one of the ways that you can think
302.082	about repairing your fracture
303.771	is this procedure here, called 
303.771	an iliac crest harvest.
306.598	And what the surgeon might do
308.264	is take some bone from your iliac crest,
