startsecond	text
19.33	I hope you'll understand my English.
21.33	In the mornings it is terrible, and the afternoon is worst.
27.33	(Laughter)
30.33	During many years, I made some speeches starting with this
35.33	"saying: ""City is not a problem, it's a solution."""
40.33	And more and more, I'm convinced that
46.33	it's not only a solution for a country,
50.33	but it's a solution for the problem of climate change.
55.33	But we have a very pessimistic approach about the cities.
62.33	I'm working in cities for almost 40 years,
66.33	and where every mayor is trying to tell me his city is so big,
73.33	"or the other mayors say, ""We don't have financial resources,"""
79.33	I would like to say
82.33	from the experience I had: every city in the world
86.33	can be improved in less than three years.
94.33	There's no matter of scale. It's not a question of scale,
98.33	it's not a question of financial resources.
101.33	Every problem in a city has to have its own equation of co-responsibility
108.33	and also a design.
111.33	So to start, I want to introduce some characters
117.33	from a book I made for teenagers.
120.33	The best example of quality of life is the turtle
126.33	because the turtle is an example of living and working together.
133.33	And when you realize that the casque of the turtle
138.33	looks like an urban tessitura,
143.33	and can we imagine, if we cut the casque of the turtle, how sad she's going to be?
152.33	And that's what we're doing in our cities:
154.33	living here, working here, having leisure here.
157.33	And most of the people are leaving the city
161.33	and living outside of the city.
164.33	So, the other character is Otto, the automobile.
170.33	He is invited for a party -- he never wants to leave.
175.33	The chairs are on the tables and still drinking,
180.33	and he drinks a lot. (Laughter)
182.33	And he coughs a lot. Very egotistical:
186.33	he carries only one or two people
189.33	and he asks always for more infrastructure.
196.33	Freeways.
198.33	He's a very demanding person.
201.33	And on the other hand, Accordion, the friendly bus,
205.33	he carries 300 people --
219.33	Speaking about the design: every city has its own design.
224.33	Curitiba, my city: three million in the metropolitan area,
228.33	1,800,000 people in the city itself.
233.33	Curitiba, Rio: it's like two birds kissing themselves.
236.33	Oaxaca, San Francisco -- it's very easy:
239.33	Market Street, Van Ness and the waterfront.
242.33	And every city has its own design.
246.33	But to make it happen, sometimes you have to propose a scenario
250.33	and to propose a design --
253.33	an idea that everyone, or the large majority,
256.33	will help you to make it happen.
259.33	And that's the structure of the city of Curitiba.
264.33	And it's an example of living and working together.
269.33	And this is where we have more density;
274.33	it's where we have more public transport.
277.33	So, this system started in '74. We started with 25,000 passengers a day,
285.33	now it's 2,200,000 passengers a day.
288.33	And it took 25 years until another city ...
292.33	which is Bogota, and they did a very good job.
297.33	And now there's 83 cities all over the world that they
302.33	are doing what they call the BRT of Curitiba.
306.33	And one thing: it's important not for only your own city;
313.33	every city, besides its normal problems,
317.33	they have a very important role
320.33	in being with the whole humanity.
323.33	That means mostly two main issues --
328.33	mobility and sustainability -- are becoming very important for the cities.
333.33	And this is an articulated bus, double-articulated.
338.33	And we are very close to my house.
341.33	You can come when you are in Curitiba and have a coffee there.
346.33	And that's the evolution of the system.
348.33	What in the design that made the difference
352.33	is the boarding tubes:
354.33	the boarding tube gives to the bus the same performance as a subway.
359.33	That's why, I'm trying to say,
364.33	it's like metro-nizing the bus.
366.33	This is the design of the bus,
372.33	and you can pay before entering the bus you're boarding.
375.33	And for handicapped, they can use this as a normal system.
383.33	What I'm trying to say is
386.33	the major contribution on carbon emissions are from the cars --
392.33	more than 50 percent -- so when we depend only on cars, it's ...
401.33	-- that's why when we're talking about sustainability,
405.33	it's not enough, green buildings.
408.33	It's not enough, a new materials.
411.33	It's not enough, new sources of energy.
414.33	It's the concept of the city, the design of the city,
418.33	that's also important, too. And also, how to teach the children.
429.33	I'll speak on this later on.
434.33	Our idea of mobility is trying
437.33	to make the connections between all the systems.
440.33	We started in '83, proposing for the city of Rio
445.33	how to connect the subway with the bus.
448.33	The subway was against, of course.
