startsecond	text
12.92	Tonight, I'm going to share with you
12.92	my passion for science.
16.56	I'm not talking about science
16.56	that takes baby steps.
19.6	I'm talking about science
19.6	that takes enormous leaps.
23.88	I'm talking Darwin, I'm talking Einstein,
27.28	I'm talking revolutionary science
27.28	that turns the world on its head.
31.44	In a moment, I'm going to talk
31.44	about two ideas that might do this.
35.8	"I say ""might"""
37.04	because, with revolutionary ideas,
37.04	most are flat wrong,
39.84	and even those that are right
39.84	seldom have the impact
42.32	that we want them to have.
44.04	To explain why I picked
44.04	two ideas in particular,
46.56	I'm going to start with a mystery.
53.08	Ignaz Semmelweis was a somber,
53.08	compulsively thorough doctor
56.72	who ran two maternity clinics.
58.6	They were identical except for one thing.
61.72	Women were dying of high fevers
61.72	soon after giving birth
64.4	three times more often
64.4	at one of the clinics than at the other.
68.6	Trying to figure out
68.6	what the difference was that caused this,
71.56	Semmelweis looked at everything he could.
73.6	Sanitation? No.
75.36	Medical procedures? No.
78	Air flow? No.
80.8	The puzzle went unsolved
80.8	until he happened to autopsy a doctor
84.08	who died of an infected scalpel cut.
86.76	The doctor's symptoms were identical
86.76	to those of the mothers who were dying.
90.56	How was that possible?
91.96	How could a male doctor
91.96	get the same thing as new mothers?
95.56	Semmelweis reconstructed
95.56	everything the doctor had done
98.84	right before he got sick,
100.12	and he discovered
100.12	that he'd been autopsying a corpse.
104.44	Had something gotten
104.44	in his wound that killed him?
108.76	With growing excitement,
110.56	Semmelweis looked
110.56	for any connection he could
113.4	between dead bodies in the morgue
113.4	and dead mothers in his delivery room,
118.8	and he found it.
121.32	It turned out that at the hospital
121.32	with the high death rate,
124.2	but not the others,
126	doctors delivered babies immediately
126	after autopsying corpses in the morgue.
131.16	Aha! Corpses were contaminating
131.16	the doctors' hands
135.12	and killing his mothers.
137.24	So he ordered the doctors
137.24	to sterilize their hands,
140.32	and the deaths stopped.
143.4	Dr. Ignaz Semmelweis
143.4	had discovered infectious disease.
148.4	But the doctors of the day
148.4	thought he was crazy,
151.84	because they knew,
151.84	and had for hundreds of years,
155.36	that odorous vapors
155.36	called miasmas caused disease,
160.48	not these hypothetical particles
160.48	that you couldn't see.
164.88	It took 20 years
164.88	for Frenchman Louis Pasteur
169.08	to prove that Semmelweis was right.
171.68	Pasteur was an agricultural chemist
174.4	who tried to figure out
174.4	why milk and beer spoiled so often.
