startsecond	text
12.602	The first patient to ever be 
12.602	treated with an antibiotic
16.16	was a policeman in Oxford.
17.693	On his day off from work,
19.8	he was scratched by a rose thorn
19.8	while working in the garden.
23.173	That small scratch became infected.
26.848	Over the next few days, 
26.848	his head was swollen
29.163	with abscesses,
30.884	and in fact his eye was so infected
33.167	that they had to take it out,
35.07	and by February of 1941,
38.05	this poor man was on the verge of dying.
40.487	He was at Radcliffe Infirmary in Oxford,
43.685	and fortunately for him,
45.991	a small team of doctors
47.041	led by a Dr. Howard Florey
48.93	had managed to synthesize
50.997	a very small amount of penicillin,
53.82	a drug that had been discovered
58.223	but had never actually been 
58.223	used to treat a human,
61.93	and indeed no one even 
61.93	knew if the drug would work,
64.34	if it was full of impurities 
64.34	that would kill the patient,
67.98	but Florey and his team figured
69.894	if they had to use it, 
69.894	they might as well use it
71.616	on someone who was going to die anyway.
74.181	So they gave Albert Alexander,
77.836	this Oxford policeman, the drug,
80.715	and within 24 hours,
83.132	he started getting better.
85.394	His fever went down, 
85.394	his appetite came back.
89.37	Second day, he was doing much better.
91.683	They were starting to 
91.683	run out of penicillin,
93.921	so what they would do 
93.921	was run with his urine
95.983	across the road to re-synthesize 
95.983	the penicillin from his urine
98.833	and give it back to him,
100.768	and that worked.
102.016	Day four, well on the way to recovery.
104.496	This was a miracle.
106.134	Day five, they ran out of penicillin,
110.37	and the poor man died.
112.637	So that story didn't end that well,
115.35	but fortunately for 
115.35	millions of other people,
119.7	like this child who was treated 
119.7	again in the early 1940s,
122.706	who was again dying of a sepsis,
125.74	and within just six days, you can see,
128.89	recovered thanks to this 
128.89	wonder drug, penicillin.
132.243	Millions have lived,
134.201	and global health has been transformed.
137.785	Now, antibiotics have been used
140.578	for patients like this,
143.705	but they've also been 
143.705	used rather frivolously
145.842	in some instances,
147.586	for treating someone 
147.586	with just a cold or the flu,
149.949	which they might not have 
149.949	responded to an antibiotic,
152.423	and they've also been 
152.423	used in large quantities
156.161	sub-therapeutically, which
156.161	means in small concentrations,
159.803	to make chicken and hogs grow faster.
162.986	Just to save a few pennies
162.986	on the price of meat,
166.552	we've spent a lot of 
166.552	antibiotics on animals,
169.252	not for treatment, not for sick animals,
171.614	but primarily for growth promotion.
174.73	Now, what did that lead us to?
177.587	Basically, the massive use of antibiotics
