startsecond	text
15.26	Pat Mitchell: What is the story of this pin?
17.26	"Madeleine Albright: This is ""Breaking the Glass Ceiling."""
19.26	PM: Oh.
22.26	That was well chosen, I would say, for TEDWomen.
25.26	MA: Most of the time I spend when I get up in the morning
27.26	is trying to figure out what is going to happen.
29.26	And none of this pin stuff would have happened
31.26	if it hadn't been for Saddam Hussein.
33.26	I'll tell you what happened.
35.26	I went to the United Nations as an ambassador,
38.26	and it was after the Gulf War,
40.26	and I was an instructed ambassador.
42.26	And the cease-fire had been translated
44.26	into a series of sanctions resolutions,
47.26	and my instructions
49.26	were to say perfectly terrible things about Saddam Hussein constantly,
52.26	which he deserved -- he had invaded another country.
55.26	And so all of a sudden, a poem appeared in the papers in Baghdad
58.26	comparing me to many things,
60.26	"but among them an ""unparalleled serpent."""
63.26	And so I happened to have a snake pin.
65.26	So I wore it when we talked about Iraq.
67.26	(Laughter)
69.26	And when I went out to meet the press,
71.26	"they zeroed in, said, ""Why are you wearing that snake pin?"""
73.26	"I said, ""Because Saddam Hussein compared me to an unparalleled serpent."""
76.26	And then I thought, well this is fun.
78.26	So I went out and I bought a lot of pins
81.26	that would, in fact, reflect
83.26	what I thought we were going to do on any given day.
85.26	So that's how it all started.
87.26	PM: So how large is the collection?
89.26	MA: Pretty big.
91.26	It's now traveling.
93.26	At the moment it's in Indianapolis,
95.26	but it was at the Smithsonian.
97.26	"And it goes with a book that says, ""Read My Pins."""
100.26	(Laughter)
102.26	PM: So is this a good idea.
105.26	I remember when you were the first woman
107.26	as Secretary of State,
109.26	and there was a lot of conversation always
111.26	about what you were wearing,
113.26	how you looked --
115.26	the thing that happens to a lot of women,
117.26	especially if they're the first in a position.
120.26	So how do you feel about that -- the whole --
123.26	MA: Well, it's pretty irritating actually
125.26	because nobody ever describes what a man is wearing.
128.26	But people did pay attention to what clothes I had.
131.26	What was interesting was that,
133.26	before I went up to New York as U.N. ambassador,
135.26	I talked to Jeane Kirkpatrick, who'd been ambassador before me,
138.26	"and she said, ""You've got to get rid of your professor clothes."
141.26	"Go out and look like a diplomat."""
143.26	So that did give me a lot of opportunities to go shopping.
146.26	But still, there were all kinds of questions
149.26	"about -- ""did you wear a hat?"" ""How short was your skirt?"""
152.26	And one of the things --
154.26	if you remember Condoleezza Rice was at some event and she wore boots,
157.26	and she got criticized over that.
159.26	And no guy ever gets criticized. But that's the least of it.
162.26	PM: It is, for all of us, men and women,
165.26	finding our ways of defining our roles,
168.26	and doing them in ways that make a difference in the world
171.26	and shape the future.
173.26	How did you handle that balance
176.26	between being the tough diplomatic
179.26	and strong voice of this country
182.26	to the rest of the world
184.26	and also how you felt about yourself
186.26	as a mother, a grandmother, nurturing ...
189.26	and so how did you handle that?
191.26	MA: Well the interesting part was I was asked
193.26	what it was like to be the first woman Secretary of State
195.26	a few minutes after I'd been named.
197.26	"And I said, ""Well I've been a woman for 60 years,"
199.26	"but I've only been Secretary of State for a few minutes."""
202.26	So it evolved.
204.26	(Laughter)
206.26	But basically I love being a woman.
208.26	And so what happened --
210.26	and I think there will probably be some people in the audience
212.26	that will identify with this --
214.26	I went to my first meeting, first at the U.N.,
217.26	and that's when this all started,
219.26	because that is a very male organization.
222.26	And I'm sitting there -- there are 15 members of the Security Council --
225.26	so 14 men sat there staring at me,
229.26	and I thought -- well you know how we all are.
231.26	You want to get the feeling of the room,
233.26	"and ""do people like me?"""
235.26	"and ""will I really say something intelligent?"""
237.26	"And all of a sudden I thought, ""Well, wait a minute."
240.26	I am sitting behind a sign that says 'The United States,'
243.26	and if I don't speak today
245.26	"then the voice of the United States will not be heard,"""
248.26	and it was the first time that I had that feeling
250.26	that I had to step out of myself
252.26	in my normal, reluctant female mode
256.26	and decide that I had to speak on behalf of our country.
259.26	And so that happened more at various times,
262.26	but I really think that there was a great advantage in many ways
266.26	to being a woman.
268.26	I think we are a lot better
270.26	at personal relationships,
272.26	and then have the capability obviously
274.26	of telling it like it is when it's necessary.
