startsecond	text
18.33	Okay, so
23.33	is, in fact, not photographic.
25.33	It involves a campaign of letter writing,
28.33	research and phone calls
30.33	to access my subjects,
32.33	which can range from Hamas leaders in Gaza
35.33	to a hibernating black bear in its cave
38.33	in West Virginia.
41.33	And oddly, the most notable
44.33	letter of rejection I ever received
46.33	came from Walt Disney World,
48.33	a seemingly innocuous site.
50.33	And it read -- I'm just going to read a key sentence:
53.33	"""Especially during these violent times,"
56.33	I personally believe
58.33	that the magical spell cast upon guests who visit our theme parks
62.33	is particularly important to protect
65.33	and helps to provide them with an important fantasy
67.33	"they can escape to."""
69.33	Photography threatens fantasy.
72.33	They didn't want to let my camera in
74.33	because it confronts constructed realities, myths and beliefs,
78.33	and provides what appears to be
81.33	evidence of a truth.
83.33	But there are multiple truths attached to every image,
86.33	depending on the creator's intention, the viewer
89.33	and the context in which it is presented.
93.33	Over a five year period following September 11th,
96.33	when the American media and government were seeking
98.33	hidden and unknown sites
100.33	beyond its borders,
102.33	most notably weapons of mass destruction,
105.33	I chose to look inward at that which was integral
108.33	to America's foundation,
110.33	mythology and daily functioning.
112.33	I wanted to confront the boundaries of the citizen,
115.33	self-imposed and real,
117.33	and confront the divide between privileged
120.33	and public access to knowledge.
124.33	It was a critical moment in American history
127.33	and global history
129.33	where one felt they didn't have access to accurate information.
132.33	And I wanted to see the center with my own eyes,
136.33	but what I came away with is a photograph.
139.33	And it's just another place from which to observe,
141.33	and the understanding that
143.33	there are no absolute, all-knowing insiders.
146.33	And the outsider can never really reach the core.
151.33	I'm going to run through some of the photographs in this series.
155.33	"It's titled, ""An American Index"
157.33	"of the Hidden and Unfamiliar,"""
159.33	and it's comprised of nearly 70 images.
162.33	In this context I'll just show you a few.
164.33	This is a nuclear waste storage and encapsulation facility
169.33	at Hanford site in Washington State,
171.33	where there are over 1,900
173.33	stainless steel capsules containing nuclear waste
175.33	submerged in water.
177.33	A human standing in front of an unprotected capsule would die instantly.
181.33	And I found one section amongst all of these
184.33	that actually resembled the outline
186.33	of the United States of America,
188.33	which you can see here.
190.33	And a big part of the work that is
192.33	sort of absent in this context is text.
196.33	So I create these two poles.
198.33	Every image is accompanied with a very detailed factual text.
202.33	And what I'm most interested in
204.33	is the invisible space between a text
207.33	and its accompanying image,
209.33	and how the image is transformed by the text
212.33	and the text by the image.
214.33	So, at best, the image is meant to float away
216.33	into abstraction and multiple truths and fantasy.
220.33	And then the text functions as this cruel anchor
223.33	that kind of nails it to the ground.
225.33	But in this context I'm just going to read
228.33	an abridged version of those texts.
230.33	This is a cryopreservation unit,
233.33	and it holds the bodies of the wife and mother
235.33	of cryonics pioneer Robert Ettinger,
237.33	who hoped to be awoken one day to extended life
240.33	in good health, with advancements in science and technology,
244.33	all for the cost of 35 thousand dollars, for forever.
249.33	This is a 21-year-old Palestinian woman
252.33	undergoing hymenoplasty.
254.33	Hymenoplasty is a surgical procedure which restores the virginal state,
259.33	allowing her to adhere to certain cultural expectations
262.33	regarding virginity and marriage.
264.33	So it essentially reconstructs a ruptured hymen,
267.33	allowing her to bleed upon having sexual intercourse,
271.33	to simulate the loss of virginity.
274.33	This is a jury simulation deliberation room,
277.33	and you can see beyond that two-way mirror
279.33	jury advisers standing in a room behind the mirror.
283.33	And they observe deliberations
285.33	after mock trial proceedings
287.33	so that they can better advise their clients how to adjust their trial strategy
291.33	to have the outcome that they're hoping for.
294.33	This process costs 60,000 dollars.
299.33	This is a U.S. Customs and Border Protection room,
303.33	a contraband room, at John F. Kennedy International Airport.
306.33	On that table you can see 48 hours' worth
309.33	of seized goods from passengers entering in to the United States.
313.33	There is a pig's head and African cane rats.
317.33	And part of my photographic work
319.33	is I'm not just documenting what's there.
322.33	I do take certain liberties and intervene.
325.33	And in this I really wanted it to resemble
327.33	an early still-life painting,
329.33	so I spent some time with the smells and items.
334.33	This is the exhibited art on the walls of the CIA
337.33	in Langley, Virginia, their original headquarters building.
340.33	And the CIA has had a long history
343.33	with both covert and public cultural diplomacy efforts.
347.33	And it's speculated that some of their interest in the arts
349.33	was designed to counter Soviet communism
352.33	and promote what it considered to be pro-American
354.33	thoughts and aesthetics.
356.33	And one of the art forms that elicited the interest of the agency,
360.33	and had thus come under question, is abstract expressionism.
366.33	This is the Forensic Anthropology Research Facility,
370.33	and on a six acre plot
372.33	there are approximately 75 cadavers at any given time
376.33	that are being studied by forensic anthropologists
379.33	and researchers who are interested in monitoring
382.33	a rate of corpse decomposition.
385.33	And in this particular photograph the body of a young boy
388.33	has been used to reenact a crime scene.
392.33	This is the only federally funded site
395.33	where it is legal to cultivate cannabis
398.33	for scientific research in the United States.
401.33	It's a research crop marijuana grow room.
403.33	And part of the work that I hope for
406.33	is that there is a sort of disorienting entropy
409.33	where you can't find any discernible formula in how these things --
413.33	they sort of awkwardly jump from government to science
416.33	to religion to security --
418.33	and you can't completely understand
421.33	how information is being distributed.
425.33	These are transatlantic submarine communication cables
428.33	that travel across the floor of the Atlantic Ocean,
431.33	connecting North America to Europe.
433.33	They carry over 60 million simultaneous voice conversations,
437.33	and in a lot of the government and technology sites
440.33	there was just this very apparent vulnerability.
443.33	This one is almost humorous because it feels like I could
445.33	just snip all of that conversation in one easy cut.
448.33	But stuff did feel like it could have been taken
456.33	and hadn't necessarily progressed.
459.33	This is a Braille edition of Playboy magazine.
462.33	(Laughter)
464.33	And this is ... a division of the Library of Congress
466.33	produces a free national library service
470.33	for the blind and visually impaired,
472.33	and the publications they choose to publish
474.33	are based on reader popularity.
477.33	And Playboy is always in the top few.
479.33	(Laughter)
481.33	But you'd be surprised, they don't do the photographs. It's just the text.
485.33	(Laughter)
486.33	This is an avian quarantine facility
