startsecond	text
16.26	I'm talking to you about
18.26	the worst form of human rights violation,
22.26	the third-largest organized crime,
26.26	a $10 billion industry.
29.26	I'm talking to you about modern-day slavery.
34.26	I'd like to tell you the story
36.26	of these three children,
38.26	Pranitha, Shaheen and Anjali.
41.26	Pranitha's mother was a woman in prostitution,
46.26	a prostituted person.
48.26	She got infected with HIV,
51.26	and towards the end of her life,
53.26	when she was in the final stages of AIDS,
56.26	she could not prostitute,
59.26	so she sold four-year-old Pranitha to a broker.
66.26	By the time we got the information, we reached there,
69.26	Pranitha was already raped by three men.
74.26	Shaheen's background I don't even know.
77.26	We found her in a railway track,
82.26	raped by many, many men, I don't know many.
85.26	But the indications of that on her body was
88.26	that her intestine was outside her body.
92.26	And when we took her to the hospital
94.26	she needed 32 stitches to put back her intestine into her body.
99.26	We still don't know who her parents are, who she is.
102.26	All that we know that hundreds of men
104.26	had used her brutally.
108.26	Anjali's father, a drunkard,
112.26	sold his child for pornography.
116.26	You're seeing here images of
118.26	three years, four-year-olds, and five-year-old children
123.26	who have been trafficked for commercial sexual exploitation.
129.26	In this country, and across the globe,
132.26	hundreds and thousands of children,
134.26	as young as three, as young as four,
137.26	are sold into sexual slavery.
140.26	But that's not the only purpose that human beings are sold for.
143.26	They are sold in the name of adoption.
145.26	They are sold in the name of organ trade.
148.26	They are sold in the name of forced labor,
150.26	camel jockeying, anything, everything.
154.26	I work on the issue of commercial sexual exploitation.
157.26	And I tell you stories from there.
159.26	My own journey to work with these children
163.26	started as a teenager.
165.26	I was 15 when I was gang-raped by eight men.
171.26	I don't remember the rape part of it so much
175.26	as much as the anger part of it.
181.26	Yes, there were eight men who defiled me, raped me,
184.26	but that didn't go into my consciousness.
186.26	I never felt like a victim, then or now.
189.26	But what lingered from then till now -- I am 40 today --
194.26	is this huge outrageous anger.
198.26	Two years, I was ostracized, I was stigmatized, I was isolated,
204.26	because I was a victim.
207.26	And that's what we do to all traffic survivors.
211.26	We, as a society, we have PhDs
215.26	in victimizing a victim.
218.26	Right from the age of 15,
221.26	when I started looking around me,
223.26	I started seeing hundreds and thousands of women and children
227.26	who are left in sexual slavery-like practices,
231.26	but have absolutely no respite,
234.26	because we don't allow them to come in.
238.26	Where does their journey begin?
240.26	Most of them come from very optionless families,
244.26	not just poor.
246.26	You have even the middle class sometimes getting trafficked.
249.26	I had this I.S. officer's daughter,
252.26	who is 14 years old, studying in ninth standard,
257.26	who was raped chatting with one individual,
261.26	and ran away from home because she wanted to become a heroine,
264.26	who was trafficked.
266.26	I have hundreds and thousands of stories of very very well-to-do families,
271.26	and children from well-to-do families,
273.26	who are getting trafficked.
275.26	These people are deceived, forced.
281.26	resist being inducted into prostitution.
285.26	Some pay the price for it.
288.26	They're killed; we don't even hear about them.
292.26	They are voiceless, [unclear],
294.26	nameless people.
296.26	But the rest, who succumb into it,
300.26	go through everyday torture.
304.26	Because the men who come to them are not men who want to make you your girlfriends,
307.26	or who want to have a family with you.
311.26	These are men who buy you for an hour, for a day,
314.26	and use you, throw you.
317.26	Each of the girls that I have rescued --
