startsecond	text
15.26	Well, this is about state budgets.
17.26	This is probably the most boring topic
20.26	of the whole morning.
22.26	But I want to tell you, I think it's an important topic
25.26	that we need to care about.
28.26	State budgets
30.26	are big, big money --
33.26	I'll show you the numbers --
35.26	and they get very little scrutiny.
38.26	The understanding is very low.
41.26	Many of the people involved
43.26	have special interests or short-term interests
45.26	that get them not thinking
47.26	about what the implications of the trends are.
51.26	And these budgets
53.26	are the key for our future;
55.26	they're the key for our kids.
57.26	Most education funding --
59.26	whether it's K through 12,
61.26	or the great universities or community colleges --
64.26	most of the money for those things
66.26	is coming out of these state budgets.
69.26	But we have a problem.
71.26	Here's the overall picture.
73.26	U.S. economy is big --
78.26	Now out of that pie,
80.26	the government spends 36 percent.
83.26	So this is combining the federal level,
85.26	which is the largest,
87.26	the state level and the local level.
89.26	And it's really in this combined way
91.26	that you get an overall sense of what's going on,
93.26	because there's a lot of complex things
95.26	like Medicaid and research money
97.26	that flow across those boundaries.
100.26	But we're spending 36 percent.
102.26	Well what are we taking in?
104.26	Simple business question.
106.26	Answer is 26 percent.
110.26	Now this leaves 10 percent deficit,
115.26	sort of a mind-blowing number.
118.26	And some of that, in fact, is due to the fact
121.26	that we've had an economic recession.
123.26	Receipts go down,
125.26	some spending programs go up,
127.26	but most of it is not because of that.
130.26	Most of it is because of ways
132.26	that the liabilities are building up
134.26	and the trends,
136.26	and that creates a huge challenge.
139.26	In fact, this is the forecast picture.
142.26	There are various things in here:
144.26	I could say we might raise more revenue,
146.26	or medical innovation will make the spending even higher.
150.26	It is an increasingly difficult picture,
153.26	even assuming the economy does quite well --
156.26	probably better than it will do.
159.26	This is what you see
161.26	at this overall level.
163.26	Now how did we get here?
165.26	How could you have a problem like this?
168.26	After all, at least on paper,
171.26	there's this notion that these state budgets are balanced.
174.26	Only one state says
176.26	they don't have to balance the budget.
178.26	But what this means actually
180.26	is that there's a pretense.
182.26	There's no real, true balancing going on,
185.26	and in a sense, the games they play to hide that
189.26	actually obscure the topic so much
191.26	that people don't see things
193.26	that are actually pretty straight-forward challenges.
197.26	When Jerry Brown was elected,
199.26	this was the challenge that was put to him.
201.26	That is, through various gimmicks and things,
204.26	a so-called balanced budget
207.26	had led him to have 25 billion missing
211.26	out of the 76 billion in proposed spending.
214.26	Now he's put together some thoughts:
216.26	About half of that he'll cut,
219.26	another half,
221.26	perhaps in a very complex set of steps,
223.26	taxes will be approved.
225.26	But even so,
227.26	as you go out into those future years,
