startsecond	text
13.167	Thank you.
14.474	I have only got 18 minutes
15.983	to explain something 
15.983	that lasts for hours and days,
18.832	so I'd better get started.
21.102	Let's start with a clip
21.102	from Al Jazeera's Listening Post.
26.649	Richard Gizbert: Norway is a country that 
26.649	gets relatively little media coverage.
30.496	Even the elections this past week
30.496	passed without much drama.
33.487	And that's the Norwegian
33.487	media in a nutshell:
36.145	not much drama.
37.622	A few years back,
38.959	Norway's public TV channel NRK
41.416	decided to broadcast live coverage
41.416	of a seven-hour train ride --
45.593	seven hours of simple footage,
47.894	a train rolling down the tracks.
50.123	Norwegians, more than a million of them
50.123	according to the ratings, loved it.
53.985	A new kind of reality TV show was born,
56.901	and it goes against all the rules
56.901	of TV engagement.
60.036	There is no story line, no script,
62.476	no drama, no climax,
64.519	and it's called Slow TV.
66.443	For the past two months,
67.915	Norwegians have been watching 
67.915	a cruise ship's journey up the coast,
71.507	and there's a lot of fog on that coast.
73.566	Executives at Norway's
73.566	National Broadcasting Service
76.639	are now considering broadcasting
76.639	a night of knitting nationwide.
80.729	On the surface, it sounds boring,
83.21	because it is,
84.51	but something about this TV experiment
86.6	has gripped Norwegians.
88.458	So we sent the Listening Post's
88.458	Marcela Pizarro to Oslo
91.615	to find out what it is,
91.615	but first a warning:
94.146	Viewers may find some of the images
94.146	in the following report disappointing.
98.649	(Laughter)
100.034	Thomas Hellum: And then follows
100.034	an eight-minute story on Al Jazeera
103.55	about some strange
103.55	TV programs in little Norway.
106.876	Al Jazeera. CNN. How did we get there?
109.934	We have to go back to 2009,
111.954	when one of my colleagues
111.954	got a great idea.
113.953	Where do you get your ideas?
115.756	In the lunchroom.
117.737	So he said, why don't we make
117.737	a radio program
120.714	marking the day of the German invasion
120.714	of Norway in 1940.
124.299	We tell the story at the exact time
124.299	during the night.
128.343	Wow. Brilliant idea, except
130.507	this was just a couple of weeks
130.507	before the invasion day.
133.41	So we sat in our lunchroom and discussed
135.755	what other stories
135.755	can you tell as they evolve?
139.963	What other things take a really long time?
144.421	So one of us came up with a train.
146.737	The Bergen Railway had its 
150.729	It goes from western Norway
150.729	to eastern Norway,
153.424	and it takes exactly the same time
153.424	as it did 40 years ago,
157.587	over seven hours. (Laughter)
160.785	So we caught our commissioning editors 
160.785	in Oslo, and we said,
163.771	we want to make a documentary
163.771	about the Bergen Railway,
166.758	and we want to make it in full length,
168.71	and the answer was,
170.064	"""Yes, but how long will the program be?"""
171.999	"""Oh,"" we said, ""full length."""
173.857	"""Yes, but we mean the program."""
175.349	And back and forth.
177.456	Luckily for us, they met us with laughter,
177.456	very, very good laughter,
182.943	so one bright day in September,
185.629	we started a program that we thought
185.629	should be seven hours and four minutes.
189.615	Actually, it turned out
189.615	to be seven hours and 14 minutes
192.479	due to a signal failure
192.479	at the last station.
196.983	We had four cameras,
198.957	three of them pointing out
198.957	to the beautiful nature.
202.263	Some talking to the guests,
202.263	some information.
206.233	(Video) Train announcement: 
206.233	We will arrive at Haugastøl Station.
210.283	TH: And that's about it,
211.651	but of course, also
213.446	the 160 tunnels gave us the opportunity
213.446	to do some archives.
217.287	Narrator [in Norwegian]: Then a bit of
