startsecond	text
12.96	For the last year,
14.24	everyone's been watching the same show,
16.92	and I'm not talking
16.92	"about ""Game of Thrones,"""
19.16	but a horrifying, real-life drama
22.12	that's proved too fascinating to turn off.
25.4	It's a show produced by murderers
28.12	and shared around the world
28.12	via the Internet.
32.08	Their names have become familiar:
34.56	James Foley, Steven Sotloff,
34.56	David Haines, Alan Henning, Peter Kassig,
41.48	Haruna Yukawa, Kenji Goto Jogo.
45.12	Their beheadings by the Islamic State
47.84	were barbaric,
49.48	but if we think they were archaic,
53.28	from a remote, obscure age,
56.16	then we're wrong.
57.84	They were uniquely modern,
60.6	because the murderers acted knowing well
63.48	that millions of people
63.48	would tune in to watch.
67.68	The headlines called them
67.68	savages and barbarians,
71.04	because the image of one man
71.04	overpowering another,
74.52	killing him with a knife to the throat,
76.8	conforms to our idea
76.8	of ancient, primitive practices,
81.12	the polar opposite
81.12	of our urban, civilized ways.
86.24	We don't do things like that.
89.96	But that's the irony.
91.8	We think a beheading
91.8	has nothing to do with us,
94.48	even as we click on the screen to watch.
98.28	But it is to do with us.
101.84	The Islamic State beheadings
104.32	are not ancient or remote.
107.04	They're a global, 21st century event,
110.08	a 21st century event that takes place
110.08	in our living rooms, at our desks,
115.04	on our computer screens.
117.4	They're entirely dependent
117.4	on the power of technology to connect us.
122.88	And whether we like it or not,
124.48	everyone who watches
124.48	is a part of the show.
129.28	And lots of people watch.
133.56	We don't know exactly how many.
135.12	Obviously, it's difficult to calculate.
137.8	But a poll taken in the UK,
137.8	for example, in August 2014,
143.48	estimated that 1.2 million people
149.32	had watched the beheading of James Foley
152.8	in the few days after it was released.
156.6	And that's just the first few days,
159.08	and just Britain.
161.68	A similar poll taken in the United States
164.12	in November 2014
166.96	found that nine percent of those surveyed
169.72	had watched beheading videos,
172.52	and a further 23 percent
174.8	had watched the videos but had stopped
174.8	just before the death was shown.
180.72	Nine percent may be a small minority
180.72	of all the people who could watch,
185.72	but it's still a very large crowd.
188.8	And of course that crowd
188.8	is growing all the time,
191.56	because every week, every month,
193.72	more people will keep downloading
193.72	and keep watching.
198.6	If we go back 11 years,
200.56	before sites like YouTube
200.56	and Facebook were born,
204.04	it was a similar story.
205.8	When innocent civilians like Daniel Pearl,
209.2	Nick Berg, Paul Johnson, were beheaded,
213.16	those videos were shown
213.16	during the Iraq War.
216.8	Nick Berg's beheading
218.48	quickly became one of the most
218.48	searched for items on the Internet.
224.2	Within a day, it was the top search term
227.24	across search engines
227.24	like Google, Lycos, Yahoo.
232.36	In the week after Nick Berg's beheading,
235.56	these were the top 10 search terms
235.56	in the United States.
240.88	The Berg beheading video remained
240.88	the most popular search term for a week,
245.8	and it was the second most popular
245.8	search term for the whole month of May,
250.44	"runner-up only to ""American Idol."""
254.64	The al-Qaeda-linked website
254.64	that first showed Nick Berg's beheading
259.36	had to close down within a couple of days
259.36	due to overwhelming traffic to the site.
265.6	One Dutch website owner said
265.6	that his daily viewing figures
269.76	rose from 300,000 to 750,000
274.6	every time a beheading in Iraq was shown.
278.44	He told reporters 18 months later
281.6	that it had been downloaded
281.6	many millions of times,
285	and that's just one website.
287.76	A similar pattern was seen again and again
290.28	when videos of beheadings
290.28	were released during the Iraq War.
296.88	Social media sites have made these images
296.88	more accessible than ever before,
301.92	but if we take
301.92	another step back in history,
305.48	we'll see that it was the camera
305.48	that first created a new kind of crowd
310.64	in our history of beheadings
310.64	as public spectacle.
314.84	As soon as the camera
314.84	appeared on the scene,
317.92	a full lifetime ago on June 17, 1939,
321.68	it had an immediate
321.68	and unequivocal effect.
325.4	That day, the first film of a public
325.4	beheading was created in France.
331.68	It was the execution, the guillotining,
331.68	of a German serial killer, Eugen Weidmann,
337.44	outside the prison
337.44	Saint-Pierre in Versailles.
342.24	Weidmann was due to be executed
342.24	at the crack of dawn,
345.24	as was customary at the time,
347.44	but his executioner was new to the job,
350.04	and he'd underestimated
350.04	how long it would take him to prepare.
353.92	So Weidmann was executed
353.92	at 4:30 in the morning,
358.08	by which time on a June morning,
360.48	there was enough light
360.48	to take photographs,
363.88	and a spectator in the crowd
363.88	filmed the event,
368.04	unbeknownst to the authorities.
371.04	Several still photographs
371.04	were taken as well,
375.36	and you can still watch
375.36	the film online today
379.52	and look at the photographs.
382.96	The crowd on the day
382.96	of Weidmann's execution
386.4	"was called ""unruly"""
386.4	"and ""disgusting"" by the press,"
390.4	but that was nothing compared
390.4	to the untold thousands of people
394.6	who could now study the action
397.24	over and over again,
398.48	freeze-framed in every detail.
403.12	The camera may have made these scenes
403.12	more accessible than ever before,
408	but it's not just about the camera.
410.68	If we take a bigger leap back in history,
413.12	we'll see that for as long
413.12	as there have been
415.32	public judicial executions and beheadings,
418.44	there have been the crowds to see them.
421.92	In London, as late as
421.92	the early 19th century,
425.08	there might be four or five thousand
425.08	people to see a standard hanging.
429.76	There could be 40,000 or 50,000
429.76	to see a famous criminal killed.
435.08	And a beheading, which was
435.08	a rare event in England at the time,
439.52	attracted even more.
441.84	In May 1820,
444.92	five men known as
444.92	the Cato Street Conspirators
448.96	were executed in London for plotting
451.12	to assassinate members
451.12	of the British government.
454.44	They were hung and then decapitated.
458.12	It was a gruesome scene.
460.12	Each man's head was hacked off in turn
460.12	and held up to the crowd.
464.52	And 100,000 people,
466.72	that's 10,000 more than can fit
466.72	into Wembley Stadium,
470.36	had turned out to watch.
472.32	The streets were packed.
474.6	People had rented out
474.6	windows and rooftops.
478.84	People had climbed onto carts
478.84	and wagons in the street.
481.88	People climbed lamp posts.
484	People had been known to have died
484	in the crush on popular execution days.
490.12	Evidence suggests
490.12	that throughout our history
493.56	of public beheadings
493.56	and public executions,
496.92	the vast majority of the people
496.92	who come to see
500.28	are either enthusiastic
500.28	or, at best, unmoved.
505.52	Disgust has been comparatively rare,
509.16	and even when people
509.16	are disgusted and are horrified,
513.4	it doesn't always stop them
513.4	from coming out all the same to watch.
518.6	Perhaps the most striking example
521.84	of the human ability to watch
521.84	a beheading and remain unmoved
527.159	and even be disappointed
529.52	was the introduction in France
