startsecond	text
12.843	What if I told you that time has a race,
17.622	a race in the contemporary way
17.622	that we understand race
20.406	in the United States?
21.98	Typically, we talk about race
21.98	in terms of black and white issues.
27.366	In the African-American communities
27.366	from which I come,
30.246	we have a long-standing
30.246	multi-generational joke
33.062	"about what we call ""CP time,"""
35.623	"or ""colored people's time."""
38.079	Now, we no longer refer
38.079	"to African-Americans as ""colored,"""
41.384	but this long-standing joke
43.17	about our perpetual lateness to church,
45.567	to cookouts, to family events
47.273	and even to our own funerals, remains.
50.936	I personally am a stickler for time.
53.774	It's almost as if my mother,
53.774	when I was growing up, said,
56.486	"""We will not be those black people."""
58.436	So we typically arrive to events
62.018	But today, I want to talk to you
62.018	more about the political nature of time,
66.919	for if time had a race,
68.862	it would be white.
70.883	White people own time.
74.141	I know, I know.
75.883	"Making such ""incendiary statements"""
75.883	makes us uncomfortable:
80.434	Haven't we moved past the point
80.434	where race really matters?
84.575	Isn't race a heavy-handed concept?
87.79	Shouldn't we go ahead
87.79	with our enlightened, progressive selves
90.861	and relegate useless concepts like race
90.861	to the dustbins of history?
94.95	How will we ever get over racism
94.95	if we keep on talking about race?
101.599	Perhaps we should lock up our concepts
101.599	of race in a time capsule,
105.207	bury them and dig them up
105.207	in a thousand years,
108.152	peer at them with the clearly
108.152	more enlightened,
110.544	raceless versions of ourselves
110.544	that belong to the future.
114.317	But you see there,
115.635	that desire to mitigate the impact
115.635	of race and racism shows up
120.25	in how we attempt to manage time,
122.588	in the ways we narrate history,
124.672	in the ways we attempt to shove
124.672	the negative truths of the present
127.842	into the past,
129.024	in the ways we attempt to argue
129.024	that the future that we hope for
132.104	is the present in which
132.104	we're currently living.
135.209	Now, when Barack Obama
135.209	became President of the US in 2008,
138.375	many Americans declared
138.375	that we were post-racial.
142.16	I'm from the academy
143.473	where we're enamored
143.473	with being post-everything.
146.304	We're postmodern, we're post-structural,
146.304	we're post-feminist.
151.193	"""Post"" has become"
151.193	a simple academic appendage
153.649	that we apply to a range of terms
155.613	to mark the way we were.
158.155	But prefixes alone don't have the power
158.155	to make race and racism
162.331	a thing of the past.
164.115	"The US was never ""pre-race."""
166.759	So to claim that we're post-race when we
166.759	have yet to grapple with the impact
170.674	of race on black people,
170.674	Latinos or the indigenous
173.596	is disingenuous.
175.902	Just about the moment
175.902	we were preparing to celebrate
178.795	our post-racial future,
180.19	our political conditions became
180.19	the most racial they've been
183.169	in the last 50 years.
185.249	So today, I want to offer to you
185.249	three observations,
