startsecond	text
12.996	In June of 1998,
14.807	Tori Murden McClure left Nags Head,
14.807	North Carolina for France.
20.147	That's her boat, the American Pearl.
22.469	It's 23 feet long and just six feet across
24.913	at its widest point.
26.881	The deck was the size of a cargo bed
26.881	of a Ford F-150 pickup truck.
31.873	Tori and her friends built it by hand,
34.357	and it weighed about 1,800 pounds.
37.051	Her plan was to row it alone
39.414	across the Atlantic Ocean --
41.364	no motor, no sail --
43.5	something no woman and no American
43.5	had ever done before.
47.262	This would be her route:
48.841	over 3,600 miles across
48.841	the open North Atlantic Ocean.
53.068	Professionally, Tori worked
53.068	as a project administrator
55.683	for the city of Louisville, Kentucky,
57.478	her hometown,
59.289	but her real passion was exploring.
61.704	This was not her first big expedition.
64.188	Several years earlier, she'd become
64.188	the first woman to ski to the South Pole.
68.554	She was an accomplished rower in college,
70.783	even competed for a spot
70.783	on the 1992 U.S. Olympic team,
74.265	but this, this was different.
78.189	(Video) (Music) Tori Murden McClure:
78.189	Hi. It's Sunday, July 5.
84.83	Sector time 9 a.m.
86.711	So that's Kentucky time now.
89.892	Dawn Landes: Tori made
89.892	these videos as she rowed.
92.237	This is her 21st day at sea.
94.536	At this point, she'd covered
94.536	over 1,000 miles,
97.299	had had no radio contact
97.299	in more than two weeks
99.969	following a storm that disabled
99.969	all her long-range communications systems
103.409	just five days in.
105.123	Most days looked like this.
107.144	At this point, she'd rowed
107.144	over 200,000 strokes,
110.905	fighting the current and the wind.
113.227	Some days, she traveled
113.227	as little as 15 feet.
116.71	Yeah.
118.219	And as frustrating as those days were,
120.866	other days were like this.
123.908	(Video) TMM: And I want to show you
123.908	my little friends.
127.019	DL: She saw fish, dolphins,
131.93	whales, sharks,
134.461	and even some sea turtles.
137.34	After two weeks with no human contact,
139.615	Tori was able to contact
139.615	a local cargo ship
141.937	via VHF radio.
144.863	(Video) TMM: Do you guys
144.863	have a weather report, over?
148.648	Man: Heading up to a low
151.782	ahead of you but it's heading,
154.267	and you're obviously going northeast
156.147	and there's a high behind us.
158.051	That'd be coming
159.909	east-northeast also.
162.416	TMM: Good.
164.019	DL: She's pretty happy to talk
164.019	to another human at this point.
167.925	(Video) TMM: So weather report
167.925	says nothing dramatic
170.367	is going to happen soon.
172.98	DL: What the weather report
172.98	didn't tell her
174.991	was that she was rowing right into
174.991	the path of Hurricane Danielle
178.089	in the worst hurricane season
178.089	on record in the North Atlantic.
184.138	(Video) TMM: Just sprained my ankle.
187.133	There's a very strong wind
187.133	from the east now.
190.848	It's blowing about.
193.286	It's blowing!
196.165	After 12 days of storm
198.859	I get to row for four hours
200.693	without a flagging wind.
202.837	I'm not very happy right now.
204.527	As happy as I was this morning,
206.196	I am unhappy now, so ...
212.2	DL: After nearly three months at sea,
214.195	she'd covered over 3,000 miles.
216.888	She was two thirds of the way there,
218.908	but in the storm, the waves were
