startsecond	text
15.26	Our face is hugely important
18.26	because it's the external, visual part
20.26	that everybody else sees.
22.26	Let's not forget it's a functional entity.
24.26	We have strong skull bones
26.26	that protect the most important organ in our body: the brain.
29.26	It's where our senses are located, our special senses --
32.26	our vision, our speech,
34.26	our hearing, our smell, our taste.
36.26	And this bone
38.26	is peppered, as you can see, with the light shining through the skull
41.26	with cavities, the sinuses,
43.26	which warm and moisten the air we breathe.
46.26	But also imagine if they were filled with solid bone --
49.26	our head would be dead weight,
51.26	we wouldn't be able to hold it erect,
53.26	we wouldn't be able to look at the world around us.
62.26	This woman is slowly dying
64.26	because the benign tumors in her facial bones
67.26	have completely obliterated her mouth and her nose
70.26	so she can't breathe and eat.
72.26	Attached to the facial bones
74.26	that define our face's structure
78.26	are the muscles that deliver our facial expression,
81.26	our universal language of expression,
84.26	our social-signaling system.
86.26	And overlying this is the skin drape,
89.26	which is a hugely complex
91.26	three-dimensional structure --
93.26	taking right-angled bends here and there,
95.26	having thin areas like the eyelids,
98.26	thick areas like the cheek, different colors.
101.26	And then we have the sensual factor of the face.
104.26	Where do we like to kiss people?
106.26	On the lips. Nibble the ears maybe.
109.26	It's the face where we're attracted to with that.
112.26	But let's not forget the hair.
114.26	You're looking at the image on your left-hand side --
116.26	that's my son with his eyebrows present.
118.26	Look how odd he looks with the eyebrows missing.
121.26	There's a definite difference.
123.26	And imagine if he had hair sprouting from the middle of his nose,
125.26	he'd look even odder still.
127.26	Dysmorphophobia
129.26	is an extreme version
131.26	of the fact that we don't see ourselves
133.26	as others see us.
135.26	It's a shocking truth
137.26	that we only see mirror images of ourselves,
140.26	and we only see ourselves
142.26	in freeze-frame photographic images
144.26	that capture a mere fraction of the time that we live.
147.26	Dysmorphophobia
149.26	is a perversion of this
151.26	where people who may be very good looking
153.26	regard themselves as hideously ugly
155.26	and are constantly seeking surgery
157.26	to correct their facial appearance.
160.26	They don't need this. They need psychiatric help.
163.26	Max has kindly donated his photograph to me.
165.26	He doesn't have dysmorphophobia, but I'm using his photograph
168.26	to illustrate the fact that he looks exactly like a dysmorphophobic.
170.26	In other words, he looks entirely normal.
173.26	Age is another thing
176.26	when our attitude toward our appearance changes.
178.26	So children judge themselves, learn to judge themselves,
181.26	by the behavior of adults around them.
184.26	Here's a classic example: Rebecca has a benign blood vessel tumor
187.26	that's growing out through her skull, has obliterated her nose,
190.26	and she's having difficulty seeing.
192.26	As you can see, it's blocking her vision.
194.26	She's also in danger, when she damages this,
196.26	of bleeding profusely.
198.26	Our research has shown
200.26	that the parents and close loved ones of these children
203.26	adore them.
205.26	They've grown used to their face; they think they're special.
208.26	Actually, sometimes the parents argue
210.26	about whether these children should have the lesion removed.
213.26	And occasionally they suffer intense grief reactions
215.26	because the child they've grown to love
217.26	has changed so dramatically and they don't recognize them.
220.26	But other adults
222.26	say incredibly painful things.
224.26	"They say, ""How dare you take this child out of the house"
226.26	and terrify other people.
228.26	"Shouldn't you be doing something about this? Why haven't you had it removed?"""
231.26	And other children in curiosity come up and poke the lesion,
234.26	because -- a natural curiosity.
236.26	And that obviously alerts the child
238.26	to their unusual nature.
240.26	After surgery, everything normalizes.
243.26	The adults behave more naturally,
245.26	and the children play more readily with other children.
248.26	As teenagers --
251.26	just think back to your teenage years --
253.26	we're going through a dramatic
255.26	and often disproportionate change
257.26	in our facial appearance.
259.26	We're trying to struggle to find our identity.
261.26	We crave the approval of our peers.
263.26	So our facial appearance is vital to us
266.26	as we're trying to project ourselves to the world.
268.26	Just remember that single acne spot
270.26	that crippled you for several days.
274.26	How long did you spend looking in the mirror every day,
277.26	practicing your sardonic look, practicing your serious look,
280.26	trying to look like Sean Connery, as I did,
282.26	trying to raise one eyebrow?
284.26	It's a crippling time.
286.26	I've chosen to show this profile view of Sue
290.26	because what it shows is her lower jaw jutting forward
293.26	and her lower lip jutting forward.
295.26	I'd like you all in the audience now to push your lower jaw forward.
298.26	Turn to the person next to you,
300.26	push your lower jaws forward. Turn to the person next to you
302.26	and look at them -- they look miserable.
304.26	That's exactly what people used to say to Sue.
307.26	She wasn't miserable at all.
309.26	"But people used to say to her, ""Why are you so miserable?"""
313.26	People were making misjudgments all the time
316.26	on her mood.
318.26	Teachers and peers were underestimating her; she was teased at school.
321.26	So she chose to have facial surgery.
323.26	After the facial surgery,
325.26	"she said, ""My face now reflects my personality."
328.26	People know now that I'm enthusiastic,
331.26	"that I'm a happy person."""
333.26	And that's the change that can be achieved for teenagers.
337.26	Is this change, though, a real change,
339.26	or is it a figment of the imagination
342.26	of the patient themselves?
344.26	Well we studied teenagers' attitudes
346.26	to photographs of patients having this corrective facial surgery.
348.26	And what we found was --
351.26	we jumbled up the photographs
353.26	so they couldn't recognize the before and after --
355.26	what we found was that the patients were regarded
357.26	as being more attractive after the surgery.
359.26	Well that's not surprising, but we also asked them to judge them
362.26	on honesty, intelligence,
364.26	friendliness, violence.
367.26	They were all perceived as being
369.26	less than normal in all those characteristics --
371.26	more violent, etc. -- before the surgery.
374.26	After the surgery,
376.26	they were perceived as being more intelligent,
378.26	more friendly, more honest, less violent --
381.26	and yet we hadn't operated on their intellect
383.26	or their character.
385.26	When people get older,
387.26	they don't necessarily choose to follow this kind of surgery.
390.26	Their presence in the consultation suite
392.26	is a result of the slings and arrows of outrageous fortune.
395.26	What happens to them
397.26	is that they may have suffered cancer or trauma.
399.26	So this is a photograph of Henry,
