startsecond	text
15.26	Well, I learned a lot of things about ballooning,
19.26	especially at the end of these balloon flights
23.26	around the world I did with Brian Jones.
25.26	When I took this picture,
27.26	the window was frozen because of the moisture of the night.
31.26	And on the other side there was a rising sun.
33.26	So, you see that on the other side of ice
37.26	you have the unknown,
39.26	you have the non-obvious,
42.26	you have the non-seen,
44.26	for the people who don't dare
46.26	to go through the ice.
48.26	There are so many people
50.26	who prefer to suffer in the ice they know
53.26	instead of taking the risk of going through the ice
56.26	to see what there is on the other side.
59.26	And I think that's one of the main problems of our society.
63.26	We learn, maybe not the famous TED audience,
66.26	but so many other people learn,
69.26	that the unknown, the doubts,
71.26	the question marks are dangerous.
73.26	And we have to resist to the changes.
76.26	We have to keep everything under control.
80.26	Well, the unknown is part of life.
83.26	And in that sense, ballooning is a beautiful metaphor.
87.26	Because in the balloon, like in life,
90.26	we go very well in unforeseen directions.
93.26	We want to go in a direction,
95.26	but the winds push us in another direction, like in life.
98.26	And as long as we fight horizontally,
101.26	against life, against the winds,
104.26	against what's happening to us,
106.26	life is a nightmare.
109.26	How do we steer a balloon?
111.26	By understanding that the atmosphere
113.26	is made out of several different layers of wind
116.26	which all have different direction.
119.26	So, then, we understand that if we want to change our trajectory,
122.26	in life, or in the balloon,
125.26	we have to change altitude.
127.26	Changing altitude, in life,
129.26	that means raising to another psychological, philosophical,
133.26	spiritual level.
135.26	But how do we do that?
137.26	In ballooning, or in life,
139.26	how do we change altitude?
141.26	How do we go from the metaphor
143.26	to something more practical that we can really
145.26	use every day?
147.26	Well, in a balloon it's easy, we have ballast.
149.26	And when we drop the ballast overboard we climb.
154.26	Sand, water, all the equipment we don't need anymore.
158.26	And I think in life it should be exactly like this.
161.26	You know, when people speak about pioneering spirit,
164.26	very often they believe that pioneers
166.26	are the ones who have new ideas.
168.26	It's not true.
170.26	The pioneers are not the ones who have new ideas,
172.26	because new ideas are so easy to have.
174.26	We just close our eyes for a minute we all come back
176.26	with a lot of new ideas.
178.26	No, the pioneer is the one who
180.26	allows himself to throw overboard a lot of ballast.
183.26	Habits, certainties,
186.26	convictions, exclamation marks,
191.26	paradigms, dogmas.
193.26	And when we are able to do that,
195.26	what happens?
197.26	Life is not anymore
199.26	just one line going in one direction
203.26	in one dimension. No.
205.26	Life is going to be made out of all the possible lines
209.26	that go in all the possible directions
211.26	in three dimensions.
215.26	And pioneering spirit will be each time we allow ourselves
217.26	to explore this vertical axis.
220.26	Of course not just like the atmosphere in the balloon,
222.26	but in life itself.
224.26	Explore this vertical axis, that means
227.26	explore all the different ways to do,
229.26	all the different ways to behave, all the different ways to think,
233.26	before we find the one that goes in the direction we wish.
238.26	This is very practical.
240.26	This can be in politics.
242.26	This can be in spirituality.
244.26	This can be in environment,
246.26	in finance, in education of children.
249.26	I deeply believe
251.26	that life is a much greater adventure
254.26	if we manage to do politics
256.26	without the trench between the left and the right wing.
260.26	Because we will throw away these political dogmas.
264.26	I deeply believe that we can make much more protection of the environment
268.26	if we get rid -- if we throw overboard
271.26	this fundamentalism that some of the greens have showed in the past.
275.26	And that we can aim for much higher spirituality
278.26	if we get rid of the religious dogmas.
280.26	Throwing overboard, as ballast, to change our direction.
284.26	Well, these basically are things I believed in such a long time.
287.26	But actually I had to go around the world in a balloon
289.26	to be invited to talk about it.
291.26	(Laughter)
294.26	(Applause)
300.26	It's clear that it's not easy to know which ballast to drop
304.26	and which altitude to take. Sometime we need
306.26	friends, family members or a psychiatrist.
309.26	Well, in balloons we need weather men,
312.26	the one who calculate the direction of each layer of wind,
316.26	at which altitude, in order to help the balloonist.
319.26	But sometimes it's very paradoxical.
322.26	When Brian Jones and I were flying around the world,
325.26	the weather man asked us, one day, to fly
327.26	quite low, and very slow.
330.26	And when we calculated we thought we're never going to make it
332.26	around the world at that speed.
335.26	So, we disobeyed. We flew much higher, and double the speed.
339.26	And I was so proud to have found that jetstream
342.26	that I called the weather man,
344.26	"and I told him, ""Hey, guy, don't you think we're good pilots up there?"
347.26	"We fly twice the speed you predicted."""
350.26	"And he told me, ""Don't do that. Go down immediately"
352.26	"in order to slow down."""
354.26	"And I started to argue. I said, ""I'm not going to do that."
356.26	"We don't have enough gas to fly so slow."""
359.26	"And he told me, ""Yes, but with the low pressure you have on your left"
362.26	if you fly too fast, in a couple of hours
365.26	you will turn left and end up at the North Pole.
367.26	(Laughter)
369.26	And then he asked me --
371.26	and this is something I will never forget in my life --
374.26	"he just asked me, ""You're the good pilot up there."
377.26	What do you really want? You want to go very fast
379.26	in the wrong direction, or slowly in the good direction?
382.26	(Laughter)
385.26	(Applause)
387.26	And this is why you need weathermen.
389.26	This is why you need people with long-term vision.
392.26	And this is precisely what fails
395.26	in the political visions we have now,
398.26	in the political governments.
400.26	We are burning, as you heard,
402.26	so much energy,
404.26	not understanding that such an unsustainable
408.26	way of life cannot last for long.
411.26	So, we went down actually.
414.26	We slowed down. And we went through moments of fears
418.26	because we had no idea how the little amount of gas
420.26	we had in the balloon
422.26	could allow us to travel 45,000 kilometers.
426.26	But we were expected to have doubts; we're expected to have fears.
429.26	And actually this is where the adventure really started.
432.26	When we were flying over the Sahara and India
434.26	it was nice holidays.
436.26	We could land anytime and fly back home with an airplane.
439.26	In the middle of the Pacific,
441.26	when you don't have the good winds, you cannot land,
443.26	you cannot go back.
445.26	That's a crisis.
447.26	That's the moment when you have to wake up
449.26	from the automatic way of thinking.
451.26	That's the moment when you have to motivate
453.26	your inner potential,
455.26	your creativity.
457.26	That's when you throw out all the ballast,
459.26	all the certainties,
461.26	in order to adapt to the new situation.
463.26	And actually, we changed completely our flight plan.
466.26	We changed completely our strategy.
468.26	And after 20 days we landed successfully in Egypt.
471.26	But if I show you this picture
473.26	it's not to tell you how happy we were.
476.26	It's to show you how much gas was left
478.26	in the last bottles.
480.26	We took off with 3.7 tons of liquid propane.
485.26	We landed with 40 kilos.
