startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Morton Bast
15.733	There's a group of people in Kenya.
20.341	People cross oceans to go see them.
24.345	These people are tall.
26.379	They jump high. They wear red.
30.886	And they kill lions.
32.998	You might be wondering, who are these people?
36.055	These are the Maasais.
38.649	And you know what's cool? I'm actually one of them.
44.551	The Maasais, the boys are brought up to be warriors.
48.911	The girls are brought up to be mothers.
52.158	When I was five years old,
54.686	I found out that I was engaged
57.254	to be married as soon as I reached puberty.
60.34	My mother, my grandmother, my aunties,
63.326	they constantly reminded me that
65.504	your husband just passed by.
68.224	(Laughter) Cool, yeah?
73.17	And everything I had to do from that moment
76.335	was to prepare me to be a perfect woman at age 12.
80.966	My day started at 5 in the morning,
84.543	milking the cows, sweeping the house,
86.7	cooking for my siblings, collecting water, firewood.
91.239	I did everything that I needed to do
94.481	to become a perfect wife.
98.108	I went to school not because the Maasais'
101.172	women or girls were going to school.
103.813	It's because my mother was denied an education,
106.97	and she constantly reminded me and my siblings that
110.439	she never wanted us to live the life she was living.
114.387	Why did she say that?
116.916	My father worked as a policeman in the city.
120.244	He came home once a year.
121.874	We didn't see him for sometimes even two years.
125.231	And whenever he came home, it was a different case.
129.119	My mother worked hard in the farm
131.124	to grow crops so that we can eat.
132.99	She reared the cows and the goats
135.093	so that she can care for us.
137.108	But when my father came, he would sell the cows,
139.938	he would sell the products we had,
142.321	and he went and drank with his friends in the bars.
146.516	Because my mother was a woman,
147.909	she was not allowed to own any property,
150.91	and by default, everything in my family anyway
153.404	belongs to my father, so he had the right.
156.076	And if my mother ever questioned him,
158.365	he beat her, abused her, and really it was difficult.
165.153	When I went to school, I had a dream.
168.159	I wanted to become a teacher.
170.564	Teachers looked nice.
172.37	They wear nice dresses, high-heeled shoes.
174.623	I found out later that they are uncomfortable, but I admired it.
177.726	(Laughter)
180.981	But most of all, the teacher was just writing on the board --
184.482	not hard work, that's what I thought,
187.556	compared to what I was doing in the farm.
190.436	So I wanted to become a teacher.
192.383	I worked hard in school, but when I was in eighth grade,
196.286	it was a determining factor.
198.69	In our tradition, there is a ceremony
201.263	that girls have to undergo to become women,
204.096	and it's a rite of passage to womanhood.
206.677	And then I was just finishing my eighth grade,
210.245	and that was a transition for me to go to high school.
212.796	This was the crossroad.
214.377	Once I go through this tradition, I was going to become a wife.
219.899	Well, my dream of becoming a teacher will not come to pass.
224.141	So I talked -- I had to come up with a plan
226.656	to figure these things out.
229.22	I talked to my father. I did something that most girls have never done.
233.356	"I told my father, ""I will only go through this ceremony"
236.556	"if you let me go back to school."""
239.136	The reason why, if I ran away,
241.724	my father will have a stigma, people will be calling him
245.17	the father of that girl who didn't go through the ceremony.
248.211	It was a shameful thing for him to carry the rest of his life.
252.23	"So he figured out. ""Well,"" he said, ""okay,"
255.082	"you'll go to school after the ceremony."""
258.415	I did. The ceremony happened.
261.035	It's a whole week long of excitement.
264.616	It's a ceremony. People are enjoying it.
266.781	And the day before the actual ceremony happens,
269.749	we were dancing, having excitement,
272.237	and through all the night we did not sleep.
276.16	The actual day came, and we walked out of the house
279.49	that we were dancing in. Yes, we danced and danced.
281.644	We walked out to the courtyard, and there were a bunch of people waiting.
285.513	They were all in a circle.
288.124	And as we danced and danced,
289.783	and we approached this circle of women,
292.628	men, women, children, everybody was there.
295.779	There was a woman sitting in the middle of it,
298.347	and this woman was waiting to hold us.
302.885	I was the first. There were my sisters and a couple of other girls,
306.56	and as I approached her,
309.554	she looked at me, and I sat down.
312.273	And I sat down, and I opened my legs.
315.851	As I opened my leg, another woman came,
319.319	and this woman was carrying a knife.
322.675	And as she carried the knife, she walked toward me
326.259	and she held the clitoris, and she cut it off.
