startsecond	text
0	Translator: Leslie Gauthier
0	Reviewer: Camille Martínez
12.902	When people find out
12.902	I write about time management,
16.588	they assume two things.
19.564	One is that I'm always on time,
23.747	and I'm not.
25.525	I have four small children,
26.894	and I would like to blame them
26.894	for my occasional tardiness,
29.734	but sometimes it's just not their fault.
32.365	I was once late to my own speech
32.365	on time management.
35.136	(Laughter)
36.2	We all had to just take a moment
36.2	together and savor that irony.
40.972	The second thing they assume
40.972	is that I have lots of tips and tricks
44.215	for saving bits of time here and there.
46.132	Sometimes I'll hear from magazines
46.132	that are doing a story along these lines,
49.87	generally on how to help their readers
49.87	find an extra hour in the day.
53.221	And the idea is that we'll shave
53.221	bits of time off everyday activities,
56.531	add it up,
57.732	and we'll have time for the good stuff.
59.93	I question the entire premise
59.93	of this piece, but I'm always interested
63.988	in hearing what they've come
63.988	up with before they call me.
66.695	Some of my favorites:
67.871	doing errands where you only
67.871	have to make right-hand turns --
70.801	(Laughter)
71.853	Being extremely judicious
71.853	in microwave usage:
74.023	it says three to three-and-a-half
74.023	minutes on the package,
76.77	we're totally getting in on
76.77	the bottom side of that.
79.23	And my personal favorite,
79.23	which makes sense on some level,
81.993	is to DVR your favorite shows so you can
81.993	fast-forward through the commercials.
85.769	That way, you save
85.769	eight minutes every half hour,
88.085	so in the course of two hours
88.085	of watching TV,
90.206	you find 32 minutes to exercise.
91.773	(Laughter)
92.813	Which is true.
94.587	You know another way to find
97.629	Don't watch two hours of TV a day, right?
99.985	(Laughter)
101.025	Anyway, the idea is we'll save bits
101.025	of time here and there, add it up,
104.523	we will finally get
104.523	to everything we want to do.
106.831	But after studying how successful
106.831	people spend their time
109.767	and looking at their
109.767	schedules hour by hour,
112.428	I think this idea
112.428	has it completely backward.
116.305	We don't build the lives
116.305	we want by saving time.
120.566	We build the lives we want,
122.636	and then time saves itself.
127.194	Here's what I mean.
128.369	I recently did a time diary project
130.087	looking at 1,001 days in the lives
130.087	of extremely busy women.
134.315	They had demanding jobs,
134.315	sometimes their own businesses,
136.983	kids to care for,
136.983	maybe parents to care for,
139.142	community commitments --
140.496	busy, busy people.
142.799	I had them keep track
142.799	of their time for a week
145.03	so I could add up how much
145.03	they worked and slept,
147.367	and I interviewed them
147.367	about their strategies, for my book.
150.2	One of the women whose time log I studied
152.213	goes out on a Wednesday night
152.213	for something.
154.3	She comes home to find
154.3	that her water heater has broken,
156.953	and there is now water
156.953	all over her basement.
160.38	If you've ever had anything
160.38	like this happen to you,
162.858	you know it is a hugely damaging,
162.858	frightening, sopping mess.
165.762	So she's dealing with the immediate
165.762	aftermath that night,
168.496	next day she's got plumbers coming in,
170.397	day after that, professional cleaning
170.397	crew dealing with the ruined carpet.
