startsecond	text
15.26	Today I'm going to talk
17.26	about unexpected discoveries.
19.26	Now I work in the solar technology industry.
23.26	And my small startup
26.26	is looking to force ourselves
29.26	into the environment
32.26	by paying attention to ...
40.26	... paying attention to crowd-sourcing.
43.26	It's just a quick video
47.26	of what we do.
49.26	Huh. Hang on a moment.
51.26	It might take a moment to load.
54.26	(Laughter)
58.26	We'll just -- we can just skip --
62.26	I'll just skip through the video instead ...
65.26	(Laughter)
74.26	No.
76.26	(Laughter)
89.26	(Laughter)
97.26	(Music)
188.26	This is not ...
193.26	(Laughter)
196.26	Okay.
201.26	(Laughter)
206.26	Solar technology is ...
209.26	Oh, that's all my time?
211.26	Okay. Thank you very much.
213.26	(Applause)
