startsecond	text
16.458	I would be willing to bet
16.458	I'm the dumbest guy in the room,
19.285	because I couldn't get through school;
19.285	I struggled with school.
22.271	But I knew at a very early age
22.271	that I loved money, I loved business
25.505	and I loved this entrepreneurial thing.
27.416	I was raised to be an entrepreneur.
29.225	What I've been really
29.225	passionate about ever since --
31.702	and I've never spoken
31.702	about this ever, until now --
34.543	so this is the first time
34.543	anyone's heard it,
36.624	except my wife, three days ago.
38.146	"She said, ""What are you talking about?"""
40.068	I told her that I think
40.068	we miss an opportunity
43.031	to find these kids
43.031	who have the entrepreneurial traits,
46.26	and to groom them or show them
48.26	that being an entrepreneur
48.26	is actually a cool thing.
50.962	It's not something
50.962	that is a bad thing and is vilified,
54.319	which is what happens in a lot of society.
56.767	Kids, when we grow up, have dreams,
59.926	and we have passions, and we have visions,
61.956	and somehow we get those things crushed.
63.913	We get told that we need to study harder
65.952	or be more focused or get a tutor.
68.613	My parents got me a tutor in French,
68.613	and I still suck in French.
73.732	Two years ago,
74.909	I was the highest-rated lecturer
74.909	at MIT's Entrepreneurial Master's Program.
78.527	It was a speaking event
78.527	in front of groups of entrepreneurs
81.354	from around the world.
82.535	When I was in grade two,
82.535	I won a citywide speaking competition,
85.522	but nobody had ever said,
85.522	"""Hey, this kid's a good speaker."
88.3	He can't focus, but he loves walking
88.3	"around and getting people energized."""
91.842	"No one said, ""Get him"
91.842	"a coach in speaking."""
93.886	They said, get me a tutor
93.886	in what I suck at.
96.017	So as kids show these traits --
96.017	and we need to start looking for them --
99.79	I think we should be raising kids
99.79	to be entrepreneurs instead of lawyers.
104.209	Unfortunately, the school system
104.209	is grooming this world to say,
107.751	"""Let's be a lawyer,"""
107.751	"or, ""Let's be a doctor."""
109.899	We're missing that opportunity,
111.401	because no one ever says,
111.401	"""Hey, be an entrepreneur."""
113.858	Entrepreneurs are people --
113.858	we have a lot of them in this room --
116.933	who have ideas and passions
116.933	or see these needs in the world
119.774	and decide to stand up and do it.
121.448	And we put everything on the line
121.448	to make that stuff happen.
124.322	We have the ability
124.322	to get the groups of people around us
127.075	that want to build that dream with us.
128.972	And I think if we could get kids
128.972	to embrace the idea at a young age,
132.679	of being entrepreneurial,
133.917	we could change everything
133.917	in the world that's a problem today.
136.928	Every problem out there,
136.928	somebody has the idea for.
139.358	And as a young kid,
139.358	nobody can say it can't happen,
141.989	because you're too dumb to realize
141.989	that you couldn't figure it out.
145.781	I think we have an obligation
145.781	as parents and a society
148.365	to start teaching our kids to fish
148.365	instead of giving them the fish --
152.555	"the old parable: ""Give a man"
152.555	a fish, you feed him for a day.
155.444	Teach a man to fish,
155.444	"you feed him for a lifetime."""
157.818	If we can teach our kids
157.818	to be entrepreneurial,
160.05	the ones that show the traits to be,
161.804	like we teach the ones who have
161.804	science gifts to go on in science,
164.955	what if we saw the ones
164.955	with entrepreneurial traits
167.392	and taught them to be entrepreneurs?
169.152	We could have these kids
169.152	spreading businesses
171.28	instead of waiting
171.28	for government handouts.
173.333	What we do is teach our kids
173.333	the things they shouldn't do:
176.087	don't hit; don't bite; don't swear.
177.899	Right now we teach our kids
177.899	to go after really good jobs;
180.957	the school system teaches them
180.957	to go after things like
183.561	being a doctor and being a lawyer
183.561	and being an accountant and a dentist
186.966	and a teacher and a pilot.
188.244	And the media says it's really cool
188.244	if we could go out
190.928	and be a model or a singer
192.451	or a sports hero like Luongo or Crosby.
195.41	Our MBA programs do not teach kids
195.41	to be entrepreneurs.
199.01	The reason I avoided an MBA program,
199.01	other than that I didn't get into any,
202.596	since I had a 61 percent
202.596	average out of high school,
205.083	then a 61 percent average
206.302	at the only school in Canada
206.302	that accepted me, Carlton,
209.001	is that our MBA programs don't teach
209.001	kids to be entrepreneurs.
211.991	They teach them to work in corporations.
213.942	So who's starting these companies?
213.942	It's these random few people.
217.069	Even in popular literature,
217.069	the only book I've ever found --
220.096	and this should be
220.096	on all your reading lists --
222.319	the only book I've ever found
223.733	that makes the entrepreneur
223.733	"a hero is ""Atlas Shrugged."""
226.337	Everything else in the world
226.337	looks at entrepreneurs
228.775	and says we're bad people.
230.07	I look at even my family.
231.302	Both my grandfathers and my dad
231.302	were entrepreneurs.
233.777	My brother, sister and I,
233.777	all three of us own companies as well.
236.824	We all decided to start these things
236.824	because it's the only place we fit.
240.415	We didn't fit in normal work;
240.415	we couldn't work for somebody else,
243.511	we're stubborn and we have
243.511	all these other traits.
245.875	But kids could be entrepreneurs as well.
247.812	I'm a big part of a couple organizations
249.749	called the Entrepreneurs' Organization
249.749	and the Young Presidents' Organization.
253.445	I just came back from speaking
253.445	in Barcelona at the YPO global conference.
256.914	And everyone I met over there
256.914	who's an entrepreneur
260.26	struggled with school.
261.8	I have 18 out of the 19 signs
261.8	of attention deficit disorder diagnosed.
265.403	So this thing right here
265.403	is freaking me out.
268.236	(Laughter)
270.664	It's probably why I'm a bit panicked,
272.487	other than all the caffeine
272.487	I've had and the sugar.
274.915	But this is really creepy
274.915	for an entrepreneur.
277.26	Attention deficit disorder,
277.26	bipolar disorder.
279.427	Do you know that bipolar disorder
279.427	is nicknamed the CEO disease?
282.451	Ted Turner's got it. Steve Jobs has it.
285.149	All three of the founders
285.149	of Netscape had it.
288.565	I could go on and on.
289.972	Kids -- you can see these signs in kids.
292.26	And we're giving them Ritalin and saying,
294.412	"""Don't be an entrepreneurial type."
296.529	Fit into this other system
296.529	"and try to become a student."""
299.203	Sorry, entrepreneurs aren't students.
300.999	We fast-track. We figure out the game.
302.856	I stole essays. I cheated on exams.
304.928	I hired kids to do my accounting
304.928	assignments in university
307.729	for 13 consecutive assignments.
309.26	But as an entrepreneur, you don't do
309.26	accounting, you hire accountants.
312.639	So I just figured that out earlier.
314.57	(Laughter)
316.26	(Applause)
318.069	At least I can admit I cheated
318.069	in university; most of you won't.
321.283	I'm also quoted -- and I told
321.283	the person who wrote the textbook --
