startsecond	text
12.452	Do you think the world is going
12.452	to be a better place next year?
18.12	In the next decade?
20.657	Can we end hunger,
23.444	achieve gender equality,
25.999	halt climate change,
28.145	all in the next 15 years?
31.764	Well, according to the governments
31.764	of the world, yes we can.
36.343	In the last few days,
36.343	the leaders of the world,
38.985	meeting at the UN in New York,
41.485	agreed a new set of Global Goals
44.264	for the development of the world to 2030.
47.493	And here they are:
48.94	these goals are the product
48.94	of a massive consultation exercise.
53.658	The Global Goals are who we,
53.658	humanity, want to be.
59.423	Now that's the plan, but can we get there?
63.599	Can this vision for a better world
63.599	really be achieved?
68.247	Well, I'm here today because
68.247	we've run the numbers,
72.031	and the answer, shockingly,
76.599	is that maybe we actually can.
79.599	But not with business as usual.
83.757	Now, the idea that the world
83.757	is going to get a better place
86.836	may seem a little fanciful.
89.17	Watch the news every day and the world
89.17	seems to be going backwards, not forwards.
93.599	And let's be frank:
95.321	it's pretty easy to be skeptical
95.321	about grand announcements
98.599	coming out of the UN.
101.067	But please, I invite you to suspend
101.067	your disbelief for just a moment.
105.956	Because back in 2001,
107.877	the UN agreed another set of goals,
107.877	the Millennium Development Goals.
113.138	And the flagship target there
113.138	was to halve the proportion of people
117.362	living in poverty by 2015.
121.072	The target was to take
121.072	from a baseline of 1990,
124.913	when 36 percent of the world's
124.913	population lived in poverty,
128.599	to get to 18 percent poverty this year.
132.599	Did we hit this target?
134.599	Well, no, we didn't.
136.599	We exceeded it.
138.677	This year, global poverty
138.677	is going to fall to 12 percent.
143.804	Now, that's still not good enough,
145.599	and the world does still have
145.599	plenty of problems.
149.242	But the pessimists and doomsayers
149.242	who say that the world can't get better
154.701	are simply wrong.
157.748	So how did we achieve this success?
160.002	Well, a lot of it was because
160.002	of economic growth.
163.383	Some of the biggest reductions in poverty
163.383	were in countries such as China and India,
168.599	which have seen rapid
168.599	economic growth in recent years.
172.898	So can we pull off the same trick again?
175.934	Can economic growth
175.934	get us to the Global Goals?
180.642	Well, to answer that question,
182.405	we need to benchmark where the world
182.405	is today against the Global Goals
186.599	and figure out how far we have to travel.
190.046	But that ain't easy,
191.973	because the Global Goals
191.973	aren't just ambitious,
194.814	they're also pretty complicated.
197.599	Over 17 goals, there are then 169 targets
201.767	and literally hundreds of indicators.
205.444	Also, while some of the goals
205.444	are pretty specific --
209.072	end hunger --
210.519	others are a lot vaguer --
212.439	promote peaceful and tolerant societies.
215.924	So to help us with this benchmarking,
217.873	I'm going to use a tool
217.873	called the Social Progress Index.
222.166	What this does is measures all the stuff
