startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Joanna Pietrulewicz
12.96	I was a new mother
15.2	and a young rabbi
16.48	in the spring of 2004
18.36	and the world was in shambles.
21.24	Maybe you remember.
22.52	Every day, we heard devastating reports
22.52	from the war in Iraq.
25.68	There were waves of terror
25.68	rolling across the globe.
29.56	It seemed like humanity
29.56	was spinning out of control.
33	I remember the night that I read
34.88	about the series of coordinated bombings
37.04	in the subway system in Madrid,
39.76	and I got up and I walked over to the crib
41.84	where my six-month-old baby girl
44.28	lay sleeping sweetly,
46.16	and I heard the rhythm of her breath,
48.52	and I felt this sense of urgency
48.52	coursing through my body.
52.12	We were living through a time
52.12	of tectonic shifts in ideologies,
56.2	in politics, in religion, in populations.
58.88	Everything felt so precarious.
61.48	And I remember thinking,
62.76	"""My God, what kind of world"
62.76	did we bring this child into?
66.96	And what was I as a mother
66.96	and a religious leader
70.04	willing to do about it?
74.84	Of course, I knew it was clear
77.64	that religion would be
77.64	a principle battlefield
80.56	in this rapidly changing landscape,
83.04	and it was already clear
84.76	that religion was a significant
84.76	part of the problem.
88.12	The question for me was,
89.4	could religion
89.4	also be part of the solution?
92.48	Now, throughout history,
94.12	people have committed
94.12	horrible crimes and atrocities
97.36	in the name of religion.
100.16	And as we entered the 21st century,
102.64	it was very clear that religious extremism
102.64	was once again on the rise.
107.76	Our studies now show
109.04	that over the course
109.04	of the past 15, 20 years,
112.32	hostilities and religion-related violence
114.48	have been on the increase
114.48	all over the world.
117.44	But we don't even need
117.44	the studies to prove it,
119.72	because I ask you,
119.72	how many of us are surprised today
122.92	when we hear the stories
122.92	of a bombing or a shooting,
126.72	when we later find out
126.72	that the last word that was uttered
129.56	before the trigger is pulled
129.56	or the bomb is detonated
132.4	is the name of God?
134.04	It barely raises an eyebrow today
136.72	when we learn that yet another person
138.68	has decided to show his love of God
141.24	by taking the lives of God's children.
144.68	In America, religious extremism
147.12	looks like a white,
147.12	antiabortion Christian extremist
151.68	walking into Planned Parenthood
151.68	in Colorado Springs
154.92	and murdering three people.
156.8	It also looks like a couple
159.08	inspired by the Islamic State
160.92	walking into an office party
160.92	in San Bernardino and killing 14.
165.56	And even when religion-related extremism
165.56	does not lead to violence,
170.4	it is still used
170.4	as a political wedge issue,
173.44	cynically leading people
173.44	to justify the subordination of women,
177.56	the stigmatization of LGBT people,
180.04	racism, Islamophobia and anti-Semitism.
184.32	This ought to concern deeply
