startsecond	text
16.315	It's an amazing thing
17.49	that we're here to talk
17.49	about the year of patients rising.
22.266	You heard stories earlier today
24.01	about patients who are taking
24.01	control of their cases,
27.062	patients who are saying,
28.241	"""You know what, I know what the odds are,"
30.239	but I'm going to look
30.239	for more information.
32.413	I'm going to define
32.413	"what the terms of my success are."""
36.197	I'm going to be sharing with you
36.197	how, four years ago, I almost died --
40.01	found out I was, in fact,
40.01	already almost dead --
42.917	and what I then found out
45.179	about what's called
45.179	the e-Patient movement.
47.405	I'll explain what that term means.
49.078	I had been blogging
49.078	"under the name ""Patient Dave,"""
51.87	and when I discovered this,
53.268	I just renamed myself e-Patient Dave.
55.939	"Regarding the word ""patient"":"
57.666	When I first started a few years ago
57.666	getting involved in health care
61.626	and attending meetings
61.626	as just a casual observer,
64.01	I noticed that people
64.01	would talk about patients
66.273	as if it was somebody
66.273	who's not in the room here --
68.872	somebody out there.
70.29	Some of our talks today,
70.29	we still act like that.
72.827	But I'm here to tell you:
74.763	"""patient"" is not a third-person word."
78.145	All right?
79.332	You yourself will find
79.332	yourself in a hospital bed --
82.576	or your mother, your child --
84.255	there are heads nodding, people who say,
86.197	"""Yes, I know exactly what you mean."""
87.962	So when you hear what I'm going
87.962	to talk about here today,
91.01	first of all, I want to say that I am here
94.064	on behalf of all the patients
94.064	that I have ever met,
96.668	all the ones I haven't met.
98.395	This is about letting patients
98.395	play a more active role
102.192	in helping health care,
102.192	in fixing health care.
105.193	One of the senior doctors at my hospital,
107.216	Charlie Safran,
107.216	and his colleague, Warner Slack,
109.814	have been saying for decades
111.356	that the most underutilized
111.356	resource in all of health care
115.14	is the patient.
116.859	They have been saying that
116.859	since the 1970s.
119.549	Now, I'm going to step back in history.
121.529	This is from July, 1969.
123.439	I was a freshman in college,
125.125	and this was when we first
125.125	landed on the Moon.
128.113	And it was the first time
129.568	we had ever seen from another surface --
132.355	that's the place
132.355	where you and I are right now,
134.623	where we live.
135.805	The world was changing.
137.376	It was about to change
137.376	in ways that nobody could foresee.
140.377	A few weeks later, Woodstock happened.
144.645	Three days of fun and music.
146.749	Here, just for historical authenticity,
148.873	is a picture of me in that year.
150.696	(Laughter)
153.946	Yeah, the wavy hair, the blue eyes --
155.947	it was really something.
157.61	That fall of 1969,
159.611	the Whole Earth Catalog came out.
161.522	It was a hippie journal
161.522	of self-sufficiency.
165.01	We think of hippies
165.01	of being just hedonists,
168.065	but there's a very strong component --
168.065	I was in that movement --
171.29	a very strong component
171.29	of being responsible for yourself.
174.658	This book's title's subtitle
174.658	"is ""Access to Tools."""
178.579	It talked about how to build
178.579	your own house,
180.899	how to grow your own food,
180.899	all kinds of things.
183.328	In the 1980s,
184.756	this young doctor, Tom Ferguson,
186.914	was the medical editor
186.914	of the Whole Earth Catalog.
189.565	He saw that the great majority
189.565	of what we do in medicine and health care
194.36	is taking care of ourselves.
196.271	In fact, he said it was 70 to 80 percent
198.646	of how we actually
198.646	take care of our bodies.
200.939	Well, he also saw that when health care
200.939	turns to medical care
205.641	because of a more serious disease,
207.575	the key thing that holds us back
207.575	is access to information.
210.923	And when the Web came along,
210.923	that changed everything,
214.213	because not only
214.213	could we find information,
216.83	we could find other people like ourselves
219.57	who could gather,
219.57	who could bring us information.
222.185	"And he coined this term ""e-Patients"" --"
224.724	equipped, engaged, empowered, enabled.
227.079	Obviously, at this stage of life
228.804	he was in a somewhat more dignified
228.804	form than he was back then.
232.795	Now, I was an engaged patient
232.795	long before I ever heard of the term.
236.773	In 2006, I went to my doctor
236.773	for a regular physical,
239.773	"and I had said, ""I have a sore shoulder."""
242.096	Well, I got an X-ray,
243.693	and the next morning --
245.365	you may have noticed, those of you
245.365	who have been through a medical crisis
248.914	will understand this.
250.138	This morning, some of the speakers
250.138	named the date when they found out
254.624	about their condition.
255.919	For me, it was 9am
258.356	on January 3, 2007.
261.084	I was at the office; my desk was clean.
263.603	I had the blue partition
263.603	carpet on the walls.
267.347	The phone rang and it was my doctor.
270.167	"He said, ""Dave, I pulled"
270.167	up the X-ray image
273.01	"on the screen on the computer at home."""
275.124	"He said, ""Your shoulder"
275.124	is going to be fine,
277.215	"but Dave, there's something in your lung."""
279.324	And if you look in that red oval,
281.256	that shadow was not supposed to be there.
285.01	To make a long story short,
287.01	"I said, ""So you need me"
287.01	"to get back in there?"""
289.189	"He said, ""Yeah, we're going to need"
289.189	"to do a CT scan of your chest."""
292.464	In parting, I said,
292.464	"""Is there anything I should do?"""
295.129	He said -- think about this one,
297.01	this is the advice your doctor gives you:
299.01	"""Just go home and have a glass"
299.01	"of wine with your wife."""
304.283	I went in for the CAT scan.
307.478	It turns out there were
307.478	five of these things in both my lungs.
310.729	So at that point we knew
310.729	that it was cancer.
312.915	We knew it wasn't lung cancer.
314.978	That meant it was metastasized
314.978	from somewhere.
318.388	The question was, where from?
320.494	So I went in for an ultrasound.
323.144	I got to do what many women have --
325.661	"the jelly on the belly and the, ""Bzzzz!"""
329.01	My wife came with me.
331.195	She's a veterinarian,
332.824	so she's seen lots of ultrasounds.
334.645	I mean, she knows I'm not a dog.
336.253	(Laughter)
337.921	This is an MRI image.
340.922	This is much sharper
340.922	than an ultrasound would be.
343.368	What we saw in that kidney
346.142	was that big blob there.
347.677	There were actually two of these:
347.677	one was growing out the front
350.741	and had already erupted
350.741	and latched onto the bowel.
353.188	One was growing out the back
353.188	and it attached to the psoas muscle,
356.431	which is a big muscle in the back
356.431	that I'd never heard of,
359.24	but all of a sudden I cared about it.
361.097	(Laughter)
362.12	I went home.
363.307	Now, I've been Googling --
364.605	I've been online since 1989,
364.605	on CompuServe.
367.019	I went home, and I know
367.019	you can't read the details here;
369.673	that's not important.
370.863	My point is, I went to a respected
370.863	medical website, WebMD,
375.091	because I know how to filter out junk.
377.373	I also found my wife online.
379.898	Before I met her,
381.604	I went through some suboptimal
381.604	search results.
384.104	(Laughter)
385.676	So I looked for quality information.
388.854	There's so much about trust --
390.61	what sources of information can we trust?
393.137	Where does my body end
393.137	and an invader start?
397.925	A cancer, a tumor, is something
397.925	you grow out of your own tissue.
401.087	How does that happen?
402.676	Where does medical ability end and start?
406.719	Well, so what I read on WebMD:
409.175	"""The prognosis is poor"
409.175	for progressing renal cell cancer.
414.185	"Almost all patients are incurable."""
417.567	I've been online long enough to know
417.567	if I don't like the first results I get,
421.306	I go look for more.
422.483	And what I found on other websites was,
425.169	even by the third page of Google results:
427.557	"""Outlook is bleak."""
429.612	"""Prognosis is grim."""
432.199	"And I'm thinking, ""What the heck?"""
434.319	I didn't feel sick at all.
436.075	I mean, I'd been getting
436.075	tired in the evening,
438.289	but I was 56 years old, you know?
440.329	I was slowly losing weight,
442.01	but for me, that was what
442.01	the doctor told me to do.
446.258	It was really something.
447.954	And this is the diagram
447.954	of stage 4 kidney cancer
451.158	from the drug I eventually got.
452.939	Totally by coincidence,
452.939	there's that thing in my lung.
456.009	In the left femur, the left thigh bone,
456.009	there's another one.
