startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Morton Bast
12.691	I write fiction sci-fi thrillers,
15.849	"so if I say ""killer robots,"""
18.042	you'd probably think something like this.
20.403	But I'm actually not here to talk about fiction.
22.958	I'm here to talk about very real killer robots,
25.906	autonomous combat drones.
29.028	Now, I'm not referring to Predator and Reaper drones,
32.655	which have a human making targeting decisions.
35.915	I'm talking about fully autonomous robotic weapons
39.044	that make lethal decisions about human beings
41.698	all on their own.
44.115	There's actually a technical term for this: lethal autonomy.
48.115	Now, lethally autonomous killer robots
50.971	would take many forms -- flying, driving,
54.04	or just lying in wait.
56.786	And actually, they're very quickly becoming a reality.
59.895	These are two automatic sniper stations
62.379	currently deployed in the DMZ between North and South Korea.
66.516	Both of these machines are capable of automatically
68.687	identifying a human target and firing on it,
72.211	the one on the left at a distance of over a kilometer.
76.535	Now, in both cases, there's still a human in the loop
80.124	to make that lethal firing decision,
82.496	but it's not a technological requirement. It's a choice.
87.909	And it's that choice that I want to focus on,
91.002	because as we migrate lethal decision-making
93.643	from humans to software,
96.752	we risk not only taking the humanity out of war,
100.228	but also changing our social landscape entirely,
103.754	far from the battlefield.
105.978	That's because the way humans resolve conflict
110.487	shapes our social landscape.
112.22	And this has always been the case, throughout history.
114.853	For example, these were state-of-the-art weapons systems
117.514	in 1400 A.D.
119.593	Now they were both very expensive to build and maintain,
122.737	but with these you could dominate the populace,
125.977	and the distribution of political power in feudal society reflected that.
129.866	Power was focused at the very top.
132.553	And what changed? Technological innovation.
136.081	Gunpowder, cannon.
137.952	And pretty soon, armor and castles were obsolete,
141.769	and it mattered less who you brought to the battlefield
144.302	versus how many people you brought to the battlefield.
148.081	And as armies grew in size, the nation-state arose
151.719	as a political and logistical requirement of defense.
155.399	And as leaders had to rely on more of their populace,
157.775	they began to share power.
159.608	Representative government began to form.
162.207	So again, the tools we use to resolve conflict
165.495	shape our social landscape.
168.799	Autonomous robotic weapons are such a tool,
172.863	except that, by requiring very few people to go to war,
178.031	they risk re-centralizing power into very few hands,
182.871	possibly reversing a five-century trend toward democracy.
189.386	Now, I think, knowing this,
191.143	we can take decisive steps to preserve our democratic institutions,
195.495	to do what humans do best, which is adapt.
199.474	But time is a factor.
201.479	Seventy nations are developing remotely-piloted
204.33	combat drones of their own,
206.487	and as you'll see, remotely-piloted combat drones
209.08	are the precursors to autonomous robotic weapons.
213.552	That's because once you've deployed remotely-piloted drones,
216.319	there are three powerful factors pushing decision-making
219.703	away from humans and on to the weapon platform itself.
224.303	The first of these is the deluge of video that drones produce.
229.562	For example, in 2004, the U.S. drone fleet produced
233.415	a grand total of 71 hours of video surveillance for analysis.
238.727	By 2011, this had gone up to 300,000 hours,
243.226	outstripping human ability to review it all,
246.375	but even that number is about to go up drastically.
250.039	The Pentagon's Gorgon Stare and Argus programs
252.614	will put up to 65 independently operated camera eyes
255.778	on each drone platform,
257.816	and this would vastly outstrip human ability to review it.
261.119	And that means visual intelligence software will need
263.279	to scan it for items of interest.
267.327	And that means very soon
268.675	drones will tell humans what to look at,
271.422	not the other way around.
273.919	But there's a second powerful incentive pushing
276.392	decision-making away from humans and onto machines,
279.775	and that's electromagnetic jamming,
282.647	severing the connection between the drone
284.883	and its operator.
287.697	Now we saw an example of this in 2011
290.315	when an American RQ-170 Sentinel drone
293.271	got a bit confused over Iran due to a GPS spoofing attack,
297.578	but any remotely-piloted drone is susceptible to this type of attack,
302.692	and that means drones
304.744	will have to shoulder more decision-making.
308.364	They'll know their mission objective,
311.407	and they'll react to new circumstances without human guidance.
316.252	They'll ignore external radio signals
318.833	and send very few of their own.
321.163	Which brings us to, really, the third
323.169	and most powerful incentive pushing decision-making
